Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A903	BAMC_ECOLI	bamC	Outer membrane protein assembly factor BamC	14	14	1.37382e+08	1.41642e+08	1.43791e+08	1.4092e+08	1.38467e+08	1.38985e+08
P0A905	SLYB_ECOLI	slyB	Outer membrane lipoprotein SlyB	6	6	1.75699e+08	1.76208e+08	1.89676e+08	1.81662e+08	1.80488e+08	1.87526e+08
P0A908	MIPA_ECOLI	mipA	MltA-interacting protein	8	8	2.86624e+07	2.8027e+07	2.9783e+07	2.71631e+07	2.65782e+07	2.69622e+07
P0A910	OMPA_ECOLI	ompA	Outer membrane protein A	14	14	2.92136e+09	2.96722e+09	2.92244e+09	2.98967e+09	3.06838e+09	2.97788e+09
P0A912	PAL_ECOLI	pal	Peptidoglycan-associated lipoprotein	7	7	4.09698e+08	4.06594e+08	4.47151e+08	4.37363e+08	4.13732e+08	4.45218e+08
P0A915	OMPW_ECOLI	ompW	Outer membrane protein W	6	6	1.08538e+08	1.07363e+08	1.03356e+08	9.9266e+07	1.03758e+08	9.76297e+07
P0A917	OMPX_ECOLI	ompX	Outer membrane protein X	9	9	1.3709e+08	1.36749e+08	1.47295e+08	1.43316e+08	1.39119e+08	1.49244e+08
P0A921	PA1_ECOLI	pldA	Phospholipase A1	6	6	8.14103e+06	8.65178e+06	8.14587e+06	8.65084e+06	9.02927e+06	8.57626e+06
P0A927	TSX_ECOLI	tsx	Nucleoside-specific channel-forming protein tsx	10	10	9.66936e+07	9.5888e+07	1.04329e+08	1.03741e+08	9.57178e+07	9.94694e+07
P0A932	GFCE_ECOLI	gfcE	Putative polysaccharide export protein GfcE	15	15	7.56146e+07	7.5064e+07	7.27734e+07	7.53801e+07	7.41988e+07	7.6144e+07
