Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P0AG82	PSTS_ECOLI	pstS	Phosphate-binding protein PstS	16	16	1.72967e+07	1.69809e+07	1.74471e+07	1.68774e+07	1.68963e+07	1.72615e+07
P0AG84	YGHA_ECOLI	yghA	Uncharacterized oxidoreductase YghA	6	6		7.44124e+06	7.16144e+06	7.24438e+06	6.8071e+06	7.29064e+06
P0AG86	SECB_ECOLI	secB	Protein-export protein SecB	5	5	3.6991e+08	3.95063e+08	3.85305e+08	3.67544e+08	3.65541e+08	3.78481e+08
P0AG90	SECD_ECOLI	secD	Protein translocase subunit SecD	28	28	2.8381e+07	2.84756e+07	2.80994e+07	2.78355e+07	2.74738e+07	2.79451e+07
P0AG93	SECF_ECOLI	secF	Protein translocase subunit SecF	5	5	5.20736e+06	6.14177e+06	6.25857e+06	6.26568e+06	6.3119e+06	6.27506e+06
P0AG96	SECE_ECOLI	secE	Preprotein translocase subunit SecE	3	3	5.27999e+06	4.91547e+06	4.82756e+06	5.2846e+06	5.02188e+06	5.28863e+06
P0AG99	SECG_ECOLI	secG	Protein-export membrane protein SecG	3	3	4.45904e+07	4.45375e+07	4.42466e+07	4.53135e+07	4.70381e+07	4.38688e+07
P0AGA2	SECY_ECOLI	secY	Protein translocase subunit SecY	5	5	2.7186e+07	2.92528e+07	2.92097e+07	2.99432e+07	2.71421e+07	2.91744e+07
P0AGB0	SERB_ECOLI	serB	Phosphoserine phosphatase	6	6	1.01181e+07	9.3641e+06	9.75545e+06	9.72112e+06	9.65941e+06	1.00386e+07
P0AGB6	RPOE_ECOLI	rpoE	RNA polymerase sigma-E factor	9	9	1.63815e+07	1.41819e+07	1.45616e+07	1.4123e+07	1.46056e+07	1.40756e+07
P0AGC3	SLT_ECOLI	slt	Soluble lytic murein transglycosylase	14	14	7.06858e+06	6.10068e+06	6.17052e+06	6.33773e+06	6.24176e+06	6.28829e+06
P0AGC7	SMP_ECOLI	smp	Protein smp	1	1	737307		1.04878e+06	884354	805984	960524
P0AGD1	SODC_ECOLI	sodC	Superoxide dismutase [Cu-Zn]	1	1		4.79946e+06	4.91085e+06	5.24666e+06	5.0126e+06	4.43423e+06
P0AGD3	SODF_ECOLI	sodB	Superoxide dismutase [Fe]	9	9	3.60172e+08	3.36233e+08	3.32348e+08	3.48276e+08	3.56894e+08	3.3494e+08
P0AGD7	SRP54_ECOLI	ffh	Signal recognition particle protein	15	15	4.23847e+07	4.03397e+07	3.89457e+07	3.93458e+07	3.96046e+07	3.9712e+07
P0AGE0	SSB_ECOLI	ssb	Single-stranded DNA-binding protein	8	8	2.01388e+08	2.1015e+08	2.04944e+08	2.01788e+08	2.04819e+08	2.0675e+08
P0AGE6	YIEF_ECOLI	yieF	Uncharacterized protein YieF	8	8	3.73937e+07	3.61196e+07	3.68609e+07	3.66741e+07	3.93133e+07	3.79606e+07
P0AGE9	SUCD_ECOLI	sucD	Succinyl-CoA ligase [ADP-forming] subunit alpha	11	11	4.12377e+07	4.28037e+07	4.29273e+07	4.31118e+07	4.45475e+07	4.42049e+07
P0AGF2	YGDK_ECOLI	ygdK	Uncharacterized SufE-like protein YgdK	4	4	4.95731e+06	4.62115e+06	5.16689e+06	4.98855e+06	5.54488e+06	5.15742e+06
P0AGG0	THIL_ECOLI	thiL	Thiamine-monophosphate kinase	4	4	8.3508e+06	8.9812e+06	8.67408e+06	7.59035e+06	8.0668e+06	9.30246e+06
P0AGG2	TESB_ECOLI	tesB	Acyl-CoA thioesterase 2	5	5	8.41986e+06	7.88046e+06	7.11497e+06	7.78457e+06	7.49391e+06	7.19869e+06
P0AGG4	THIO2_ECOLI	trxC	Thioredoxin-2	3	3	9.79566e+06	1.0997e+07	1.05097e+07	1.04295e+07	9.88978e+06	1.04184e+07
P0AGG8	TLDD_ECOLI	tldD	Protein TldD	16	16	3.40271e+07	3.33839e+07	3.32449e+07	3.29064e+07	3.42573e+07	3.38372e+07
P0AGI8	TRKA_ECOLI	trkA	Trk system potassium uptake protein TrkA	4	4	2.49168e+06	2.55711e+06	2.45956e+06	2.46616e+06	2.51745e+06	2.26682e+06
P0AGJ2	TRMH_ECOLI	trmH	tRNA (guanosine(18)-2'-O)-methyltransferase	4	4	9.95227e+06	1.07966e+07	1.06909e+07	1.04687e+07	1.03261e+07	1.06573e+07
P0AGJ5	YFIF_ECOLI	yfiF	Uncharacterized tRNA/rRNA methyltransferase YfiF	11	11	4.88335e+07	4.92912e+07	4.92382e+07	4.88999e+07	5.03807e+07	5.07273e+07
P0AGJ7	TRML_ECOLI	trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	6	6	1.09406e+07	1.1507e+07	1.09604e+07	1.07819e+07	1.12238e+07	1.11221e+07
P0AGJ9	SYY_ECOLI	tyrS	Tyrosine--tRNA ligase	17	17	9.9866e+07	1.11869e+08	1.14127e+08	1.11822e+08	1.12744e+08	1.15822e+08
P0AGK4	YHBY_ECOLI	yhbY	RNA-binding protein YhbY	2	2	8.07584e+07	7.2822e+07	6.91309e+07	7.66098e+07	7.99754e+07	7.23095e+07
P0AGK8	ISCR_ECOLI	iscR	HTH-type transcriptional regulator IscR	3	3	9.00387e+06	9.04878e+06	1.106e+07	9.19808e+06	8.93883e+06	1.02052e+07
P0AGL2	TDCF_ECOLI	tdcF	Putative reactive intermediate deaminase TdcF	4	4	2.31323e+08	2.01464e+08	2.12206e+08	2.24778e+08	2.30495e+08	2.11529e+08
P0AGL5	RATA_ECOLI	ratA	Ribosome association toxin RatA	2	2	2.02172e+06	1.88284e+06	1.98008e+06	2.00207e+06	1.44803e+06	1.69284e+06
P0AGL7	RSME_ECOLI	rsmE	Ribosomal RNA small subunit methyltransferase E	6	6	1.76071e+07	1.68144e+07	1.57887e+07	1.57985e+07	1.65759e+07	1.60689e+07
P0AGM5	SIRB1_ECOLI	sirB1	Protein sirB1	1	1	2.45243e+06	1.89861e+06	2.0536e+06	1.8722e+06	1.77926e+06	1.8981e+06
P0C018	RL18_ECOLI	rplR	50S ribosomal protein L18	5	5	2.98004e+08	3.58202e+08	3.46074e+08	3.5119e+08	3.43858e+08	3.49497e+08
P0C037	YAIE_ECOLI	yaiE	UPF0345 protein YaiE	2	2	3.38032e+07	4.24414e+07	4.64656e+07	4.34956e+07	4.36801e+07	4.59093e+07
P0C054	IBPA_ECOLI	ibpA	Small heat shock protein IbpA	6	6	2.22807e+07	2.09258e+07	2.18416e+07	2.15248e+07	2.1708e+07	2.12334e+07
P0C058	IBPB_ECOLI	ibpB	Small heat shock protein IbpB	2	2	443061	331052	350995	420648	317592	276105
P0C066	MLTC_ECOLI	mltC	Membrane-bound lytic murein transglycosylase C	1	1			1.25829e+06	1.41887e+06	1.75226e+06	1.49795e+06
P0C093	SLMA_ECOLI	slmA	Nucleoid occlusion factor SlmA	5	5	1.89838e+07	1.68549e+07	1.56921e+07	1.63143e+07	1.70853e+07	1.64783e+07
P0C0K3	RDOA_ECOLI	rdoA	Protein RdoA	9	9	4.25854e+06	4.25347e+06	4.18227e+06	4.50364e+06	4.64342e+06	4.13461e+06
