Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0AF70	P0AF70		yjeI		1.00572e+07	9.85487e+06	1.01039e+07	9.28748e+06	1.05846e+07	1.03426e+07
P0AF90	P0AF90		rraB		7.10916e+06	7.10881e+06	6.80526e+06	7.68538e+06	6.66834e+06	7.27276e+06
P0AF93	P0AF93		ridA		1.49854e+08	1.06271e+08	1.44714e+08	1.18604e+08	1.35329e+08	1.22432e+08
P0AF96	P0AF96		tabA		2.63191e+06	2.49127e+06	2.43365e+06	2.56374e+06	2.59936e+06	2.5729e+06
P0AF98	P0AF98		lptF		1.09429e+06	1.5715e+06	1.20765e+06	1.63399e+06	1.11864e+06	1.65033e+06
P0AFB1	P0AFB1		nlpI		1.50483e+06	1.19899e+06	1.5619e+06	1.24435e+06	1.46444e+06	1.5417e+06
P0AFB8	P0AFB8		glnG		3.2174e+06	3.02071e+06	3.17637e+06	3.01427e+06	3.41466e+06	2.90648e+06
P0AFC3	P0AFC3		nuoA		2.23584e+06	2.23255e+06	2.17686e+06	2.14452e+06	2.2766e+06	2.6606e+06
P0AFC7	P0AFC7		nuoB		9.36952e+06	9.80687e+06	8.86757e+06	9.66176e+06	9.65763e+06	8.48829e+06
P0AFD1	P0AFD1		nuoE		5.85749e+06	6.07784e+06	6.02546e+06	6.09959e+06	5.99433e+06	5.91929e+06
P0AFD4	P0AFD4		nuoH		2.5181e+06	2.49495e+06	2.50175e+06	2.51094e+06	2.47517e+06	2.44551e+06
P0AFD6	P0AFD6		nuoI		7.72232e+06	7.96807e+06	8.39859e+06	7.92242e+06	7.84201e+06	7.99176e+06
P0AFF6	P0AFF6		nusA		2.27698e+07	2.24064e+07	2.25857e+07	2.23495e+07	2.27921e+07	2.21809e+07
P0AFG0	P0AFG0		nusG		1.4797e+07	1.42499e+07	1.45929e+07	1.38784e+07	1.43648e+07	1.43485e+07
P0AFG3	P0AFG3		sucA		8.8102e+06	9.07158e+06	8.85407e+06	9.22359e+06	8.82695e+06	9.29073e+06
P0AFG6	P0AFG6		sucB		9.22766e+06	8.96422e+06	9.06226e+06	8.90675e+06	9.2404e+06	8.48491e+06
P0AFG8	P0AFG8		aceE		1.07515e+08	1.07452e+08	1.07746e+08	1.07401e+08	1.06572e+08	1.08597e+08
P0AFH8	P0AFH8		osmY		2.42358e+07	2.38288e+07	2.4112e+07	2.29888e+07	2.43006e+07	2.35924e+07
P0AFI0	P0AFI0		oxc		1.01756e+06	1.0752e+06	1.04043e+06	879858	1.0609e+06	1.06116e+06
P0AFI2	P0AFI2		parC		3.52862e+06	3.60459e+06	3.52342e+06	3.39676e+06	3.47805e+06	3.52615e+06
P0AFI7	P0AFI7		pdxH		7.39895e+06	7.55132e+06	7.31245e+06	7.44201e+06	7.0025e+06	7.70547e+06
P0AFJ1	P0AFJ1		phnA		1.80688e+06	1.61186e+06	1.83832e+06	1.61379e+06	1.79455e+06	1.58843e+06
P0AFJ7	P0AFJ7		pitA		1.74039e+06	1.70119e+06	1.83968e+06	1.65059e+06	1.90018e+06	1.45651e+06
P0AFK0	P0AFK0		pmbA		5.5804e+06	5.34939e+06	5.41446e+06	5.47084e+06	5.48811e+06	5.18251e+06
P0AFK9	P0AFK9		potD		4.74611e+06	5.24009e+06	4.88827e+06	5.24014e+06	4.68903e+06	4.83538e+06
P0AFL3	P0AFL3		ppiA		5.41152e+06	4.83071e+06	5.36011e+06	4.88809e+06	5.36797e+06	5.02977e+06
P0AFL6	P0AFL6		ppx		1.78108e+06	1.89736e+06	1.83985e+06	1.67884e+06	1.68094e+06	1.79628e+06
P0AFM2	P0AFM2		proX		7.83686e+06	6.81312e+06	7.76287e+06	6.10671e+06	7.68257e+06	7.20888e+06
P0AFM6	P0AFM6		pspA		3.72539e+06	3.47947e+06	4.00841e+06	3.63414e+06	3.71345e+06	3.55588e+06
P0AFP4	P0AFP4		ybbO		774135	697333	851352	668344	812512	704710
