Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P07639	P07639		aroB		3.35164e+06	3.0583e+06	3.12117e+06	3.26208e+06	3.2144e+06	2.76384e+06
P07649	P07649		truA		1.84185e+06	1.92982e+06	1.91494e+06	1.80987e+06	1.71789e+06	2.07856e+06
P07650	P07650		deoA		6.36108e+06	6.36493e+06	6.50756e+06	6.44396e+06	6.38859e+06	6.03818e+06
P07658	P07658		fdhF		982960	976459	949128	888999	895184	861215
P07762	P07762		glgB		3.76284e+06	3.77398e+06	3.86211e+06	3.70025e+06	3.83019e+06	3.90184e+06
P07813	P07813		leuS		1.48665e+07	1.52629e+07	1.53575e+07	1.48613e+07	1.4651e+07	1.46114e+07
P07862	P07862		ddlB		5.9498e+06	6.09304e+06	6.22154e+06	5.85215e+06	5.78845e+06	5.98387e+06
P07913	P07913		tdh		4.44373e+06	4.60418e+06	4.43565e+06	4.3485e+06	4.50161e+06	4.20487e+06
P08178	P08178		purM		1.86822e+06	1.85096e+06	1.84662e+06	1.6578e+06	1.88196e+06	1.77368e+06
P08179	P08179		purN		5.04633e+06	5.35238e+06	5.50158e+06	4.8456e+06	4.95102e+06	5.0977e+06
P08189	P08189		fimF		783127	594836	674059	779098	687195	525055
P08190	P08190		fimG		1.88164e+06	2.07939e+06	1.75547e+06	1.66739e+06	1.66904e+06	1.62554e+06
P08191	P08191		fimH		2.73651e+06	2.86923e+06	2.77168e+06	2.87061e+06	2.93823e+06	3.22991e+06
P08192	P08192		folC		3.30392e+06	3.32188e+06	3.2475e+06	3.39486e+06	3.29367e+06	3.54551e+06
P08200	P08200		icd		2.41684e+07	2.57188e+07	2.49092e+07	2.34538e+07	2.32808e+07	2.27127e+07
P08201	P08201		nirB		5.19745e+06	5.42244e+06	5.38464e+06	5.14402e+06	5.19182e+06	5.5712e+06
P08244	P08244		pyrF		9.97648e+06	9.72503e+06	9.88999e+06	9.69308e+06	1.01194e+07	9.62913e+06
P08245	P08245		yciH		845426	775572	763946	811904	791300	713131
P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)				2.64223e+06	5.10828e+06	5.08751e+06	2.56249e+06	2.62376e+06	4.14927e+06
P08312	P08312		pheS		1.48723e+07	1.4663e+07	1.45519e+07	1.48216e+07	1.44414e+07	1.35276e+07
P08331	P08331		cpdB		3.33582e+06	3.29023e+06	3.29729e+06	3.34442e+06	3.21546e+06	3.09299e+06
P08337	P08337		mutT		994663	1.14474e+06	1.12958e+06	995170	950759	1.06152e+06
P08373	P08373		murB		1.68713e+06	1.87784e+06	1.81525e+06	1.6565e+06	1.66924e+06	1.91405e+06
P08390	P08390		usg		4.46149e+07	4.40545e+07	4.50431e+07	4.5968e+07	4.56817e+07	3.95556e+07
P08395	P08395		sppA		2.22441e+06	2.43895e+06	2.19545e+06	2.28969e+06	2.4077e+06	2.32489e+06
P08506	P08506		dacC		6.48699e+06	6.61194e+06	6.62883e+06	6.43519e+06	6.51708e+06	6.43475e+06
P08622	P08622		dnaJ		6.7573e+06	6.89472e+06	6.89655e+06	6.67979e+06	6.69528e+06	6.76132e+06
