Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				1.9795e+06	3.84617e+07	2.1408e+06	1.96879e+06	3.93091e+07	3.99384e+07
P12281	P12281		moeA		6.25905e+06	5.92514e+06	6.17796e+06	6.16398e+06	5.95851e+06	5.91062e+06
P12295	P12295		ung		1.57119e+06	1.51377e+06	1.56199e+06	1.56303e+06	1.52622e+06	1.47817e+06
P12758	P12758		udp		4.13658e+07	4.27916e+07	4.13705e+07	4.25118e+07	4.13518e+07	4.13666e+07
P13001	P13001		bioH		254578		350667	336610	249661	
P13009	P13009		metH		1.74146e+06	1.85233e+06	1.79564e+06	1.78981e+06	1.87634e+06	1.71528e+06
P13016	P13016		ampD		3.45409e+07	3.16894e+07	3.46094e+07	3.28417e+07	2.92228e+07	3.015e+07
P13024	P13024		fdhE		3.89952e+06	3.79288e+06	3.88732e+06	3.89316e+06	3.83693e+06	3.75056e+06
P13029	P13029		katG		3.95342e+07	4.00919e+07	3.97321e+07	3.95459e+07	3.96368e+07	3.93606e+07
P13033	P13033		glpB		1.53866e+06	1.66858e+06	1.79837e+06	1.83049e+06	1.50663e+06	1.84947e+06
P13035	P13035		glpD		3.22793e+06	3.08417e+06	3.233e+06	3.31391e+06	3.15593e+06	2.93201e+06
P13445	P13445		rpoS		4.98376e+06	5.09118e+06	5.06854e+06	4.99883e+06	5.01853e+06	5.0355e+06
P13979	P13979		traT		3.13654e+06	3.03869e+06	3.15066e+06	3.19657e+06	3.18551e+06	3.24174e+06
P14081	P14081		selB		6.26072e+06	5.72784e+06	5.37198e+06	5.78106e+06	5.08803e+06	5.70007e+06
P14175	P14175		proV		692874	853554	751028	698622	828103	918358
P14407	P14407		fumB		2.35692e+07	2.27214e+07	2.33785e+07	2.33891e+07	2.32971e+07	2.32691e+07
P14900	P14900		murD		2.25925e+06	2.1866e+06	2.1166e+06	2.17786e+06	2.25615e+06	2.04876e+06
P15005	P15005		mcrB		655833	526849	520992	431304	572235	407844
P15034	P15034		pepP		3.82661e+06	3.52017e+06	3.7471e+06	3.85475e+06	3.61685e+06	3.90438e+06
P15042	P15042		ligA		8.30398e+06	7.89825e+06	8.52375e+06	8.3648e+06	8.06238e+06	8.33272e+06
P15070	P15070		fliN		4.25708e+06	3.96964e+06	4.41299e+06	3.87648e+06	4.41905e+06	4.27252e+06
P15254	P15254		purL		2.99344e+06	2.98013e+06	2.93052e+06	2.93173e+06	2.86576e+06	2.99393e+06
P15288	P15288		pepD		1.88821e+07	1.82032e+07	1.89218e+07	1.85974e+07	1.85066e+07	1.86967e+07
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				1.03167e+06	1.34133e+07	716188	938403	1.33997e+07	1.34805e+07
P15639	P15639		purH		4.8455e+06	4.79817e+06	4.86125e+06	4.76811e+06	4.87255e+06	4.80236e+06
