protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AGJ9	525019859.9002575	507834565.2776039	512370597.2351016	494910896.2613373	489718347.9400413	516648386.5563156	0	0.21955726652077137	0.04162614624742962	False	0.015612648221343874	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0C093	44390924.68025706	36246284.258101135	45691731.7549505	48979757.2306696	47168250.68558104	45490266.469574	0	0.22023544048846794	-0.16502598828389403	False	0.015637351778656126	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P37655	27365215.45980423	21571877.172593106	26797257.360334	28162545.530273933	29325860.385922868	27849762.6781962	0	0.22033205656928223	-0.17224335391030385	False	0.01566205533596838	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A836	265918843.38131133	261887141.2858736	274987200.6220075	262408909.9967361	258036136.4016364	262317684.41222295	0	0.22055536916510926	0.036453302606054803	False	0.015686758893280632	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ADA5	252879851.67253885	254782101.64407352	248785493.78954816	251284902.1868355	268146659.3630477	262706574.45005348	0	0.22067134350734066	-0.04818357202210571	False	0.015711462450592885	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P37646	511584.86229611054	265153.7845766683	355986.6126452912	230517.41408561595	354449.0383914291	61921.95710385033	1	0.2207958612629117	0.8082092114284875	False	0.015736166007905138	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P19323	3807666.4551047594	96441.05468750006	89671.98180856215	3773330.3921802673	3320174.9842286385	3396398.1436380283	2	0.22126083648456538	-1.3931748242915136	False	0.015760869565217394	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P15042	165638288.32790878	175974150.47654167	175255365.87734494	173523299.03365806	181716415.37212464	179939482.59591234	0	0.2215970141653102	-0.05022669727978524	False	0.015785573122529647	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AG40	56122549.30792628	54513218.48815056	62043921.18552676	54537240.66114748	53821525.91485869	52468583.45625721	0	0.2218167700789983	0.10258562972940985	False	0.015810276679841896	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ACC3	180584618.66695192	181480900.47407743	187302136.66894752	191397731.67903543	182496755.9892161	195568980.1846716	0	0.22192837954841624	-0.05183131951642747	False	0.015834980237154152	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
