protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AG59	1457555154.2251358	1429986229.279217	1401078311.525154	1140751868.382129	1525265173.973806	1474637636.5889616	0	0.7233304489662868	0.050654496470286206	False	0.039609756097560976	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ABN1	2576243.932852412	2989477.605966923	1687844.2346989743	1747622.4856434346	2770321.672938756	2180862.59566204	0	0.7236008737826483	0.11478624867068324	False	0.039634146341463415	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ABI4	23451301.32538433	23657753.91054984	22672838.73250317	23867494.35501837	22377487.092387084	22933367.55193505	0	0.7249183867793199	0.012532171656419159	False	0.03965853658536586	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P11454	4746006.231914597	149582.7187500001	6600284.318053481	5477178.589616348	5603942.185999226	2875769.430911335	1	0.7253225386497912	-0.27986146176963056	False	0.0396829268292683	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AE91	54826579.98389896	53367147.87362275	50705276.0281806	48258822.987078935	55236630.65171866	52684745.00515413	0	0.7256917094669935	0.024898528147823954	False	0.03970731707317073	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P76206	6665276.046466294	6888402.675917946	6696101.874512565	7168701.985438848	6426788.878953362	6925159.271461037	0	0.7259152702205738	-0.0191701624624873	False	0.03973170731707317	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P17115	21445485.987905223	23910713.78734312	25074667.03584422	25180203.08529073	22258107.722253773	24565270.835604705	0	0.7260652998893824	-0.03186083323630965	False	0.03975609756097561	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6X3	7760378.319814453	9712880.647110673	9816038.607794274	8092178.23913928	8963898.735066332	9353208.475157676	0	0.7261300638248571	0.0472899928567902	False	0.039780487804878056	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P15877	2366758.771093287	149582.7187500001	1658857.5310171123	3812671.892510185	1674679.3441725438	121744.9230610214	2	0.7262295606900482	-0.42592334738657195	False	0.039804878048780495	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8I3	109187914.35248174	107979232.81088848	104350012.113064	115747853.03495888	107477795.22546236	102959391.0620101	0	0.7280708059176815	-0.02079487765243626	False	0.03982926829268293	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6I9	57143258.708233714	85497624.004004	78870160.40160495	70393704.99595127	79611915.56685187	82242830.37579581	0	0.728422481198963	-0.06829035003085318	False	0.03985365853658537	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P18355	95988.38438091685	20027068.000000007	21436456.4707748	222888.48565003969	15759407.952621518	15887307.905104244	2	0.7286277999415212	0.38299763524490166	False	0.039878048780487806	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P37908	8738543.053366227	8499950.939050652	7415129.611991788	9747552.155433288	7070116.560817269	8845809.07769567	0	0.7292068623212168	-0.057916980558167006	False	0.03990243902439025	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AF36	230555243.49930257	242197911.60266963	249324247.14690867	225292771.27579263	251016313.29610172	258876637.65740204	0	0.7292326199490187	-0.025955255429032438	False	0.039926829268292684	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A7A5	7165404.448208169	6832621.142807197	2770189.534848141	8874260.994393859	2987758.213419524	7430334.651787443	0	0.730091365397276	-0.20230004631643672	False	0.03995121951219512	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8A4	24379118.725893505	25038933.731974445	24464046.014105957	25904667.64472093	24087098.58145508	24560859.828600217	0	0.7306995484109519	-0.013034327402143931	False	0.03997560975609756	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P75915	168329629.41935587	173639860.5817288	180687141.62727955	180494537.38710076	168215937.53093663	179887044.3146875	0	0.7309205243260071	-0.016306200211238513	False	0.04	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AFM9	2332082.0080279554	2336802.1993848914	2119993.639848463	1886656.436601807	2460800.596283512	2747105.5133830765	0	0.7310719063479285	-0.06354060279102912	False	0.04002439024390245	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P15723	95988.38438091685	149582.7187500001	9469385.81013819	6391574.705791912	7509650.14358668	121744.9230610214	3	0.7310865246743907	-0.5295124119651212	False	0.04004878048780488	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P02358	2781344005.483353	2909765919.075003	2700607288.620332	2055037770.5743303	2989058203.708725	2978041199.710369	0	0.7314079727748721	0.06497942669681425	False	0.04007317073170732	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P30177	110541539.16032197	116695602.22902235	118234687.47988172	121807087.0066316	106315419.9385495	111601004.2999927	0	0.7330403615966873	0.024207006117287613	False	0.04009756097560976	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6L7	20177977.575107887	19090881.64649515	18098044.242089838	18369174.282540563	20242512.13342912	19650196.055215377	0	0.7333995575118599	-0.0223336697841509	False	0.040121951219512196	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P76340	1154213.0986179365	149582.7187500001	1082652.2439664768	1540294.0446126747	85200.90621826696	121744.9230610214	3	0.7335860713744679	0.4497872523132728	False	0.04014634146341464	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AFZ3	123649565.7227958	122836014.60087346	121025716.30425753	114975651.29976653	119129837.01151496	128629693.68708023	0	0.7338339573839269	0.018871916116963205	False	0.040170731707317074	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P61887	9086425.67286633	8248509.847638623	7353720.037816582	9853057.650288194	8020565.253195856	7728100.498488912	0	0.7344150514217391	-0.0523926543107961	False	0.04019512195121951	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ABD3	197405225.14082164	181736197.94828585	190522463.07655597	196449486.49182492	184985163.8525474	194516318.73588237	0	0.7351838487032019	-0.01583505025584411	False	0.04021951219512195	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8R4	1909150.585307287	1865864.115206014	2098971.9505352164	2339221.3984021004	2009655.287179604	1737057.1251113198	0	0.7353354371347713	-0.051138656432709526	False	0.04024390243902439	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P24188	13308430.85634999	11210773.456969043	12874110.688543553	13770451.11570012	13061521.432947887	11553841.385268863	0	0.7357625340707139	-0.037792864329824885	False	0.04026829268292684	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P76506	119041731.88169184	121624183.85818976	126245339.1932938	120919982.92964467	123541770.3309477	125139030.87531865	0	0.7361052559448689	-0.010536657881397536	False	0.04029268292682927	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6Y8	4133561218.232886	4169193184.245423	4183308113.8707857	3878271084.579846	4225972421.896342	4243486474.931512	0	0.7364916001372239	0.016072754602823737	False	0.04031707317073171	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AD05	57301828.07724729	56628772.42820093	54705208.136491455	53442474.03226017	56998367.94840921	56696451.01397261	0	0.7377528032580207	0.01287724023021709	False	0.04034146341463415	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P39829	1891574.0721872407	1611019.3318841858	2141949.3480584417	2473479.056755605	1620436.2437823329	1872773.5613984405	0	0.7386871285224835	-0.08007383106136344	False	0.040365853658536587	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A948	961458.0936128268	914333.7499999992	838964.8005323763	222888.48565003969	1092129.0884286852	1070251.685314373	1	0.7389884276050642	0.18667074493991448	False	0.04039024390243903	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P75959	25927957.626171123	25347278.659801263	26690015.781550582	27000555.307654813	25505272.904180795	24579416.539017543	0	0.7390414325987644	0.016376546353822203	False	0.040414634146341465	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P24169	43796724.11009494	47195295.95549736	47661847.299256384	50129705.54757442	43683355.25737213	47229972.776371375	0	0.7414192487124873	-0.024647552960135353	False	0.040439024390243904	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P05459	178647543.0424941	201674740.2154796	202341281.1699763	188571876.052287	193153610.5217788	192025790.70430252	0	0.741442341551706	0.022237637534513428	False	0.04046341463414634	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AG40	33118492.356261328	32033296.919428024	32773824.35492708	34458371.019989185	30979057.120053016	31182328.413750675	0	0.7415582298363013	0.019368045840286716	False	0.04048780487804878	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
