Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P75966	RLUE_ECOLI	rluE	Ribosomal large subunit pseudouridine synthase E	3	3.0	2035580.0	1988360.0	1728220.0	1946740.0	117251.0	1955370.0	1	0.46355946342745036	0.49704664911903274	False	0.027605263157894737	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P23893	GSA_ECOLI	hemL	Glutamate-1-semialdehyde 2,1-aminomutase	13	13.0	168573000.0	171229000.0	173513000.0	168451000.0	169958000.0	171666000.0	0	0.46443448136033505	0.011599252230500165	False	0.02763157894736842	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P64455	YDCY_ECOLI	ydcY	Uncharacterized protein YdcY	1	1.0	50986900.0	53988400.0	50545700.0	49243500.0	52298800.0	50256100.0	0	0.46460849424085365	-0.035134987677571464	False	0.027657894736842107	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P64506	YEBY_ECOLI	yebY	Uncharacterized protein YebY	1	1.0	3208770.0	3257800.0	2987180.0	2762860.0	2867540.0	3108690.0	0	0.46485865008150196	0.0660590527071907	False	0.02768421052631579	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A903	BAMC_ECOLI	bamC	Outer membrane protein assembly factor BamC	14	14.0	137536000.0	143602000.0	136094000.0	138051000.0	137874000.0	140357000.0	0	0.4659056498166061	-0.019178197905039836	False	0.027710526315789477	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0CK95	ACFD_ECOLI	yghJ	Putative lipoprotein AcfD homolog	28	28.0	19436700.0	19449100.0	19204000.0	19455600.0	19035400.0	18560900.0	0	0.4665109000799922	-0.018506673041945965	False	0.02773684210526316	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0ADW3	YHCB_ECOLI	yhcB	Putative cytochrome d ubiquinol oxidase subunit 3	7	7.0	118740000.0	117213000.0	114750000.0	119991000.0	120733000.0	119851000.0	0	0.4668390896090477	-0.018644520684532005	False	0.027763157894736844	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P39411	NCPP_ECOLI	yjjX	Non-canonical purine NTP phosphatase	2	2.0	11631600.0	11061400.0	10881600.0	11242700.0	10857800.0	11255400.0	0	0.46722221610965825	0.026155700487855902	False	0.027789473684210527	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P52697	6PGL_ECOLI	pgl	6-phosphogluconolactonase	8	8.0	118018000.0	120874000.0	117937000.0	118825000.0	116982000.0	117727000.0	0	0.46783546976219925	-0.012181569516322889	False	0.02781578947368421	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P56262	DLHH_ECOLI	ysgA	Putative carboxymethylenebutenolidase	3	3.0	6673430.0	6595180.0	6606980.0	6322480.0	7072830.0	7841280.0	0	0.46793885997432366	0.07941143764536067	False	0.027842105263157897	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P31224	ACRB_ECOLI	acrB	Acriflavine resistance protein B	23	23.0	15606900.0	15701700.0	14246000.0	15514700.0	15137300.0	15361200.0	0	0.4691975548643981	-0.03591175413916047	False	0.02786842105263158	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P76227	YNJH_ECOLI	ynjH	Uncharacterized protein YnjH	2	2.0	6337000.0	7935260.0	7857840.0	6670170.0	6246590.0	8761520.0	0	0.4698518779482289	0.13870675514263683	False	0.027894736842105264	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AFK9	POTD_ECOLI	potD	Spermidine/putrescine-binding periplasmic protein	17	17.0	31856500.0	31593900.0	30531600.0	29696600.0	29865700.0	30566700.0	0	0.4712462675892033	0.028188580275632407	False	0.02792105263157895	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P23003	TRMA_ECOLI	trmA	tRNA (uracil(54)-C(5))-methyltransferase	5	5.0	8738700.0	8973420.0	8312740.0	8475340.0	8506670.0	8411710.0	0	0.4726630069247739	-0.02762548539539884	False	0.027947368421052634	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AFM6	PSPA_ECOLI	pspA	Phage shock protein A	6	6.0	19092600.0	17433100.0	18319200.0	16514000.0	18716800.0	17238600.0	0	0.4733309410840839	0.05341769194973049	False	0.027973684210526317	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P75867	LONH_ECOLI	ycbZ	Putative Lon protease homolog	8	8.0	6599180.0	6655470.0	7193030.0	7565940.0	7941620.0	7300490.0	0	0.4734722710624062	-0.07141135059934468	False	0.028	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P20083	PARE_ECOLI	parE	DNA topoisomerase 4 subunit B	6	6.0	8810860.0	8707000.0	8941990.0	9520170.0	9062990.0	8919110.0	0	0.47471960093887994	-0.03305700721563778	False	0.028026315789473684	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P30870	GLNE_ECOLI	glnE	Glutamate-ammonia-ligase adenylyltransferase	8	8.0	1962180.0	1932020.0	1711890.0	1270880.0	1789830.0	1854110.0	0	0.4753431605820369	0.14697570147754374	False	0.02805263157894737	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AAQ2	YAJD_ECOLI	yajD	Uncharacterized protein YajD	4	4.0	17124400.0	17094600.0	17819900.0	18266600.0	17722500.0	17167100.0	0	0.4762196114720723	-0.02666991780734717	False	0.028078947368421054	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P27859	TATD_ECOLI	tatD	Tat-linked quality control protein TatD	4	4.0	5018050.0	5393080.0	5078490.0	5112360.0	5238340.0	5342990.0	0	0.4762435571062897	-0.02815313033584418	False	0.02810526315789474	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
Q59385	COPA_ECOLI	copA	Copper-exporting P-type ATPase A	6	6.0	3143940.0	3239540.0	3429170.0	3021250.0	3320280.0	3293720.0	0	0.4771471803786963	0.04239986922610711	False	0.028131578947368424	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
