Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A7K2	RL7_ECOLI	rplL	50S ribosomal protein L7/L12	14	14.0	2700360000.0	2560220000.0	2682290000.0	2727580000.0	2531770000.0	2681160000.0	0	0.313745737041539	0.044372370793692224	False	0.027356557377049184	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P08178	PUR5_ECOLI	purM	Phosphoribosylformylglycinamidine cyclo-ligase	4	4.0	6415890.0	6531250.0	6032780.0	6274600.0	6182660.0	5778960.0	0	0.31463305869699104	-0.05899971289006715	False	0.027382172131147544	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P67662	AAER_ECOLI	aaeR	HTH-type transcriptional activator AaeR	2	2.0	930537.0	124117.0	991674.0	218572.0	639410.0	161682.0	3	0.3160787981830023	1.0853408354635188	False	0.0274077868852459	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P17854	CYSH_ECOLI	cysH	Phosphoadenosine phosphosulfate reductase	10	10.0	24428400.0	26010100.0	26047100.0	26434100.0	26960800.0	26452300.0	0	0.3162361124088322	-0.0457248039316975	False	0.027433401639344265	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9K9	SLYD_ECOLI	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	5	5.0	468478000.0	480935000.0	560238000.0	492236000.0	501300000.0	592899000.0	0	0.31773733344330346	0.13723389131229102	False	0.027459016393442625	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0ABR1	DINI_ECOLI	dinI	DNA-damage-inducible protein I	2	2.0	137917.0	14457200.0	13333900.0	15304100.0	11524300.0	11575200.0	1	0.31987994853844304	-0.720999877514809	False	0.027484631147540985	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P21515	ACPH_ECOLI	acpH	Acyl carrier protein phosphodiesterase	3	3.0	1020320.0	1121380.0	1314820.0	965204.0	1097750.0	1193110.0	0	0.32366222924032795	0.1479611231355982	False	0.027510245901639346	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9T6	YBAQ_ECOLI	ybaQ	Uncharacterized HTH-type transcriptional regulator YbaQ	5	5.0	2899380.0	3758450.0	3632640.0	3852760.0	3340190.0	3482080.0	0	0.32367784455838083	-0.12908254495305393	False	0.027535860655737706	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P69739	MBHS_ECOLI	hyaA	Hydrogenase-1 small chain	3	3.0	2929230.0	3114370.0	2866360.0	2875880.0	2851620.0	2620570.0	0	0.32412570167585625	-0.07118939079956917	False	0.027561475409836066	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P32173	MOBA_ECOLI	mobA	Molybdenum cofactor guanylyltransferase	2	2.0	3324330.0	2975890.0	3596180.0	3364380.0	2893990.0	3042120.0	0	0.32434823179771655	0.10953029110380624	False	0.027587090163934427	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
