protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A7I7	68285976.89796132	72574026.98895188	73738594.66709767	71477050.97714807	76238360.36965078	65688655.80052234	0	0.9157441912224402	0.008052982606556165	False	0.046176762661370406	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A9F6	1986730.336650992	1370217.6531596617	1830160.9186666815	1744190.865464823	1902333.295663771	1611067.664358331	0	0.915782788323538	-0.019471481470190562	False	0.04620158887785502	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P64612	11404967.87962904	9956112.976647042	10657252.57231839	13899612.450074133	9724069.56992477	7737364.303437465	0	0.916226117470055	0.02992452272494108	False	0.046226415094339626	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P17315	18428182.122189365	19779855.762046136	18094322.57950484	19883300.12161674	19471823.434965298	16544923.50811444	0	0.916231770764093	0.010345910499959384	False	0.04625124131082423	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A759	60792892.42254353	64025370.999810494	66609669.29255481	65104293.987088375	63936090.609284006	63003954.46793251	0	0.917104907213772	-0.004638077977565471	False	0.04627606752730884	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P52612	1283756.6374755353	105810.48437500007	1358819.864600357	146892.9414173368	1760690.7789228847	1046543.5370271006	2	0.9171571468178672	-0.10414681856088473	False	0.046300893743793446	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A8Y1	8433043.147742743	7796520.954402646	8094521.489225263	9383645.90718226	7771973.203655568	7389485.894201911	0	0.9171784321043716	-0.013049767440362464	False	0.04632571996027806	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AES4	568989646.473553	589616847.6828964	585516720.5325496	578523608.3028506	576219069.100358	592028827.3561914	0	0.9177812451017859	-0.0021889377889693917	False	0.046350546176762666	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ADY3	1235185311.6152463	1305558624.586997	1285500856.213412	1257297625.1587777	1297806651.3894196	1263090387.038513	0	0.918988976843255	0.0030385184682222926	False	0.04637537239324727	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P04846	16610878.09558423	15994769.039961517	15869645.97676209	16142886.192731414	16607409.325694645	15829175.18696648	0	0.9192743691513355	-0.003097149459238426	False	0.04640019860973188	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
