protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P23538	109060218.90419848	111001861.88221568	104197461.0467882	107388670.36239047	109187395.24997722	106655433.72638571	0	0.885632431918191	0.004581231123048792	False	0.04621766715470962	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
Q47147	11782448.191197995	12042081.459341794	11144212.25387996	11984970.37835825	11870882.992566671	10914440.891134825	0	0.8860326300114385	0.008210615402816137	False	0.046242069302098586	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AC41	65712740.03170318	61183313.56345086	72804530.28273907	65727460.00310766	63408129.11540239	68870611.81251854	0	0.8898825981990368	0.012292939211150166	False	0.04626647144948756	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P06149	111742105.19666618	120708426.59850822	117395075.10784411	115602815.09760667	118079487.86050496	117415662.366937	0	0.890376005371665	-0.0051552600779796185	False	0.04629087359687653	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0A6Y1	138589234.95301768	125308121.84182107	119533333.01941602	132573501.22811256	129704845.92563064	123913638.01152018	0	0.8919013046464417	-0.010352408609248055	False	0.0463152757442655	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AEE1	279934757.3755493	308697364.2453052	315490877.8383892	296599717.3814833	302809503.62498045	309703798.3686181	0	0.896265380120205	-0.007940604627152681	False	0.04633967789165447	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P52108	44798754.257978246	39918591.33855072	38579145.63188259	41660830.53212016	40793025.76323262	41681684.58462427	0	0.8965937312361112	-0.009784484255700984	False	0.04636408003904344	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P17115	23710562.330136348	20849869.663662184	22522814.54701335	23600189.02421484	21772848.874216866	22124875.150254667	0	0.8977200203294374	-0.008890385690003092	False	0.04638848218643241	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P16659	716104562.3851795	744649600.4554834	745273876.3566915	741110040.7533964	739095971.4195731	730148970.1897577	0	0.8981530223828879	-0.0028269565451234054	False	0.04641288433382138	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P37349	50264294.959481664	55540053.567205325	53472686.30108838	54350188.77126646	55281676.74274995	50511073.54087853	0	0.898213848234762	-0.007821920334540348	False	0.04643728648121035	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
