Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P16700	CYSP_ECOLI	cysP	Thiosulfate-binding protein	20	20.0	29712100.0	26596100.0	29388800.0	28546900.0	29370300.0	29367000.0	0	0.2480136997445153	-0.06608582715417373	False	0.021037388098999476	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P33371	DUSC_ECOLI	dusC	tRNA-dihydrouridine synthase C	4	4.0	2418440.0	2603410.0	2120070.0	2614360.0	2607630.0	2613830.0	0	0.2486388520558241	0.13214290295155773	False	0.021063717746182202	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P77552	YDHQ_ECOLI	ydhQ	Uncharacterized protein YdhQ	6	6.0	15318500.0	12972600.0	14882200.0	14702300.0	15229300.0	14861500.0	0	0.24888733725278855	-0.09494736711067601	False	0.02109004739336493	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P30847	BAES_ECOLI	baeS	Signal transduction histidine-protein kinase BaeS	2	2.0	460128.0	88245.1	357727.0	322527.0	498557.0	427493.0	1	0.24916123917834024	-0.6511326115907591	False	0.021116377040547658	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A8X2	YCEI_ECOLI	yceI	Protein YceI	5	5.0	4823250.0	5224310.0	4625280.0	5225000.0	4569150.0	4583860.0	0	0.2495576983159892	0.10090166269630295	False	0.021142706687730387	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P64499	YEBO_ECOLI	yebO	Uncharacterized protein YebO	3	3.0	18746500.0	18997400.0	17282600.0	17959900.0	17941400.0	19596100.0	0	0.24975065674372002	0.06744270893156619	False	0.021169036334913113	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P31545	EFEB_ECOLI	efeB	Deferrochelatase/peroxidase EfeB	4	4.0	770674.0	1246710.0	1032630.0	1064100.0	980924.0	949586.0	0	0.24987208707016542	0.22776984333397166	False	0.02119536598209584	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A725	LPXC_ECOLI	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	2	2.0	3465030.0	3451690.0	3562060.0	3582470.0	3035030.0	3842100.0	0	0.2505702116937698	0.11224824461223343	False	0.02122169562927857	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P33570	TKT2_ECOLI	tktB	Transketolase 2	11	11.0	10391400.0	11955700.0	9565990.0	10687900.0	10478300.0	10259200.0	0	0.25057074696479564	0.11244628812378073	False	0.021248025276461295	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A9G6	ACEA_ECOLI	aceA	Isocitrate lyase	11	11.0	25120800.0	26144400.0	27033200.0	25291800.0	26749000.0	23881500.0	0	0.25070452773446017	-0.06709120992242015	False	0.021274354923644025	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A9U3	YBIT_ECOLI	ybiT	Uncharacterized ABC transporter ATP-binding protein YbiT	21	21.0	29232400.0	32879500.0	30275000.0	29847300.0	30492400.0	31433500.0	0	0.25106893883850223	0.06519712144127232	False	0.02130068457082675	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P62672	APAG_ECOLI	apaG	Protein ApaG	3	3.0	4313370.0	5099320.0	4045290.0	4671470.0	4389550.0	4202510.0	0	0.2517464487445264	0.13237808481000118	False	0.02132701421800948	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P24183	FDNG_ECOLI	fdnG	Formate dehydrogenase, nitrate-inducible, major subunit	29	29.0	23491400.0	24012200.0	24173200.0	24284900.0	23659300.0	24000200.0	0	0.2517618829066283	0.019556177722452488	False	0.02135334386519221	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P36771	LRHA_ECOLI	lrhA	Probable HTH-type transcriptional regulator LrhA	2	2.0	8944790.0	8470900.0	8134630.0	7094290.0	7884230.0	7134810.0	0	0.25218961202251616	-0.1371365922895257	False	0.021379673512374936	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A8C4	YGFB_ECOLI	ygfB	UPF0149 protein YgfB	2	2.0	21629100.0	22535400.0	19358400.0	21206200.0	21396500.0	22101500.0	0	0.2523073596659484	0.0778562019341687	False	0.021406003159557666	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
