Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69931	HDA_ECOLI	hda	DnaA-homolog protein hda	7	7.0	4829290.0	4959890.0	5214770.0	5109720.0	4159610.0	5016480.0	0	0.657298691861119	0.050053008736887956	False	0.037817522032141004	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P19926	AGP_ECOLI	agp	Glucose-1-phosphatase	5	5.0	14657400.0	14562100.0	14996700.0	15600400.0	14908900.0	15461300.0	0	0.6585316899380891	-0.017500651188979022	False	0.03784344219803007	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P76389	YEGH_ECOLI	yegH	UPF0053 protein YegH	2	2.0	92742.0	1288280.0	75684.6	78531.8	1099730.0	1022410.0	3	0.660846739869277	-0.590548864494977	False	0.03786936236391913	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P62623	ISPH_ECOLI	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	8	8.0	8310360.0	8935890.0	8823320.0	8298270.0	8238550.0	8903760.0	0	0.6612271182704768	-0.023589403024014296	False	0.03789528252980819	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
Q46948	YAJL_ECOLI	yajL	Chaperone protein YajL	4	4.0	16606500.0	15652900.0	17006400.0	17814300.0	16453000.0	17648100.0	0	0.6614069070130029	-0.029481959811251048	False	0.03792120269569726	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AFA7	NHAB_ECOLI	nhaB	Na(+)/H(+) antiporter NhaB	2	2.0	3925010.0	4309340.0	4194490.0	3662080.0	4779670.0	3517900.0	0	0.6615461195067633	-0.0704827037387885	False	0.037947122861586316	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P21888	SYC_ECOLI	cysS	Cysteine--tRNA ligase	21	21.0	55248900.0	55660600.0	54329300.0	54524500.0	55204700.0	55267400.0	0	0.6635421128594639	0.005527269330915796	False	0.037973043027475374	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AET8	HDHA_ECOLI	hdhA	7-alpha-hydroxysteroid dehydrogenase	1	1.0	5650230.0	4546950.0	4921390.0	4573510.0	4061380.0	5104720.0	0	0.6636507192440775	0.06832263562585797	False	0.03799896319336444	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P13009	METH_ECOLI	metH	Methionine synthase	25	25.0	12219100.0	12124300.0	12060700.0	11985700.0	12311700.0	11661100.0	0	0.6639497344545218	0.011786835360786594	False	0.038024883359253504	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P31678	OTSB_ECOLI	otsB	Trehalose-6-phosphate phosphatase	1	1.0	822154.0	743812.0	894408.0	774293.0	905104.0	662169.0	0	0.6659996113604255	-0.07297561661511331	False	0.03805080352514256	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P08839	PT1_ECOLI	ptsI	Phosphoenolpyruvate-protein phosphotransferase	32	32.0	309278000.0	302211000.0	300222000.0	305541000.0	308347000.0	315433000.0	0	0.6661593879885184	-0.010927042995157468	False	0.03807672369103162	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AFH8	OSMY_ECOLI	osmY	Osmotically-inducible protein Y	12	12.0	116932000.0	113941000.0	117209000.0	116564000.0	117263000.0	114723000.0	0	0.6664794779377388	-0.0072815008953898835	False	0.038102643856920686	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
