Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P15042	P15042		ligA		4.67405e+06	4.58027e+06	4.76946e+06	4.71029e+06	4.6992e+06	4.64089e+06
P15067	P15067		glgX		2.6204e+06	2.71101e+06	2.70661e+06	2.62757e+06	2.52251e+06	2.7057e+06
P15070	P15070		fliN		3.30164e+06	2.7365e+06	3.59243e+06	2.90647e+06	3.32648e+06	3.36198e+06
P15254	P15254		purL		3.08268e+06	3.12914e+06	3.12934e+06	3.08612e+06	3.10615e+06	3.09896e+06
P15288	P15288		pepD		1.82142e+07	1.79311e+07	1.71595e+07	1.78578e+07	1.75941e+07	1.71198e+07
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				2.34937e+06	2.3163e+06	1.97964e+06	2.36835e+06	1.96508e+06	1.08181e+06
P15639	P15639		purH		4.40818e+06	4.43216e+06	4.52319e+06	4.46457e+06	4.53661e+06	4.41769e+06
P15640	P15640		purD		2.78053e+06	2.84134e+06	2.67315e+06	2.99329e+06	2.58797e+06	2.71649e+06
P15770	P15770		aroE		3.36442e+06	3.22092e+06	3.32917e+06	3.32987e+06	3.361e+06	3.27105e+06
P15977	P15977		malQ		3.50531e+06	3.51028e+06	3.42613e+06	3.47342e+06	3.68622e+06	3.62484e+06
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				6.21165e+06	6.03797e+06	518122	6.05492e+06		
P16095	P16095		sdaA		1.96489e+06	1.98903e+06	2.0927e+06	1.92878e+06	2.02904e+06	2.0534e+06
P16384	P16384		miaA		2.32855e+06	2.17835e+06	2.3137e+06	2.0882e+06	2.35669e+06	2.45151e+06
