Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0AGJ2	TRMH_ECOLI	trmH	tRNA (guanosine(18)-2'-O)-methyltransferase	4	4	1.0688e+07	1.05027e+07	1.1058e+07	1.05215e+07	1.15336e+07	1.08477e+07
P0AGJ5	YFIF_ECOLI	yfiF	Uncharacterized tRNA/rRNA methyltransferase YfiF	11	11	4.74602e+07	4.83544e+07	4.67082e+07	4.81357e+07	4.68594e+07	4.63791e+07
P0AGJ7	TRML_ECOLI	trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	6	6	1.01927e+07	1.03341e+07	1.10465e+07	1.10638e+07	1.14038e+07	1.15612e+07
P0AGJ9	SYY_ECOLI	tyrS	Tyrosine--tRNA ligase	18	18	1.07357e+08	1.08372e+08	1.04432e+08	1.08339e+08	1.10854e+08	1.0509e+08
P0AGK4	YHBY_ECOLI	yhbY	RNA-binding protein YhbY	2	2	7.38542e+07	6.22509e+07	7.86441e+07	6.33564e+07	6.30938e+07	7.92709e+07
P0AGK8	ISCR_ECOLI	iscR	HTH-type transcriptional regulator IscR	3	3	1.00891e+07	9.48515e+06	1.00374e+07	8.7963e+06	8.75928e+06	1.01944e+07
P0AGL2	TDCF_ECOLI	tdcF	Putative reactive intermediate deaminase TdcF	3	3	2.18582e+08	2.14561e+08	2.38238e+08	2.23001e+08	2.12899e+08	2.23665e+08
P0AGL5	RATA_ECOLI	ratA	Ribosome association toxin RatA	2	2	1.02113e+06	1.24434e+06	1.19565e+06	1.1846e+06	1.16556e+06	1.50864e+06
P0AGL7	RSME_ECOLI	rsmE	Ribosomal RNA small subunit methyltransferase E	5	5	1.66871e+07	1.58133e+07	1.68731e+07	1.62893e+07	1.61797e+07	1.70327e+07
P0AGM5	SIRB1_ECOLI	sirB1	Protein sirB1	1	1	1.90363e+06	2.09804e+06	2.38501e+06	2.01466e+06	2.18282e+06	2.0923e+06
P0C018	RL18_ECOLI	rplR	50S ribosomal protein L18	5	5	3.58152e+08	2.70259e+08	3.57462e+08	2.66593e+08	2.44575e+08	3.50941e+08
P0C037	YAIE_ECOLI	yaiE	UPF0345 protein YaiE	2	2	3.97001e+07	4.36776e+07	3.49147e+07	4.30398e+07	4.29713e+07	4.30615e+07
P0C054	IBPA_ECOLI	ibpA	Small heat shock protein IbpA	7	7	1.67484e+07	1.65769e+07	1.76561e+07	1.6092e+07	1.70269e+07	1.69029e+07
P0C058	IBPB_ECOLI	ibpB	Small heat shock protein IbpB	2	2	1.08784e+06	1.51097e+06	1.42575e+06	1.31087e+06	1.58595e+06	1.4425e+06
P0C066	MLTC_ECOLI	mltC	Membrane-bound lytic murein transglycosylase C	1	1	1.67523e+06		1.26944e+06	946284	857051	
P0C093	SLMA_ECOLI	slmA	Nucleoid occlusion factor SlmA	6	6	1.45012e+07	1.40288e+07	1.49541e+07	1.29437e+07	1.46135e+07	1.42712e+07
P0C0K3	RDOA_ECOLI	rdoA	Protein RdoA	10	10	4.12089e+06	4.41363e+06	4.34078e+06	4.60289e+06	4.84411e+06	4.85072e+06
P0C0L2	OSMC_ECOLI	osmC	Peroxiredoxin OsmC	6	6	2.25571e+07	2.19706e+07	2.11836e+07	2.05171e+07	2.26097e+07	2.17355e+07
