Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
P0ABT2	DPS_ECOLI	dps	DNA protection during starvation protein	19	19	4.6589e+08	4.22544e+08	4.69159e+08	4.68604e+08	4.5399e+08	4.74862e+08
P0ABU0	MENB_ECOLI	menB	1,4-Dihydroxy-2-naphthoyl-CoA synthase	8	8	3.09411e+07	2.86386e+07	3.06089e+07	3.2968e+07	3.06145e+07	3.07846e+07
P0ABU2	YCHF_ECOLI	ychF	Ribosome-binding ATPase YchF	17	17	1.50227e+08	1.47638e+08	1.51582e+08	1.52371e+08	1.49172e+08	1.49562e+08
P0ABU5	ELBB_ECOLI	elbB	Enhancing lycopene biosynthesis protein 2	3	3	8.72156e+07	8.86476e+07	9.45963e+07	8.98643e+07	8.77148e+07	9.33126e+07
P0ABU7	EXBB_ECOLI	exbB	Biopolymer transport protein ExbB	6	6	6.63991e+07	4.41828e+07	6.84673e+07	7.22553e+07	7.21764e+07	7.01125e+07
P0ABU9	TOLQ_ECOLI	tolQ	Protein TolQ	5	5	1.17649e+07	1.16894e+07	1.14486e+07	1.10885e+07	1.17496e+07	1.08434e+07
P0ABV2	EXBD_ECOLI	exbD	Biopolymer transport protein ExbD	3	3	1.73317e+07	1.78907e+07	1.77261e+07	1.60569e+07	1.6153e+07	1.76136e+07
P0ABV6	TOLR_ECOLI	tolR	Protein TolR	4	4	2.73819e+07	2.65158e+07	2.77361e+07	2.57025e+07	2.59862e+07	2.66203e+07
P0ABX2	FLGC_ECOLI	flgC	Flagellar basal-body rod protein FlgC	3	3	1.79738e+06	2.15817e+06	2.01784e+06	1.75481e+06	1.61595e+06	2.1341e+06
P0ABX5	FLGG_ECOLI	flgG	Flagellar basal-body rod protein FlgG	3	3	5.43876e+06	6.11969e+06	5.24353e+06	4.36483e+06	4.31403e+06	5.72326e+06
