Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0AGB6	P0AGB6		rpoE		3.63716e+06	3.8105e+06	3.76519e+06	3.74656e+06	3.61567e+06	3.76251e+06
P0AGC3	P0AGC3		slt		1.23689e+06	1.14828e+06	1.30158e+06	1.15418e+06	1.30307e+06	1.13654e+06
P0AGD1	P0AGD1		sodC		778067	581939	796021	598189	710851	537296
P0AGD3	P0AGD3		sodB		5.36862e+07	5.74645e+07	5.29441e+07	6.04841e+07	5.00749e+07	5.96813e+07
P0AGD7	P0AGD7		ffh		4.79752e+06	4.53788e+06	4.82555e+06	4.53311e+06	4.83046e+06	4.68322e+06
P0AGE0	P0AGE0		ssb		3.00636e+07	3.01057e+07	3.0237e+07	3.04061e+07	3.00427e+07	2.98233e+07
P0AGE6	P0AGE6		yieF		1.02286e+07	1.06693e+07	1.04393e+07	1.04446e+07	9.92969e+06	1.07345e+07
P0AGE9	P0AGE9		sucD		7.10623e+06	6.84932e+06	7.22017e+06	6.84464e+06	7.26402e+06	6.90844e+06
P0AGF2	P0AGF2		ygdK		1.60023e+06	1.83325e+06	1.76795e+06	1.97136e+06	1.96469e+06	2.03862e+06
P0AGG0	P0AGG0		thiL		3.22898e+06	3.01704e+06	3.44946e+06	2.95281e+06	3.51334e+06	3.2475e+06
P0AGG2	P0AGG2		tesB		704312	754197	665873	612449	639882	795753
P0AGG4	P0AGG4		trxC		3.69614e+06	3.66593e+06	3.83416e+06	3.04815e+06	3.69581e+06	3.4942e+06
P0AGG8	P0AGG8		tldD		3.08144e+06	2.79732e+06	3.08458e+06	2.82468e+06	3.08515e+06	2.88003e+06
P0AGI8	P0AGI8		trkA		343572	391584	411745	401484	553702	322883
P0AGJ2	P0AGJ2		trmH		1.46103e+06	1.50092e+06	1.48746e+06	1.6064e+06	1.50346e+06	1.65141e+06
P0AGJ5	P0AGJ5		yfiF		1.23879e+07	1.22828e+07	1.24032e+07	1.20745e+07	1.22507e+07	1.22975e+07
P0AGJ7	P0AGJ7		trmL		2.6693e+06	2.4976e+06	2.67567e+06	2.5907e+06	2.59727e+06	2.62806e+06
P0AGJ9	P0AGJ9		tyrS		8.82667e+06	8.95061e+06	8.90883e+06	8.99396e+06	8.67172e+06	8.96611e+06
P0AGK4	P0AGK4		yhbY		1.90682e+07	1.93576e+07	1.88902e+07	2.01607e+07	1.91128e+07	1.93009e+07
P0AGK8	P0AGK8		iscR		2.14147e+06	2.21524e+06	2.29767e+06	2.22274e+06	2.18801e+06	1.98515e+06
P0AGL2	P0AGL2		tdcF		1.09706e+06	926794	968736	963526	1.11051e+06	1.06902e+06
P0AGL5	P0AGL5		ratA		532999	417172	586241	420133	577917	506782
P0AGL7	P0AGL7		rsmE		4.04092e+06	4.43046e+06	4.19796e+06	4.51877e+06	4.21141e+06	4.56794e+06
P0C018	P0C018		rplR		5.14182e+07	5.00837e+07	5.54165e+07	5.28105e+07	5.30363e+07	5.24116e+07
P0C037	P0C037		yaiE		1.08498e+07	1.12958e+07	1.12639e+07	9.85187e+06	9.72723e+06	1.10264e+07
P0C054	P0C054		ibpA		4.47442e+06	4.3155e+06	4.54338e+06	4.45225e+06	4.5166e+06	4.16111e+06
P0C093	P0C093		slmA		3.19505e+06	3.75797e+06	3.1978e+06	3.46148e+06	3.12558e+06	3.41041e+06
P0C0K3	P0C0K3		rdoA		909089	905927	932558	855923	853827	889585
P0C0L2	P0C0L2		osmC		5.53944e+06	5.5586e+06	5.57456e+06	5.62729e+06	5.61976e+06	5.83348e+06
P0C0L7	P0C0L7		proP		2.41339e+06	2.55904e+06	2.35607e+06	2.48274e+06	2.26066e+06	2.65814e+06
P0C0L9	P0C0L9		iscX		1.58369e+06	1.64583e+06	1.5638e+06	1.6814e+06	1.61378e+06	1.58878e+06
P0C0R7	P0C0R7		rlmE		3.87046e+06	4.0509e+06	3.84474e+06	4.03077e+06	3.94569e+06	4.22182e+06
P0C0S1	P0C0S1		mscS		6.94977e+06	7.83673e+06	7.09636e+06	7.7515e+06	6.94378e+06	8.10359e+06
P0C0T5	P0C0T5		mepA		3.52696e+06	4.84132e+06	3.11139e+06	4.01963e+06	3.04018e+06	4.5568e+06
P0C0V0	P0C0V0		degP		1.65979e+07	1.44296e+07	1.60728e+07	1.38159e+07	1.60771e+07	1.41595e+07
P0CB39	P0CB39		eptC		2.05716e+06	1.57599e+06	2.04473e+06	1.67906e+06	2.1432e+06	1.71497e+06
P0CE47	P0CE47		tufA		1.56066e+09	1.52964e+09	1.59122e+09	1.51032e+09	1.57091e+09	1.53179e+09
P0CG19	P0CG19		rph		8.049e+06	7.10235e+06	7.80732e+06	6.46525e+06	7.83458e+06	6.88514e+06
P0CK95	P0CK95		yghJ		5.13536e+06	5.16934e+06	5.19757e+06	5.27396e+06	5.11201e+06	5.16087e+06
P10100	P10100		rlpA		3.44921e+06	3.41223e+06	3.5292e+06	3.55454e+06	3.61406e+06	3.40773e+06
P10121	P10121		ftsY		7.67011e+06	7.09337e+06	7.75851e+06	7.116e+06	7.84785e+06	7.12088e+06
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)					1.09458e+07		1.05718e+07		1.07538e+07
P10346	P10346		glnQ		3.36844e+06	3.51888e+06	3.43508e+06	3.13187e+06	3.23113e+06	3.40042e+06
P10371	P10371		hisA		3.01358e+06	2.58623e+06	3.17542e+06	2.67506e+06	3.32505e+06	2.71639e+06
P10384	P10384		fadL		1.24557e+07	1.20498e+07	1.2523e+07	1.20993e+07	1.24892e+07	1.25729e+07
P10408	P10408		secA		6.74569e+06	6.52291e+06	6.77953e+06	6.49405e+06	6.64474e+06	6.59841e+06
P10441	P10441		lpxB		1.04595e+06	1.04767e+06	1.1545e+06	1.05732e+06	1.2351e+06	1.09362e+06
P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)				1.09701e+06	1.72987e+06	1.30744e+06	1.98243e+06	973657	1.74127e+06
