Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P18355	P18355				2.05585e+06	2.13676e+06	2.28561e+06	2.16044e+06	2.14748e+06	
P18390	P18390		yjjA		1.4585e+06	1.55434e+06	1.56445e+06	1.54887e+06	1.47189e+06	1.65831e+06
P18392	P18392		rstB		418564	301148	311116	325423	368443	338513
P18775	P18775		dmsA		3.32514e+06	3.39948e+06	3.38331e+06	3.16486e+06	3.12334e+06	3.201e+06
P18776	P18776		dmsB		2.1476e+06	2.17835e+06	2.08969e+06	2.17603e+06	2.25068e+06	2.22988e+06
P18843	P18843		nadE		1.14591e+07	1.15864e+07	1.16299e+07	1.14068e+07	1.14536e+07	1.203e+07
P19318	P19318		narY		663220	618648	640551	534818	635329	620221
P19624	P19624		pdxA		622115	563056	619413	560203	635606	590885
P19926	P19926		agp		3.11803e+06	3.22313e+06	3.17842e+06	3.20822e+06	3.20695e+06	3.19049e+06
P19930	P19930		hyaD		1.55249e+06	1.48147e+06	1.44285e+06	1.5667e+06	1.38906e+06	1.56648e+06
P19931	P19931		hyaE		1.4348e+06	1.21768e+06	1.30033e+06	1.38173e+06	1.40162e+06	1.31039e+06
P19932	P19932		hyaF		1.45962e+06	1.18251e+06	1.23782e+06	1.17011e+06	1.15241e+06	986917
P19934	P19934		tolA		1.75774e+06	1.72539e+06	1.57487e+06	1.75169e+06	1.75759e+06	1.47276e+06
P20083	P20083		parE		1.83423e+06	1.83622e+06	1.86593e+06	1.83021e+06	1.92964e+06	1.85776e+06
P20099	P20099		bisC		917746	810767	876336	935499	955580	733098
P20605	P20605		fic		1.41068e+06	1.60405e+06	1.68273e+06	1.50736e+06	1.42633e+06	1.58112e+06
P20966	P20966		fruA		1.0595e+07	1.09066e+07	1.07348e+07	1.07733e+07	1.04957e+07	1.04164e+07
P21156	P21156		cysD		3.04624e+06	3.21989e+06	3.15332e+06	3.08508e+06	3.16352e+06	2.28011e+06
