Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P0ADF6	P0ADF6		edd		1.71384e+06	1.69824e+06	1.69105e+06	1.67379e+06	1.62855e+06	1.55523e+06
P0ADG4	P0ADG4		suhB		1.43539e+07	1.42771e+07	1.45711e+07	1.42858e+07	1.46278e+07	1.48335e+07
P0ADG7	P0ADG7		guaB		3.67859e+07	3.78414e+07	3.79557e+07	3.62557e+07	3.58276e+07	3.77779e+07
P0ADH5	P0ADH5		fimB		972853	955918	929658	993148	848534	917502
P0ADI4	P0ADI4		entB		1.19678e+06	1.09075e+06	1.20098e+06	1.12213e+06	1.16506e+06	1.25675e+06
P0ADI7	P0ADI7		yecD		9.65813e+06	9.15815e+06	9.2022e+06	9.15758e+06	9.40298e+06	8.87438e+06
P0ADK0	P0ADK0		yiaF		1.54883e+07	1.55863e+07	1.59464e+07	1.51673e+07	1.5396e+07	1.57022e+07
P0ADK8	P0ADK8		yibL		7.95463e+06	8.14048e+06	7.78668e+06	7.96441e+06	7.76737e+06	8.01491e+06
P0ADM8	P0ADM8		yieE		1.13771e+06	1.15868e+06	1.15861e+06			1.00571e+06
P0ADN2	P0ADN2		yifE		6.36396e+06	7.06138e+06	6.83233e+06	6.48538e+06	6.1417e+06	6.79203e+06
P0ADP0	P0ADP0		yigB		1.18928e+06	1.21992e+06	1.20198e+06	1.17867e+06	1.17679e+06	1.16763e+06
P0ADP7	P0ADP7		yigP		1.36989e+06	1.4861e+06	1.405e+06	1.40934e+06	1.28104e+06	1.69579e+06
P0ADP9	P0ADP9		yihD		3.85841e+06	4.13789e+06	4.27282e+06	3.97373e+06	3.77083e+06	4.24644e+06
P0ADQ2	P0ADQ2		yiiD		1.22478e+06	1.27052e+06	1.29414e+06	1.19689e+06	1.37319e+06	1.40705e+06
P0ADQ7	P0ADQ7		ygaM		5.41444e+06	5.45912e+06	5.31595e+06	5.46448e+06	5.22805e+06	4.99142e+06
P0ADR6	P0ADR6		rlmM		3.70892e+06	3.58387e+06	3.67352e+06	3.69371e+06	3.69581e+06	3.86578e+06
P0ADR8	P0ADR8		ygdH		6.64727e+06	6.68471e+06	6.90355e+06	6.75162e+06	6.82394e+06	6.90642e+06
P0ADS2	P0ADS2		zapA		1.62353e+07	1.66959e+07	1.67833e+07	1.65405e+07	1.63543e+07	1.5357e+07
P0ADS6	P0ADS6		yggE		5.23323e+06	5.23329e+06	5.13854e+06	5.2845e+06	5.351e+06	5.35158e+06
P0ADS9	P0ADS9		yggN		2.08221e+06	2.13541e+06	2.08122e+06	2.17358e+06	2.01904e+06	1.98973e+06
P0ADT2	P0ADT2		ygiB		1.06986e+06	913662	1.02851e+06	994335	1.15123e+06	977967
P0ADT5	P0ADT5		ygiC		3.15839e+06	3.31143e+06	3.2115e+06	3.20683e+06	3.18636e+06	3.29654e+06
P0ADT8	P0ADT8		ygiM		3.52767e+06	3.51931e+06	3.45099e+06	3.33298e+06	3.48858e+06	3.46943e+06
