Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P0AFQ7	YCFH_ECOLI	ycfH	Uncharacterized deoxyribonuclease YcfH	8	8	2.20482e+07	2.23345e+07	2.16504e+07	2.17998e+07	2.08584e+07	2.14213e+07
P0AFR2	DAUA_ECOLI	dauA	C4-dicarboxylic acid transporter DauA	2	2	4.00109e+06	3.5909e+06	5.08171e+06	4.15273e+06	4.98011e+06	4.37977e+06
P0AFR4	YCIO_ECOLI	yciO	Uncharacterized protein YciO	7	7	2.78934e+07	2.94093e+07	3.09158e+07	2.97726e+07	2.96386e+07	2.97752e+07
P0AFT2	YECS_ECOLI	yecS	Inner membrane amino-acid ABC transporter permease protein YecS	2	2	944524	1.29988e+06	1.35204e+06		1.40123e+06	1.39298e+06
P0AFT5	YEHT_ECOLI	yehT	Transcriptional regulatory protein YehT	2	2	582389	728290	589649	513691	803549	684298
P0AFU4	GLRR_ECOLI	glrR	Transcriptional regulatory protein GlrR	4	4	2.77656e+06	2.21121e+06	2.85169e+06	2.63829e+06	2.78981e+06	2.61292e+06
P0AFU8	RISA_ECOLI	ribC	Riboflavin synthase	7	7	6.45628e+07	5.90584e+07	5.99862e+07	5.98255e+07	5.93343e+07	5.83663e+07
P0AFW0	RFAH_ECOLI	rfaH	Transcriptional activator RfaH	2	2	5.77951e+06	5.45545e+06	6.7788e+06	5.48062e+06	6.29755e+06	7.60728e+06
P0AFW8	ROF_ECOLI	rof	Protein rof	3	3	2.57558e+07	2.51145e+07	2.50429e+07	2.49345e+07	2.4561e+07	2.45247e+07
P0AFX0	HPF_ECOLI	hpf	Ribosome hibernation promoting factor	4	4	7.34998e+06	8.21162e+06	9.04314e+06	1.01085e+07	9.85778e+06	7.94044e+06
P0AFX7	RSEA_ECOLI	rseA	Sigma-E factor negative regulatory protein	1	1	5.27068e+06	5.11344e+06	3.6316e+06	5.35627e+06	4.85375e+06	4.81443e+06
P0AFX9	RSEB_ECOLI	rseB	Sigma-E factor regulatory protein RseB	6	6	1.20504e+07	1.13577e+07	1.15682e+07	1.08898e+07	1.15246e+07	1.13294e+07
P0AFY8	SEQA_ECOLI	seqA	Negative modulator of initiation of replication	12	12	9.10525e+07	1.03132e+08	1.03249e+08	1.04638e+08	1.01614e+08	1.03057e+08
P0AFZ1	SSEB_ECOLI	sseB	Protein SseB	4	4	1.29169e+07	1.80658e+07	1.77494e+07	1.72242e+07	1.66175e+07	1.74953e+07
P0AFZ3	SSPB_ECOLI	sspB	Stringent starvation protein B	4	4	4.53228e+07	4.56549e+07	4.49441e+07	4.40252e+07	4.52134e+07	4.35979e+07
P0AG00	WZZE_ECOLI	wzzE	Lipopolysaccharide biosynthesis protein WzzE	5	5	1.60632e+07	1.63811e+07	1.6213e+07	1.58521e+07	1.53361e+07	1.58987e+07
P0AG03	UBIX_ECOLI	ubiX	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	2	2	1.44632e+06	1.28474e+06	1.85611e+06	1.6793e+06	1.74279e+06	2.28373e+06
P0AG07	RPE_ECOLI	rpe	Ribulose-phosphate 3-epimerase	7	7	6.239e+07	7.29765e+07	6.91614e+07	6.4912e+07	6.82014e+07	6.65011e+07
P0AG14	SOHB_ECOLI	sohB	Probable protease SohB	4	4	1.67438e+07	1.72598e+07	1.72765e+07	1.75748e+07	1.68707e+07	1.73798e+07
P0AG16	PUR1_ECOLI	purF	Amidophosphoribosyltransferase	10	10	3.0179e+06	3.04293e+06	2.86794e+06	2.65906e+06	2.74795e+06	2.65739e+06
P0AG18	PURE_ECOLI	purE	N5-carboxyaminoimidazole ribonucleotide mutase	3	3	9.72367e+06	7.84888e+06	9.19466e+06	9.53161e+06	8.28482e+06	8.84892e+06
