Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P05020	P05020		pyrC		6.43455e+06	6.56198e+06	6.26848e+06	6.59808e+06	6.28461e+06	6.7776e+06
P05041	P05041		pabB		1.77769e+06	1.7362e+06	1.81245e+06	1.5391e+06	1.69518e+06	1.62161e+06
P05055	P05055		pnp		3.57995e+07	3.60581e+07	3.52799e+07	3.50239e+07	3.52315e+07	3.57477e+07
P05100	P05100		tag		1.50868e+06	1.52805e+06	1.53024e+06	1.42321e+06	1.56798e+06	1.4809e+06
P05194	P05194		aroD		1.26382e+06	1.23362e+06	1.37711e+06	1.28692e+06	1.21267e+06	1.25683e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				1.12442e+06	1.16172e+06	2.68215e+06	2.83474e+06	2.43762e+06	1.12397e+06
P05458	P05458		ptrA		915908	998363	923398	988414	988110	897452
P05459	P05459		pdxB		6.08055e+06	6.03728e+06	6.06547e+06	5.93842e+06	5.921e+06	5.88777e+06
P05637	P05637		apaH		1.57914e+06	1.57963e+06	1.5728e+06	1.81011e+06	1.56398e+06	1.74295e+06
P05719	P05719		hsdS		1.05431e+06	1.0303e+06	1.0389e+06	1.10174e+06	1.04095e+06	1.04062e+06
P05791	P05791		ilvD		3.08233e+06	3.11868e+06	3.08464e+06	3.05984e+06	3.10627e+06	3.04249e+06
P05793	P05793		ilvC		7.78802e+06	7.69502e+06	8.13668e+06	8.20724e+06	8.01348e+06	8.11303e+06
P05825	P05825		fepA		1.96177e+06	1.92487e+06	2.00566e+06	2.04369e+06	2.00858e+06	1.87933e+06
P05852	P05852		gcp		2.61246e+06	2.79252e+06	2.60685e+06	2.64452e+06	2.70015e+06	2.63593e+06
P06129	P06129		btuB		1.49732e+07	1.4829e+07	1.51551e+07	1.50105e+07	1.4757e+07	1.46147e+07
P06136	P06136		ftsQ		596498	611284	605921	562743	605910	599634
P06149	P06149		dld		6.34179e+06	6.26559e+06	6.37043e+06	6.16672e+06	6.25618e+06	6.01904e+06
P06282	P06282		cdh		1.16623e+06	1.14595e+06	1.08789e+06	1.14262e+06	920328	1.13569e+06
P06610	P06610		btuE		9.02741e+06	8.79815e+06	9.18948e+06	9.20981e+06	8.66063e+06	8.5054e+06
P06612	P06612		topA		5.6799e+06	5.67912e+06	5.65999e+06	5.59326e+06	5.65326e+06	5.58717e+06
P06616	P06616		era		3.53286e+06	3.50865e+06	3.55079e+06	3.47329e+06	3.45661e+06	3.43413e+06
P06709	P06709		birA		1.02242e+06	1.02798e+06	984698	996703	1.02499e+06	1.04421e+06
P06710	P06710		dnaX		1.38978e+06	1.39581e+06	1.32658e+06	1.38904e+06	1.46215e+06	1.38954e+06
P06715	P06715		gor		5.12913e+06	5.23235e+06	5.17666e+06	5.12166e+06	5.15975e+06	5.27557e+06
P06722	P06722		mutH		496519	526553	465605	473296	449189	500518
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				409560	357454	744334	720816	680383	360408
P06846	P06846		ebgR		1.41798e+06	1.45665e+06	1.46114e+06	1.26058e+06	1.25755e+06	1.15205e+06
P06959	P06959		aceF		6.09352e+07	6.17229e+07	6.05021e+07	6.02838e+07	6.03934e+07	6.11605e+07
P06961	P06961		cca		1.08823e+06	1.08851e+06	1.08591e+06	1.1177e+06	1.1578e+06	1.07013e+06
P06968	P06968		dut		1.03698e+07	1.05716e+07	1.06998e+07	1.047e+07	1.07397e+07	1.02991e+07
P06971	P06971		fhuA		1.38455e+07	1.41305e+07	1.38758e+07	1.40012e+07	1.40157e+07	1.40751e+07
P06974	P06974		fliM		1.49306e+06	1.54254e+06	1.50563e+06	1.52187e+06	1.53444e+06	1.45983e+06
P06983	P06983		hemC		1.07866e+07	1.07913e+07	1.06843e+07	1.06935e+07	1.07454e+07	1.07049e+07
P06986	P06986		hisC		4.37874e+06	4.41553e+06	4.43135e+06	4.28537e+06	4.36647e+06	4.46496e+06
P06987	P06987		hisB		1.17069e+06	1.20031e+06	1.15878e+06	1.17201e+06	1.19402e+06	1.13211e+06
