Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P0A7I0	P0A7I0		prfA		3.97426e+06	4.07808e+06	4.09143e+06	3.92493e+06	4.11018e+06	4.09225e+06
P0A7I4	P0A7I4		prfC		5.50907e+06	5.58239e+06	5.67526e+06	5.53794e+06	5.73767e+06	5.68358e+06
P0A7I7	P0A7I7		ribA		9.51548e+06	9.6341e+06	9.60562e+06	9.67014e+06	8.81879e+06	9.13922e+06
P0A7J0	P0A7J0		ribB		1.55601e+07	1.63681e+07	1.59461e+07	1.48021e+07	1.48041e+07	1.62498e+07
P0A7J3	P0A7J3		rplJ		5.25949e+08	5.06118e+08	5.04382e+08	5.10372e+08	5.06025e+08	4.98667e+08
P0A7J7	P0A7J7		rplK		1.57004e+08	1.55755e+08	1.4995e+08	1.56207e+08	1.53705e+08	1.51057e+08
P0A7K2	P0A7K2		rplL		1.9297e+08	1.94487e+08	1.9968e+08	1.87281e+08	1.85071e+08	1.96296e+08
P0A7K6	P0A7K6		rplS		7.2759e+07	6.92495e+07	6.97955e+07	7.28584e+07	7.22722e+07	7.03155e+07
P0A7L0	P0A7L0		rplA		3.07005e+08	3.30304e+08	3.16465e+08	3.00024e+08	3.03609e+08	3.1205e+08
P0A7L3	P0A7L3		rplT		3.62831e+07	3.81173e+07	3.91035e+07	3.55859e+07	3.54681e+07	4.0699e+07
P0A7L8	P0A7L8		rpmA		1.67005e+08	1.64612e+08	1.53551e+08	1.77065e+08	1.67917e+08	1.58053e+08
P0A7M2	P0A7M2		rpmB		1.43143e+08	1.53714e+08	1.55353e+08	1.45082e+08	1.43354e+08	1.50312e+08
P0A7M6	P0A7M6		rpmC		2.11465e+07	2.58479e+07	2.45786e+07	2.0653e+07	1.92512e+07	2.46892e+07
P0A7M9	P0A7M9		rpmE		5.13797e+07	5.05888e+07	5.08768e+07	5.02852e+07	5.34479e+07	5.07196e+07
P0A7N4	P0A7N4		rpmF		3.9411e+07	4.1479e+07	4.18762e+07	3.85058e+07	3.90849e+07	4.22332e+07
