Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0ACD8	P0ACD8		hyaB		5.5481e+06	5.61398e+06	5.59711e+06	5.64494e+06	5.66858e+06	5.78756e+06
P0ACE0	P0ACE0		hybC		1.41149e+07	1.4131e+07	1.4338e+07	1.42647e+07	1.40045e+07	1.39826e+07
P0ACE3	P0ACE3		hha		3.90462e+06	3.63976e+06	3.742e+06	3.83307e+06	3.55257e+06	3.4728e+06
P0ACE7	P0ACE7		hinT		1.19422e+07	1.18725e+07	1.15758e+07	1.18596e+07	1.15939e+07	1.1704e+07
P0ACF0	P0ACF0		hupA		4.89978e+08	5.14853e+08	4.87954e+08	4.86321e+08	5.1031e+08	4.97097e+08
P0ACF4	P0ACF4		hupB		4.29401e+07	3.73932e+07	3.87723e+07	3.76149e+07	3.75353e+07	3.81064e+07
P0ACF8	P0ACF8		hns		5.45352e+07	5.23642e+07	5.28083e+07	5.31618e+07	5.32469e+07	5.23277e+07
P0ACG1	P0ACG1		stpA		1.46383e+07	1.38698e+07	1.41353e+07	1.44697e+07	1.4168e+07	1.42546e+07
P0ACI0	P0ACI0		rob		3.65822e+06	3.9219e+06	3.74286e+06	3.64498e+06	3.89933e+06	3.99285e+06
P0ACI6	P0ACI6		asnC		263369	327644	312839	263764	282250	292839
P0ACJ0	P0ACJ0		lrp		1.13962e+07	1.09288e+07	1.10754e+07	1.12141e+07	1.16654e+07	1.13644e+07
P0ACJ8	P0ACJ8		crp		2.48862e+07	2.5338e+07	2.46608e+07	2.54389e+07	2.53828e+07	2.59616e+07
P0ACK2	P0ACK2		agaR		635707	731388	673700	635509	645660	818433
P0ACL0	P0ACL0		glpR		2.11354e+06	1.88942e+06	2.10166e+06	2.08343e+06	1.9113e+06	2.00801e+06
P0ACL2	P0ACL2		exuR		2.71001e+06	2.52276e+06	2.76872e+06	2.77688e+06	2.78506e+06	2.69558e+06
P0ACL9	P0ACL9		pdhR		9.35682e+06	9.16139e+06	9.68337e+06	9.47686e+06	9.27336e+06	9.34233e+06
P0ACM2	P0ACM2		ydfH		479001	480730	450338	528987	515814	509078
P0ACM5	P0ACM5		yegW		348129	456698	441606	356147	350730	408967
P0ACN4	P0ACN4		allR		8.89185e+06	6.94693e+06	8.63582e+06	8.41752e+06	7.29427e+06	7.41712e+06
P0ACN7	P0ACN7		cytR		1.41234e+06	1.28265e+06	1.44072e+06	1.25144e+06	1.24624e+06	1.43696e+06
P0ACP1	P0ACP1		cra		4.28578e+06	3.85293e+06	4.21489e+06	4.35209e+06	4.34799e+06	4.0319e+06
P0ACP5	P0ACP5		gntR		801544	663871	980881	818719	520525	721993
P0ACP7	P0ACP7		purR		5.08612e+06	4.88669e+06	5.01705e+06	5.04982e+06	5.14212e+06	4.89381e+06
P0ACQ4	P0ACQ4		oxyR		4.9523e+06	4.73773e+06	5.05042e+06	5.02505e+06	4.87957e+06	4.77743e+06
P0ACR4	P0ACR4		yeiE		2.75438e+06	2.58001e+06	2.72845e+06	2.72814e+06	2.64494e+06	2.6247e+06
P0ACR9	P0ACR9		mprA		9.13945e+06	9.13765e+06	8.91628e+06	9.23971e+06	9.17781e+06	9.48545e+06
P0ACS7	P0ACS7		rpiR		791525	845907	785955	801198	770599	807793
P0ACT6	P0ACT6		uidR		620612	626626	938476	749347	760550	416974
P0ACU5	P0ACU5		fabR		3.12504e+06	3.15235e+06	3.11152e+06	3.10501e+06	3.08084e+06	3.23796e+06
P0ACU7	P0ACU7		yjdC		2.78282e+07	1.75186e+07	2.13844e+07	2.05256e+07	2.11305e+07	1.76244e+07
P0ACV8	P0ACV8		ymjA		523827	555760	468279	517832	585866	513828
P0ACX5	P0ACX5		ydhZ		2.26991e+06	2.41987e+06	2.40355e+06	2.20657e+06	2.24359e+06	1.97261e+06
P0ACY1	P0ACY1		ydjA		1.11517e+07	1.1005e+07	1.12105e+07	1.07429e+07	1.13796e+07	1.10049e+07
P0ACY3	P0ACY3		yeaG		1.36668e+06	1.31415e+06	1.32969e+06	1.42522e+06	1.2408e+06	1.29489e+06
P0ACY9	P0ACY9		yebG		937566	695107	879092	965296	646718	694250
P0ACZ2	P0ACZ2		etp		1.90172e+06	1.83681e+06	1.78493e+06	1.74817e+06	1.86742e+06	1.7751e+06
P0ACZ4	P0ACZ4		evgA		2.39398e+06	2.26004e+06	2.46048e+06	2.36653e+06	2.24062e+06	2.1305e+06
P0AD05	P0AD05		yecA		6.66936e+06	6.80855e+06	6.56152e+06	6.46978e+06	6.72128e+06	6.50978e+06
P0AD07	P0AD07		yecF		3.71946e+06	3.62631e+06	3.75331e+06	3.74757e+06	3.72578e+06	3.71036e+06
P0AD10	P0AD10		yecJ		3.42341e+06	3.4325e+06	3.47076e+06	3.35844e+06	3.27106e+06	3.22276e+06
P0AD12	P0AD12		yeeZ		1.06034e+07	1.06139e+07	1.09844e+07	1.09648e+07	1.05456e+07	1.06581e+07
P0AD24	P0AD24		yejL		3.63306e+06	4.13931e+06	3.43803e+06	3.53786e+06	3.47908e+06	4.86407e+06
P0AD33	P0AD33		yfcZ		4.90673e+07	3.98726e+07	5.04506e+07	4.99466e+07	3.93973e+07	4.1787e+07
P0AD37	P0AD37		yfeC		539888	616126	518559	488085	556559	585487
P0AD44	P0AD44		yfhG		867282	829941	892814	1.01053e+06	829004	870818
