Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML
P0A9F6	GCVA_ECOLI	gcvA	Glycine cleavage system transcriptional activator	2	2	734581	869457	617788	913533	676680	1.03535e+06
P0A9G2	NHAR_ECOLI	nhaR	Transcriptional activator protein NhaR	3	3	5.1354e+06	5.21024e+06	5.24308e+06	5.30177e+06	5.0536e+06	4.9237e+06
P0A9G6	ACEA_ECOLI	aceA	Isocitrate lyase	10	10	3.51752e+07	3.44756e+07	3.43618e+07	3.5289e+07	3.32527e+07	3.48072e+07
P0A9G8	MODE_ECOLI	modE	Transcriptional regulator ModE	7	7	9.35708e+06	9.764e+06	9.79388e+06	1.05862e+07	1.03219e+07	9.82529e+06
P0A9H1	MUG_ECOLI	mug	G/U mismatch-specific DNA glycosylase	6	6	6.5329e+06	6.23616e+06	5.61446e+06	6.06018e+06	6.10654e+06	5.71925e+06
P0A9H3	LDCI_ECOLI	cadA	Lysine decarboxylase, inducible	3	3	5.45145e+06	4.74577e+06	4.11619e+06	4.95512e+06	4.527e+06	4.84367e+06
P0A9H5	BTUR_ECOLI	btuR	Cob(I)yrinic acid a,c-diamide adenosyltransferase	3	3	6.03907e+06	4.88489e+06	6.36941e+06	5.5163e+06	5.59939e+06	5.06556e+06
P0A9H7	CFA_ECOLI	cfa	Cyclopropane-fatty-acyl-phospholipid synthase	12	12	1.84371e+07	1.78249e+07	1.91252e+07	1.85562e+07	1.86844e+07	1.79578e+07
P0A9H9	CHEZ_ECOLI	cheZ	Protein phosphatase CheZ	10	10	6.33325e+06	6.3853e+06	5.96691e+06	6.35006e+06	6.60445e+06	6.01326e+06
P0A9I1	CITE_ECOLI	citE	Citrate lyase subunit beta	15	15	3.72181e+07	3.52707e+07	3.7026e+07	3.60555e+07	3.79344e+07	3.34869e+07
P0A9I3	GCVR_ECOLI	gcvR	Glycine cleavage system transcriptional repressor	3	3	1.0938e+07	9.48335e+06	1.06034e+07	1.00127e+07	9.76732e+06	9.80098e+06
P0A9I8	NIRD_ECOLI	nirD	Nitrite reductase [NAD(P)H] small subunit	3	3	2.30038e+07	2.61034e+07	2.49558e+07	2.38439e+07	2.57491e+07	2.55285e+07
P0A9J0	RNG_ECOLI	rng	Ribonuclease G	11	11	4.64017e+07	4.73912e+07	4.63898e+07	4.49689e+07	4.7566e+07	4.8048e+07
P0A9J4	PANE_ECOLI	panE	2-dehydropantoate 2-reductase	5	5	7.21473e+06	6.97564e+06	6.31086e+06	6.57149e+06	6.76421e+06	6.56524e+06
P0A9J6	RBSK_ECOLI	rbsK	Ribokinase	4	4	1.01027e+07	1.16158e+07	1.14849e+07	1.15224e+07	1.11857e+07	1.17577e+07
P0A9J8	PHEA_ECOLI	pheA	P-protein	6	6	8.71026e+06	9.21746e+06	8.41526e+06	9.48095e+06	8.4614e+06	8.70858e+06
P0A9K3	PHOL_ECOLI	ybeZ	PhoH-like protein	14	14	3.00227e+07	3.07043e+07	2.88223e+07	3.03219e+07	3.04049e+07	2.9873e+07
P0A9K7	PHOU_ECOLI	phoU	Phosphate-specific transport system accessory protein PhoU	4	4	1.05653e+07	1.14854e+07	1.05539e+07	1.18681e+07	1.0945e+07	1.33758e+07
P0A9K9	SLYD_ECOLI	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	5	5	5.93329e+08	5.09436e+08	5.72582e+08	5.12237e+08	6.15103e+08	5.18475e+08
P0A9L3	FKBB_ECOLI	fklB	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	9	9	1.43169e+08	1.50313e+08	1.43464e+08	1.44861e+08	1.45142e+08	1.47888e+08
P0A9L5	PPIC_ECOLI	ppiC	Peptidyl-prolyl cis-trans isomerase C	6	6	2.72067e+07	2.62244e+07	2.64026e+07	2.60107e+07	2.47341e+07	2.74001e+07
P0A9L8	P5CR_ECOLI	proC	Pyrroline-5-carboxylate reductase	2	2	1.62349e+07	1.84401e+07	1.66381e+07	1.93309e+07	1.81026e+07	1.71672e+07
P0A9M0	LON_ECOLI	lon	Lon protease	34	34	5.26014e+07	5.10245e+07	5.14631e+07	5.0803e+07	5.17564e+07	4.99935e+07
P0A9M2	HPRT_ECOLI	hpt	Hypoxanthine phosphoribosyltransferase	10	10	3.32189e+07	3.68887e+07	3.38642e+07	3.60116e+07	3.51102e+07	3.53964e+07
P0A9M5	XGPT_ECOLI	gpt	Xanthine phosphoribosyltransferase	9	9	2.49271e+08	2.41834e+08	2.4901e+08	2.33534e+08	2.4609e+08	2.18454e+08
P0A9M8	PTA_ECOLI	pta	Phosphate acetyltransferase	33	33	2.39844e+08	2.40772e+08	2.32106e+08	2.32861e+08	2.39922e+08	2.43185e+08
P0A9N4	PFLA_ECOLI	pflA	Pyruvate formate-lyase 1-activating enzyme	6	6	2.15106e+07	2.3085e+07	2.09753e+07	2.20806e+07	2.13455e+07	2.25048e+07
P0A9N8	NRDG_ECOLI	nrdG	Anaerobic ribonucleoside-triphosphate reductase-activating protein	4	4	1.08223e+06	1.7695e+06	1.34646e+06	1.36934e+06	1.14505e+06	1.32418e+06
P0A9P0	DLDH_ECOLI	lpdA	Dihydrolipoyl dehydrogenase	29	29	2.1657e+08	2.17511e+08	2.06834e+08	2.13455e+08	2.11244e+08	2.11043e+08
P0A9P4	TRXB_ECOLI	trxB	Thioredoxin reductase	14	14	7.4061e+07	7.35877e+07	7.14932e+07	6.98283e+07	7.45342e+07	7.41987e+07
P0A9P6	DEAD_ECOLI	deaD	Cold-shock DEAD box protein A	30	30	4.05095e+07	4.09853e+07	3.99631e+07	4.19228e+07	4.01328e+07	4.00287e+07
P0A9Q1	ARCA_ECOLI	arcA	Aerobic respiration control protein ArcA	15	15	2.5531e+08	2.524e+08	2.58155e+08	2.44987e+08	2.70313e+08	2.54643e+08
P0A9Q5	ACCD_ECOLI	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	16	16	1.21749e+08	1.27421e+08	1.2456e+08	1.38931e+08	1.29094e+08	1.28155e+08
P0A9Q7	ADHE_ECOLI	adhE	Aldehyde-alcohol dehydrogenase	54	54	9.57276e+08	9.36383e+08	9.33644e+08	9.17076e+08	9.40077e+08	9.09047e+08
P0A9Q9	DHAS_ECOLI	asd	Aspartate-semialdehyde dehydrogenase	12	12	1.06206e+08	1.0897e+08	1.0432e+08	1.06594e+08	1.00522e+08	1.07677e+08
P0A9R4	FER_ECOLI	fdx	2Fe-2S ferredoxin	3	3	7.54665e+07	7.15068e+07	7.27643e+07	7.03903e+07	8.08836e+07	7.01259e+07
P0A9R7	FTSE_ECOLI	ftsE	Cell division ATP-binding protein FtsE	7	7	9.8321e+06	1.0826e+07	1.05569e+07	1.00635e+07	9.82057e+06	1.09756e+07
P0A9S1	FUCO_ECOLI	fucO	Lactaldehyde reductase	3	3	1.94967e+06	2.11303e+06		2.09007e+06	1.84458e+06	2.09337e+06
P0A9S5	GLDA_ECOLI	gldA	Glycerol dehydrogenase	8	8	8.26449e+07	9.59845e+07	8.27055e+07	8.93259e+07	8.34059e+07	9.44089e+07
P0A9T0	SERA_ECOLI	serA	D-3-phosphoglycerate dehydrogenase	12	12	4.8218e+07	4.91174e+07	4.761e+07	4.76519e+07	4.92167e+07	4.78863e+07
P0A9T4	TAS_ECOLI	tas	Protein tas	9	9	3.94416e+07	3.94925e+07	3.87638e+07	3.96957e+07	3.92416e+07	4.12594e+07
P0A9T6	YBAQ_ECOLI	ybaQ	Uncharacterized HTH-type transcriptional regulator YbaQ	6	6	2.91542e+06	2.72602e+06	2.5224e+06	2.63318e+06	3.04659e+06	2.54716e+06
P0A9T8	YBBA_ECOLI	ybbA	Uncharacterized ABC transporter ATP-binding protein YbbA	3	3	2.30118e+06	2.21437e+06	2.1017e+06	2.27748e+06	2.24028e+06	2.36629e+06
P0A9U1	YBHF_ECOLI	ybhF	Uncharacterized ABC transporter ATP-binding protein YbhF	2	2	1.49904e+06	1.68603e+06	1.99239e+06	1.99897e+06	1.92039e+06	1.81298e+06
P0A9U3	YBIT_ECOLI	ybiT	Uncharacterized ABC transporter ATP-binding protein YbiT	21	21	3.70025e+07	3.61026e+07	3.67965e+07	3.50162e+07	3.7331e+07	3.59957e+07
P0A9V1	LPTB_ECOLI	lptB	Lipopolysaccharide export system ATP-binding protein LptB	10	10	2.94647e+07	2.79235e+07	2.81668e+07	2.85265e+07	2.77269e+07	2.73561e+07
P0A9W0	ULAR_ECOLI	ulaR	HTH-type transcriptional regulator UlaR	2	2	8.76751e+06	8.4661e+06	8.20529e+06	8.55873e+06	8.51711e+06	8.41514e+06
P0A9W3	YJJK_ECOLI	yjjK	Uncharacterized ABC transporter ATP-binding protein YjjK	29	29	7.32507e+07	7.5191e+07	7.23205e+07	7.5266e+07	7.35204e+07	7.08516e+07
P0A9W6	YRBA_ECOLI	yrbA	Uncharacterized protein YrbA	3	3	5.86634e+07	6.57019e+07	5.84762e+07	5.90094e+07	5.75834e+07	6.37168e+07
P0A9W9	YRDA_ECOLI	yrdA	Protein YrdA	8	8	1.87108e+07	2.07386e+07	2.06678e+07	2.05049e+07	2.19615e+07	2.0497e+07
P0A9X1	ZNUC_ECOLI	znuC	Zinc import ATP-binding protein ZnuC	1	1	356352			172264		
P0A9X4	MREB_ECOLI	mreB	Rod shape-determining protein MreB	15	15	7.24269e+07	7.51485e+07	7.31175e+07	7.30878e+07	7.33263e+07	7.2647e+07
P0A9X9	CSPA_ECOLI	cspA	Cold shock protein CspA	8	6	2.26916e+08	2.53379e+08	2.2506e+08	2.42937e+08	2.28685e+08	2.4713e+08
P0A9Y6	CSPC_ECOLI	cspC	Cold shock-like protein CspC	7	7	1.32831e+09	1.31357e+09	1.32475e+09	1.22612e+09	1.34901e+09	1.2242e+09
P0A9Z1	GLNB_ECOLI	glnB	Nitrogen regulatory protein P-II 1	6	6	9.59865e+07	9.30282e+07	8.60546e+07	9.59383e+07	9.83665e+07	9.70662e+07
P0AA04	PTHP_ECOLI	ptsH	Phosphocarrier protein HPr	6	6	2.78443e+08	1.80786e+08	2.77627e+08	1.63068e+08	3.01303e+08	1.74593e+08
P0AA10	RL13_ECOLI	rplM	50S ribosomal protein L13	14	14	6.56945e+08	6.84172e+08	6.58162e+08	6.81556e+08	6.81391e+08	7.25536e+08
P0AA16	OMPR_ECOLI	ompR	Transcriptional regulatory protein OmpR	11	11	4.8394e+07	4.79766e+07	4.92459e+07	4.78041e+07	4.9006e+07	4.64854e+07
P0AA25	THIO_ECOLI	trxA	Thioredoxin-1	7	7	3.41698e+08	3.89104e+08	3.38577e+08	3.78592e+08	3.51613e+08	3.91119e+08
P0AA31	YEDF_ECOLI	yedF	UPF0033 protein YedF	2	2	2.02091e+07	2.19968e+07	2.07445e+07	2.06331e+07	2.12127e+07	2.15686e+07
P0AA37	RLUA_ECOLI	rluA	Ribosomal large subunit pseudouridine synthase A	2	2	1.45313e+06	1.52033e+06	1.65704e+06	1.26388e+06	1.47776e+06	1.66364e+06
P0AA39	RLUC_ECOLI	rluC	Ribosomal large subunit pseudouridine synthase C	9	9	9.76954e+06	1.05413e+07	9.38159e+06	9.66021e+06	1.02266e+07	1.09011e+07
P0AA41	TRUC_ECOLI	truC	tRNA pseudouridine synthase C	3	3	2.85643e+06	3.98631e+06	2.93675e+06	3.51618e+06	2.75346e+06	4.13937e+06
P0AA43	RSUA_ECOLI	rsuA	Ribosomal small subunit pseudouridine synthase A	7	7	1.93999e+07	2.04175e+07	2.07742e+07	2.02449e+07	2.11037e+07	2.02044e+07
P0AA53	QMCA_ECOLI	qmcA	Protein QmcA	4	4	4.45587e+06	4.45185e+06	4.1925e+06	4.00803e+06	4.19849e+06	4.4315e+06
P0AA57	YOBA_ECOLI	yobA	Protein YobA	2	2	5.42566e+06	4.98482e+06	3.88632e+06	5.43281e+06		5.29941e+06
P0AA86	DSBE_ECOLI	dsbE	Thiol:disulfide interchange protein DsbE	1	1	4.17057e+06	3.89978e+06	3.63404e+06	3.58854e+06	4.18972e+06	3.32024e+06
P0AA91	YEAY_ECOLI	yeaY	Uncharacterized lipoprotein YeaY	4	4	4.91693e+06	4.60873e+06	4.81415e+06	4.24379e+06	5.1011e+06	4.76872e+06
P0AA93	YPDA_ECOLI	ypdA	Sensor histidine kinase YpdA	2	2	853761	1.18877e+06	863322	1.20331e+06	512458	976499
P0AA95	YACC_ECOLI	yacC	Uncharacterized protein YacC	2	2	4.78336e+06	4.34012e+06	4.38974e+06	4.36868e+06	4.87206e+06	4.72285e+06
P0AA97	YAEQ_ECOLI	yaeQ	Uncharacterized protein YaeQ	3	3	5.42152e+06	4.0341e+06	5.03738e+06	4.06374e+06	4.56273e+06	3.56342e+06
P0AAA1	YAGU_ECOLI	yagU	Inner membrane protein YagU	2	2	6.59561e+07	7.04136e+07	6.31572e+07	6.3474e+07	6.64778e+07	6.96539e+07
P0AAB4	UBID_ECOLI	ubiD	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	6	6	1.1904e+07	1.23666e+07	1.26046e+07	1.27231e+07	1.29701e+07	1.20496e+07
P0AAB6	GALF_ECOLI	galF	UTP--glucose-1-phosphate uridylyltransferase	11	11	1.39743e+08	1.50591e+08	1.36764e+08	1.48893e+08	1.46333e+08	1.52533e+08
P0AAB8	USPD_ECOLI	uspD	Universal stress protein D	1	1	1.9923e+07	1.80632e+07	1.99225e+07	1.66673e+07	1.93141e+07	1.64224e+07
P0AAC0	USPE_ECOLI	uspE	Universal stress protein E	10	10	4.73581e+07	4.73277e+07	4.73922e+07	4.63048e+07	4.48019e+07	4.4775e+07
P0AAC8	ISCA_ECOLI	iscA	Iron-binding protein IscA	5	5	3.91066e+07	4.0125e+07	4.00899e+07	4.10885e+07	3.93806e+07	4.09879e+07
P0AAD6	SDAC_ECOLI	sdaC	Serine transporter	3	3	3.46278e+06	3.47372e+06	2.509e+06	3.35443e+06	3.03035e+06	3.32643e+06
P0AAF6	ARTP_ECOLI	artP	Arginine transport ATP-binding protein ArtP	2	2	1.3624e+07	1.35432e+07	1.12034e+07	1.06522e+07	1.10799e+07	1.18011e+07
P0AAG3	GLTL_ECOLI	gltL	Glutamate/aspartate transport ATP-binding protein GltL	1	1	4.79033e+06	3.77663e+06		3.67044e+06	3.56213e+06	4.31533e+06
P0AAH0	PSTB_ECOLI	pstB	Phosphate import ATP-binding protein PstB	4	4	3.55333e+06	3.29298e+06	3.26455e+06	3.21994e+06	3.7783e+06	3.20543e+06
P0AAH8	SAPF_ECOLI	sapF	Peptide transport system ATP-binding protein SapF	1	1	1.73579e+06	1.81659e+06	1.58076e+06	1.83924e+06	1.63399e+06	1.85604e+06
P0AAI3	FTSH_ECOLI	ftsH	ATP-dependent zinc metalloprotease FtsH	26	26	8.16394e+07	7.63324e+07	8.06972e+07	7.62407e+07	8.2597e+07	7.53247e+07
P0AAI5	FABF_ECOLI	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2	10	10	1.98225e+08	2.1133e+08	1.99797e+08	2.06508e+08	1.97309e+08	2.10548e+08
P0AAI9	FABD_ECOLI	fabD	Malonyl CoA-acyl carrier protein transacylase	9	9	8.03029e+07	8.07212e+07	7.68812e+07	7.94638e+07	7.88179e+07	7.89957e+07
P0AAJ3	FDNH_ECOLI	fdnH	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit	4	4	1.88315e+07	1.84642e+07	1.73808e+07	1.85427e+07	1.88891e+07	1.78502e+07
P0AAJ5	FDOH_ECOLI	fdoH	Formate dehydrogenase-O iron-sulfur subunit	5	5	1.41855e+07	1.17623e+07	1.38546e+07	1.83041e+07	1.38048e+07	1.96401e+07
P0AAJ8	HYBA_ECOLI	hybA	Hydrogenase-2 operon protein HybA	5	5	2.20395e+07	2.3483e+07	2.19344e+07	2.29188e+07	2.33174e+07	2.38984e+07
P0AAK1	HYCB_ECOLI	hycB	Formate hydrogenlyase subunit 2	3	3	4.80841e+06	4.60544e+06	4.41553e+06	4.69805e+06	4.80008e+06	4.35475e+06
P0AAL3	NAPG_ECOLI	napG	Ferredoxin-type protein NapG	2	2	506144	537293	463659	459924	515472	467736
P0AAN1	HYBE_ECOLI	hybE	Hydrogenase-2 operon protein HybE	2	2	2.01353e+06	1.86404e+06	2.08159e+06	2.23607e+06	1.89801e+06	2.04795e+06
P0AAN3	HYPB_ECOLI	hypB	Hydrogenase isoenzymes nickel incorporation protein HypB	7	7	1.38464e+07	1.39025e+07	1.37867e+07	1.36429e+07	1.43e+07	1.37799e+07
P0AAN5	YAIA_ECOLI	yaiA	Uncharacterized protein YaiA	1	1	7.67003e+06	8.66108e+06	8.31323e+06	8.08046e+06	7.58871e+06	7.50362e+06
P0AAN9	IRAP_ECOLI	iraP	Anti-adapter protein IraP	3	3	1.1971e+06	1.3488e+06	1.06692e+06	1.38489e+06	1.23662e+06	1.22892e+06
P0AAP3	FRMR_ECOLI	frmR	Transcriptional repressor FrmR	5	5	1.48709e+07	1.50903e+07	1.42558e+07	1.57065e+07	1.50047e+07	1.56935e+07
P0AAQ2	YAJD_ECOLI	yajD	Uncharacterized protein YajD	4	4	1.87702e+07	1.77531e+07	1.89564e+07	2.02577e+07	1.81877e+07	1.80472e+07
P0AAR3	YBAK_ECOLI	ybaK	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	7	7	1.43182e+07	1.28574e+07	1.27367e+07	1.40423e+07	1.24015e+07	1.44914e+07
P0AAS0	YLAC_ECOLI	ylaC	Inner membrane protein YlaC	4	4	1.23336e+06	954601	1.06725e+06	1.00294e+06	1.21095e+06	1.05427e+06
P0AAS7	YBCJ_ECOLI	ybcJ	Uncharacterized protein YbcJ	3	3	1.8107e+07	1.96784e+07	1.78095e+07	1.95641e+07	1.74596e+07	2.01342e+07
P0AAT2	YBDF_ECOLI	ybdF	Uncharacterized protein YbdF	2	2	2.88288e+06	3.20448e+06	2.9805e+06	3.13751e+06	3.21442e+06	3.28289e+06
P0AAT4	MSCM_ECOLI	mscM	Miniconductance mechanosensitive channel	5	5	7.28537e+06	7.34137e+06	7.36066e+06	7.24337e+06	7.67165e+06	7.14895e+06
P0AAT6	IOJAP_ECOLI	rsfS	Ribosomal silencing factor RsfS	6	6	1.55067e+07	1.77496e+07	1.48729e+07	1.62269e+07	1.5838e+07	1.70664e+07
P0AAT9	YBEL_ECOLI	ybeL	Uncharacterized protein YbeL	6	6	3.34858e+07	3.18009e+07	3.26625e+07	2.93135e+07	3.29303e+07	3.08565e+07
P0AAU7	YBFE_ECOLI	ybfE	Uncharacterized protein YbfE	3	3	5.21759e+06	5.16288e+06	5.28433e+06	5.86185e+06	4.65079e+06	5.01405e+06
P0AAV4	YBGJ_ECOLI	ybgJ	Uncharacterized protein YbgJ	2	2	3.14791e+06	4.11242e+06	3.56214e+06	3.36145e+06	3.1595e+06	4.19682e+06
P0AAV6	YBGS_ECOLI	ybgS	Uncharacterized protein YbgS	1	1	186124	144092	155426		153141	127574
P0AAX8	YBIS_ECOLI	ybiS	Probable L,D-transpeptidase YbiS	15	14	5.49251e+07	5.29169e+07	5.46234e+07	5.14201e+07	5.35135e+07	5.21349e+07
P0AAZ4	RARA_ECOLI	rarA	Replication-associated recombination protein A	9	9	4.44978e+06	4.50302e+06	4.50906e+06	4.64556e+06	4.89253e+06	4.33784e+06
P0AAZ7	YCAR_ECOLI	ycaR	UPF0434 protein YcaR	4	4	5.46786e+07	5.59085e+07	5.33322e+07	5.2797e+07	5.03531e+07	5.25393e+07
P0AB10	YMBA_ECOLI	ymbA	Uncharacterized lipoprotein YmbA	2	2	1.02597e+07	1.14567e+07	1.09222e+07	1.08429e+07	1.15269e+07	1.20246e+07
P0AB14	YCCJ_ECOLI	yccJ	Uncharacterized protein YccJ	4	4	2.10522e+07	2.21405e+07	2.07233e+07	2.10683e+07	2.07869e+07	2.1321e+07
P0AB18	TUSE_ECOLI	tusE	Sulfurtransferase TusE	4	4	8.52066e+06	7.58732e+06	8.35374e+06	7.52537e+06	8.05676e+06	7.53381e+06
P0AB20	HSPQ_ECOLI	hspQ	Heat shock protein HspQ	1	1	6.68788e+06	6.49907e+06	6.44809e+06	6.8555e+06	5.85968e+06	6.26028e+06
P0AB24	EFEO_ECOLI	efeO	Iron uptake system component EfeO	15	15	3.73679e+07	3.8753e+07	3.87534e+07	3.90383e+07	3.74219e+07	3.73135e+07
P0AB26	YCEB_ECOLI	yceB	Uncharacterized lipoprotein YceB	5	5	2.64478e+07	2.72992e+07	2.57344e+07	2.84475e+07	2.55151e+07	2.76623e+07
P0AB28	YCED_ECOLI	yceD	Uncharacterized protein YceD	5	5	3.89297e+07	3.78561e+07	3.84399e+07	3.9802e+07	4.03494e+07	3.81379e+07
P0AB38	LPOB_ECOLI	lpoB	Penicillin-binding protein activator LpoB	3	3	2.1546e+07	1.74696e+07	2.04946e+07	1.71547e+07	2.18185e+07	1.72085e+07
P0AB43	YCGL_ECOLI	ycgL	Protein YcgL	10	10	6.96346e+06	7.72071e+06	6.67018e+06	7.796e+06	6.83127e+06	7.77279e+06
P0AB46	YMGD_ECOLI	ymgD	Uncharacterized protein YmgD	4	4	1.46167e+07	1.46571e+07	1.40114e+07	1.39705e+07	1.38786e+07	1.47852e+07
P0AB52	YCHN_ECOLI	ychN	Protein YchN	3	3	9.83254e+06	1.06824e+07	9.9048e+06	9.42672e+06	9.37246e+06	1.0993e+07
P0AB55	YCII_ECOLI	yciI	Protein YciI	3	3	3.75281e+07	3.9476e+07	3.70161e+07	3.90505e+07	3.58708e+07	3.76368e+07
P0AB58	YCIM_ECOLI	yciM	Uncharacterized protein YciM	3	3	1.73673e+06	2.14339e+06	2.3405e+06	2.4951e+06	2.30657e+06	2.65162e+06
P0AB61	YCIN_ECOLI	yciN	Protein YciN	6	6	3.40342e+07	3.18793e+07	3.24974e+07	2.93222e+07	3.37164e+07	3.05524e+07
P0AB67	PNTB_ECOLI	pntB	NAD(P) transhydrogenase subunit beta	6	6	8.44759e+06	8.53657e+06	7.51037e+06	8.21831e+06	8.4197e+06	8.09026e+06
P0AB71	ALF_ECOLI	fbaA	Fructose-bisphosphate aldolase class 2	15	15	8.74544e+08	8.83871e+08	8.74718e+08	8.7716e+08	8.76809e+08	8.52536e+08
P0AB77	KBL_ECOLI	kbl	2-amino-3-ketobutyrate coenzyme A ligase	18	18	1.08547e+08	1.08179e+08	1.08468e+08	1.08165e+08	1.09955e+08	1.0591e+08
P0AB80	ILVE_ECOLI	ilvE	Branched-chain-amino-acid aminotransferase	9	9	3.07586e+07	3.20597e+07	3.13022e+07	3.21398e+07	3.07843e+07	2.97284e+07
P0AB83	END3_ECOLI	nth	Endonuclease III	3	3	2.91541e+06	3.61389e+06	3.32489e+06	3.47452e+06	3.0166e+06	3.43355e+06
P0AB89	PUR8_ECOLI	purB	Adenylosuccinate lyase	18	18	2.75455e+07	2.87023e+07	2.80745e+07	2.85618e+07	2.79819e+07	2.79239e+07
P0AB91	AROG_ECOLI	aroG	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive	5	5	1.0938e+07	1.15914e+07	1.02496e+07	1.21335e+07	1.09988e+07	1.18516e+07
P0AB98	ATP6_ECOLI	atpB	ATP synthase subunit a	2	2	4.51601e+06	6.1183e+06	4.39225e+06	5.51341e+06	5.52821e+06	5.99301e+06
P0ABA0	ATPF_ECOLI	atpF	ATP synthase subunit b	16	16	2.09163e+08	2.01285e+08	2.0499e+08	1.95887e+08	2.09525e+08	1.94856e+08
P0ABA4	ATPD_ECOLI	atpH	ATP synthase subunit delta	10	10	1.57644e+08	1.60027e+08	1.55635e+08	1.60747e+08	1.52362e+08	1.58222e+08
P0ABA6	ATPG_ECOLI	atpG	ATP synthase gamma chain	18	18	2.05761e+08	2.24113e+08	2.04543e+08	2.14576e+08	1.90944e+08	2.22374e+08
P0ABB0	ATPA_ECOLI	atpA	ATP synthase subunit alpha	30	30	4.32385e+08	4.32298e+08	4.25095e+08	4.31381e+08	4.3016e+08	4.18119e+08
P0ABB4	ATPB_ECOLI	atpD	ATP synthase subunit beta	29	29	4.81052e+08	4.26718e+08	4.56517e+08	4.20952e+08	4.72419e+08	4.15024e+08
P0ABB8	ATMA_ECOLI	mgtA	Magnesium-transporting ATPase, P-type 1	4	4	1.39563e+06	1.49565e+06	1.35507e+06	1.46234e+06	1.11808e+06	1.49453e+06
P0ABC3	HFLC_ECOLI	hflC	Modulator of FtsH protease HflC	18	18	8.89745e+07	8.59674e+07	8.7116e+07	8.48346e+07	8.88457e+07	8.38201e+07
P0ABC7	HFLK_ECOLI	hflK	Modulator of FtsH protease HflK	16	16	7.81837e+07	7.86305e+07	7.74277e+07	7.83372e+07	7.9996e+07	8.00789e+07
P0ABD3	BFR_ECOLI	bfr	Bacterioferritin	8	8	4.65639e+07	5.1673e+07	4.61908e+07	5.10745e+07	4.8539e+07	4.99867e+07
P0ABD5	ACCA_ECOLI	accA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	24	24	8.82599e+07	9.16928e+07	8.8307e+07	9.35224e+07	9.12737e+07	9.20214e+07
P0ABD8	BCCP_ECOLI	accB	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	5	5	2.89901e+08	2.68342e+08	2.89107e+08	2.50822e+08	2.90447e+08	2.52534e+08
P0ABE2	BOLA_ECOLI	bolA	Protein BolA	5	5	2.28119e+07	2.23525e+07	2.15188e+07	2.19184e+07	2.14131e+07	2.06104e+07
P0ABF1	PCNB_ECOLI	pcnB	Poly(A) polymerase	19	19	1.25111e+07	1.3653e+07	1.34278e+07	1.37556e+07	1.24411e+07	1.31983e+07
P0ABF6	CDD_ECOLI	cdd	Cytidine deaminase	7	7	4.84705e+07	5.0522e+07	4.76761e+07	5.06164e+07	4.93466e+07	5.1143e+07
P0ABG4	FTSW_ECOLI	ftsW	Lipid II flippase FtsW	1	1	583330	489302	535803	493612	562814	710639
P0ABH0	FTSA_ECOLI	ftsA	Cell division protein FtsA	11	11	1.39846e+07	1.39179e+07	1.32665e+07	1.33401e+07	1.3525e+07	1.26085e+07
P0ABH7	CISY_ECOLI	gltA	Citrate synthase	15	15	4.5796e+07	4.46471e+07	4.71068e+07	4.56288e+07	4.76518e+07	4.52919e+07
P0ABH9	CLPA_ECOLI	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	27	27	3.7805e+07	3.91202e+07	3.80933e+07	3.89071e+07	3.67611e+07	3.92572e+07
P0ABI4	CORA_ECOLI	corA	Magnesium transport protein CorA	3	3	1.03133e+07	9.44079e+06	9.88335e+06	9.69456e+06	1.04358e+07	9.24547e+06
P0ABI8	CYOB_ECOLI	cyoB	Ubiquinol oxidase subunit 1	2	2	1.05175e+07	1.11332e+07	1.10135e+07	1.16774e+07	1.12362e+07	1.22564e+07
P0ABJ1	CYOA_ECOLI	cyoA	Ubiquinol oxidase subunit 2	3	3	2.18686e+07	2.31173e+07	2.17996e+07	2.42877e+07	2.17808e+07	2.41381e+07
