Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P05719	P05719		hsdS		2211520.0	2139430.0	1977090.0	1883750.0	2246910.0	1999530.0	0	0.6367642314454434	-0.045826929510716805	False	0.0393486385477843	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P39274	P39274		yjdJ		4080440.0	3580650.0	3837530.0	3683900.0	4130360.0	3980790.0	0	0.6392769049689738	0.03672080689388559	False	0.03937533368926855	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P36680	P36680		zapD		4630200.0	5308090.0	4890840.0	4619460.0	5008530.0	4848810.0	0	0.6393401758873312	-0.03469122024199845	False	0.0394020288307528	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P25524	P25524		codA		2262810.0	2354450.0	2293420.0	2245080.0	2188750.0	2379000.0	0	0.6395034321119372	-0.020573468750687426	False	0.03942872397223706	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P23886	P23886		cydC		1091280.0	962403.0	1075390.0	1049110.0	1059390.0	1088200.0	0	0.6400399555306118	0.030848041727945284	False	0.03945541911372131	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P06971	P06971		fhuA		13170000.0	13142000.0	13411800.0	13177100.0	13383300.0	13323900.0	0	0.6408046488589008	0.005817319287838806	False	0.03948211425520556	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P23909	P23909		mutS		3560990.0	3529540.0	3485810.0	3583230.0	3482040.0	3569730.0	0	0.6413930009266788	0.007979571950266655	False	0.039508809396689805	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P06129	P06129		btuB		14671500.0	14537600.0	14881900.0	14954800.0	14581200.0	14166100.0	0	0.6414754018260984	-0.012781591520934929	False	0.03953550453817405	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8M6	P0A8M6		yeeX		7834460.0	8361970.0	7219810.0	7795010.0	8176560.0	7993790.0	0	0.642815105200067	0.03344117427962578	False	0.03956219967965831	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AES6	P0AES6		gyrB		8486520.0	8434430.0	8418860.0	8417050.0	8542150.0	8446500.0	0	0.643469885567938	0.003746508003004747	False	0.039588894821142556	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
