Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P33913	P33913		yejA		617472.0	604971.0	632142.0	657786.0	715486.0	682574.0	0	0.3862478097439267	0.07409622696490167	False	0.027496079456351283	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AAS7	P0AAS7		ybcJ		2635900.0	2754070.0	2241250.0	2401040.0	2241960.0	2128820.0	0	0.38636861779699827	-0.12720101797651726	False	0.027522216414009412	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6F5	P0A6F5		groL		81789400.0	81675900.0	82194000.0	81954500.0	82029900.0	71544800.0	0	0.3873673508133065	0.06698142286328054	False	0.027548353371667538	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P39177	P39177		uspG		26278300.0	26085700.0	26594000.0	26120600.0	26373800.0	20486300.0	0	0.38785906554017413	0.1185311948599599	False	0.027574490329325668	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ABQ2	P0ABQ2		garR		1679370.0	1856940.0	1829810.0	1832030.0	1741580.0	1650810.0	0	0.38917709400898065	0.05893907919816836	False	0.027600627286983797	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AC47	P0AC47		frdB		9446810.0	9397470.0	9226730.0	9178820.0	9375720.0	9208730.0	0	0.39040850806082134	-0.014043023240282544	False	0.027626764244641923	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P15639	P15639		purH		5587600.0	5371260.0	5579170.0	5592360.0	5376730.0	5197130.0	0	0.39064966240568844	0.03461037176689413	False	0.027652901202300056	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P64636	P64636		yrfG		2763780.0	2863360.0	2756820.0	2889850.0	2462020.0	2895780.0	0	0.391132132616049	-0.07187893195499694	False	0.02767903815995818	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8Z3	P0A8Z3		ybgC		267338.0	67264.4	213800.0	93733.7	72507.0	289453.0	1	0.39370316743532263	-0.7155201783132613	False	0.02770517511761631	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P14294	P14294		topB		238311.0	331690.0	269774.0	260525.0	285903.0	382862.0	0	0.3945934542939968	-0.2233425566103132	False	0.02773131207527444	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6T1	P0A6T1		pgi		41407600.0	41292900.0	42045300.0	40640900.0	41779100.0	35996400.0	0	0.394999887058745	0.06846132901193624	False	0.027757449032932566	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P60472	P60472		ispU		1288720.0	1401230.0	1252720.0	1244650.0	1195490.0	1195580.0	0	0.39515904628058474	-0.07337283117429486	False	0.0277835859905907	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACZ4	P0ACZ4		evgA		2365530.0	2274380.0	2335090.0	2362680.0	2340260.0	2312400.0	0	0.39546466720123097	0.017679251038169624	False	0.027809722948248825	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6F3	P0A6F3		glpK		5243580.0	5262730.0	5147030.0	5290570.0	5083320.0	5211910.0	0	0.3965405286641664	-0.01822377417566787	False	0.02783585990590695	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
