Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AA39	P0AA39		rluC		1614610.0	1745210.0	1516430.0	1563210.0	1593990.0	1703440.0	0	0.2218657130700137	0.08502262607962778	False	0.022595378828586785	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P23367	P23367		mutL		834357.0	995221.0	936414.0	1342620.0	954335.0	988609.0	0	0.22285210776695494	0.28767100036585014	False	0.02262224610424503	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P00914	P00914		phrB		596737.0	655983.0	579543.0	621163.0	610267.0	597446.0	0	0.22300926282714123	0.06940276254984856	False	0.02264911337990328	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P07330	P07330		cheB		1575700.0	1494340.0	1572060.0	1547570.0	1513960.0	1508490.0	0	0.22367969209353686	-0.034868983443852516	False	0.022675980655561527	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AGE0	P0AGE0		ssb		26557500.0	26098500.0	26195800.0	26069900.0	26947300.0	26414200.0	0	0.22420592819370463	-0.020380683226292145	False	0.022702847931219773	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P23003	P23003		trmA		3920620.0	3876000.0	3769060.0	4021110.0	3931200.0	4041180.0	0	0.22512835794219604	0.03887688261558635	False	0.022729715206878026	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AAZ4	P0AAZ4		rarA		1280710.0	1298180.0	1255990.0	1313750.0	1312070.0	1319610.0	0	0.2251632662883753	0.03069707342501461	False	0.022756582482536272	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P28304	P28304		qorA		9588650.0	9105620.0	9641550.0	9799180.0	10193600.0	9304170.0	0	0.2256379827117783	-0.060829589121776814	False	0.022783449758194522	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AGL7	P0AGL7		rsmE		3630180.0	3698320.0	3629700.0	3857090.0	3724660.0	3701800.0	0	0.2261315717055274	0.035374857274366206	False	0.022810317033852768	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P77499	P77499		sufC		2834950.0	2626370.0	2793810.0	2576250.0	2539560.0	2496630.0	0	0.22679714868437645	-0.08532146925284234	False	0.022837184309511014	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
