Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A8F0	P0A8F0		upp		29891500.0	30748600.0	29933400.0	30586600.0	29437700.0	29898400.0	0	0.11204530117794656	-0.031509416368145166	False	0.02237945492662474	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACM5	P0ACM5		yegW		410995.0	398612.0	396943.0	357629.0	474699.0	342793.0	0	0.11212594752162598	0.2228769114899327	False	0.02240566037735849	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P25736	P25736		endA		1638390.0	1958420.0	1823850.0	1786100.0	1759400.0	1999090.0	0	0.1122218152526166	-0.13745479514348638	False	0.022431865828092246	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P33920	P33920		yejK		2512030.0	2549450.0	2516290.0	2621100.0	2563740.0	2654580.0	0	0.11248587503540869	-0.043623325929239606	False	0.022458071278825997	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AA39	P0AA39		rluC		1354310.0	1541910.0	1275450.0	1414930.0	1346120.0	1383280.0	0	0.11257333487507795	-0.12646071816448792	False	0.02248427672955975	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AEM4	P0AEM4		flgM		1902770.0	2279150.0	1913840.0	2128820.0	1866840.0	1974690.0	0	0.11411768688341425	-0.16739084989483635	False	0.022510482180293504	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P39280	P39280		epmB		1237780.0	1537580.0	1468760.0	1500290.0	1312040.0	1521260.0	0	0.11461353999777095	-0.18207274442018762	False	0.022536687631027254	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A9X4	P0A9X4		mreB		25218500.0	24423400.0	25422200.0	24146600.0	24691000.0	24897900.0	0	0.11487784564445051	0.036143049452243156	False	0.022562893081761008	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6F3	P0A6F3		glpK		4864850.0	4748260.0	4998610.0	4798120.0	4840290.0	4781490.0	0	0.11588167100184778	0.03735998997765559	False	0.02258909853249476	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A7C2	P0A7C2		lexA		4411710.0	4582580.0	4540780.0	4650700.0	4282380.0	4564970.0	0	0.11591814567684161	-0.060141280966742115	False	0.022615303983228516	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
