Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AAJ3	P0AAJ3		fdnH		4519790.0	4622880.0	4650810.0	4713500.0	4735370.0	4571940.0	0	0.6672515151021109	0.01057610444924735	False	0.04141494435612083	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P27238	P27238		yfeD		984353.0	949676.0	1056300.0	1076590.0	957539.0	919612.0	0	0.6679253223255471	-0.03746124998999012	False	0.04144144144144144	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P39451	P39451		adhP		2121120.0	2036000.0	2364300.0	2296640.0	2104400.0	2139630.0	0	0.6691049700125609	0.034145803958521306	False	0.04146793852676205	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P45475	P45475		yhbV		1438340.0	1304630.0	1179510.0	1267370.0	1240750.0	1453120.0	0	0.6693118393805604	-0.05013151009311257	False	0.04149443561208268	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P75949	P75949		nagZ		1744560.0	1653540.0	1682340.0	1616420.0	1665310.0	1726390.0	0	0.6716181776519992	0.017023282835160372	False	0.04152093269740329	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AGF6	P0AGF6		tdcB		806932.0	884325.0	908122.0	986147.0	1059050.0	827534.0	0	0.6724463772245991	0.061861673950872546	False	0.0415474297827239	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P20966	P20966		fruA		10125100.0	10445200.0	10108100.0	10083000.0	10257200.0	10112200.0	0	0.6729497495734273	-0.008297829813218317	False	0.041573926868044515	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P04693	P04693		tyrB		3831590.0	3876320.0	3816790.0	3634900.0	3912900.0	3736570.0	0	0.6740407625350372	0.01561680874105558	False	0.04160042395336513	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACR4	P0ACR4		yeiE		2685030.0	2721730.0	2649850.0	2722500.0	2764900.0	2659130.0	0	0.6743401688151323	-0.009861886335175358	False	0.04162692103868575	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P12281	P12281		moeA		4132830.0	4330500.0	4195530.0	4241450.0	4422020.0	4213010.0	0	0.675180354939493	0.014212745932065082	False	0.041653418124006365	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AF06	P0AF06		motB		817164.0	776480.0	775249.0	666870.0	759236.0	791716.0	0	0.6767096051913934	0.041324908415285896	False	0.04167991520932698	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P24216	P24216		fliD		1325890.0	1335680.0	1323550.0	1393440.0	1405720.0	1261470.0	0	0.67861194845928	-0.02304918311578899	False	0.04170641229464759	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACY3	P0ACY3		yeaG		1253890.0	1225820.0	1178640.0	1233160.0	1333210.0	1265540.0	0	0.6803953424520588	0.024854941307280106	False	0.0417329093799682	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P43672	P43672		uup		2165030.0	2178840.0	2198950.0	2288510.0	2260520.0	2231600.0	0	0.6815906785667614	0.012710269429863554	False	0.04175940646528883	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P76403	P76403		yegQ		2687150.0	2728710.0	2797800.0	2718310.0	2726910.0	2665320.0	0	0.68204123463769	0.009873593748928738	False	0.04178590355060944	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
Q46948	Q46948		yajL		4980840.0	4978280.0	5152940.0	5404600.0	5384430.0	5054640.0	0	0.683991496648295	0.021279344526528552	False	0.04181240063593005	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AEA8	P0AEA8		cysG		1618190.0	1700150.0	1720610.0	1778280.0	1618630.0	1873350.0	0	0.684806218058208	0.032459597145166795	False	0.04183889772125066	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P04825	P04825		pepN		16543600.0	16475500.0	16226400.0	16982200.0	16679500.0	16788800.0	0	0.6852214340573813	-0.008873609653964448	False	0.041865394806571275	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P27248	P27248		gcvT		10066000.0	9827830.0	9844280.0	9636080.0	9854400.0	10013900.0	0	0.6871007313040403	0.008896923080710025	False	0.0418918918918919	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6S0	P0A6S0		flgH		2464890.0	2422290.0	2453940.0	2438540.0	2460060.0	2368570.0	0	0.6871392084857848	-0.008522896528564831	False	0.04191838897721251	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACL9	P0ACL9		pdhR		3225950.0	2997130.0	3088510.0	2963130.0	2959730.0	3016560.0	0	0.6873850199676318	-0.01919457484133915	False	0.041944886062533125	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P31663	P31663		panC		3126700.0	3115370.0	3367380.0	3148630.0	3034450.0	3127440.0	0	0.6878047973472898	0.021132996137953976	False	0.04197138314785374	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P42620	P42620		yqjG		1023070.0	985884.0	1016400.0	817510.0	1171910.0	802271.0	0	0.6878416207268321	0.08142747173784234	False	0.04199788023317435	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AGL7	P0AGL7		rsmE		3070290.0	3136420.0	3109460.0	3005640.0	3209230.0	2990650.0	0	0.6879162681891162	0.015109665591414122	False	0.04202437731849497	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P15070	P15070		fliN		4671890.0	5120440.0	4504950.0	4768910.0	4137280.0	5385910.0	0	0.6882734180900393	-0.053809483404670434	False	0.04205087440381559	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AFU8	P0AFU8		ribC		9330180.0	9305450.0	9288320.0	9122790.0	9243610.0	9119250.0	0	0.6890931000049796	-0.005584404484478698	False	0.0420773714891362	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P11880	P11880		murF		5619850.0	5832950.0	5632500.0	5389020.0	5528160.0	5898840.0	0	0.6904976025453843	0.01852731236128944	False	0.04210386857445681	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A991	P0A991		fbaB		8554710.0	8474740.0	8232420.0	8585390.0	8349770.0	8794590.0	0	0.6909259907640468	-0.013470859593076845	False	0.04213036565977742	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P23857	P23857		pspE		1282940.0	1252360.0	1302660.0	1243340.0	1199020.0	1233400.0	0	0.6916987333287212	-0.01672793238257543	False	0.04215686274509804	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P33362	P33362		osmF		2097340.0	2238080.0	2080900.0	2107440.0	2242190.0	2204280.0	0	0.6938322865332559	0.01880057382474271	False	0.04218335983041866	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
