protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A8T7	600731004.3919808	599796125.3838993	614085077.7487615	618715445.278771	626528748.0416864	622239005.2790959	P0A8T7	P0A8T7		rpoC	0	0.043602657808544755	-0.041433994011267045	False	0.006292606187729418	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AFZ3	21597050.719101768	22274477.22776745	21846748.748597536	21120525.168107063	20967130.163804658	21153310.36717617	P0AFZ3	P0AFZ3		sspB	0	0.043783913997647035	0.05543525152368789	False	0.006318825380178291	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P37647	10797702.539756488	10286108.030226426	10297180.04555728	10078965.809453394	9593729.14028116	9400493.274281615	P37647	P37647		kdgK	0	0.0447138975418573	0.11020160614657984	False	0.006345044572627164	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P27848	6473048.016596028	6391624.948060946	6705631.235798363	6931381.030991933	7292828.536997048	7624114.435311943	P27848	P27848		yigL	0	0.04491485737397974	-0.15885643269229974	False	0.006371263765076036	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P00957	165774185.17046183	170406796.6943514	173134612.75831217	179053278.4398508	177616362.29932317	179493889.28840914	P00957	P00957		alaS	0	0.045283206752111824	-0.07411319871716811	False	0.006397482957524909	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P37177	4931274.229844931	5007704.196861859	4592371.125438206	4512900.392868193	4202869.282617425	4404662.3946791375	P37177	P37177		ptsP	0	0.04540631318396648	0.14735346457165285	False	0.006423702149973781	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AF63	5542771.483968311	5466656.126314464	5762818.091399433	6090538.640828311	6746972.314472047	6912467.057733909	P0AF63	P0AF63		nsrR	0	0.0458101251862655	-0.23577517726206082	False	0.0064499213424226536	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ADY1	97888402.88084725	98831169.8446814	98885392.92767791	96815491.64350852	97689053.46252736	96126780.19181985	P0ADY1	P0ADY1		ppiD	0	0.04607242760947321	0.024480294221071328	False	0.006476140534871526	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AAN1	1852538.183660152	1924967.4781647248	1861459.527136681	1328833.4823626329	1653053.0205470314	1490878.6533499153	P0AAN1	P0AAN1		hybE	0	0.04653767762762915	0.3342634255467606	False	0.0065023597273203984	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AEE8	461656.9385065092	461165.2499999995	512174.9830346654	442908.5467792949	395348.8677053282	404259.15884749097	P0AEE8	P0AEE8		dam	0	0.046585341546924335	0.207782797939512	False	0.006528578919769271	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ABT5	689251.4853288579	785353.0041357233	695242.1755096988	911194.341972594	790841.1901378405	872563.0641979944	P0ABT5	P0ABT5		dusB	0	0.04685072764508615	-0.2467544239938782	False	0.006554798112218143	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P19624	702823.0392809578	675054.1802001755	610221.0390568313	603420.5499212476	492633.2617803009	509962.9770112424	P19624	P19624		pdxA	0	0.04703853824926018	0.30790208718817774	False	0.006581017304667016	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P00963	50167752.21822778	50370435.84506036	47142655.14642736	52149265.16783182	52594467.15854788	54249913.53192199	P00963	P00963		asnA	0	0.04739073664914736	-0.10648641427095178	False	0.00660723649711589	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ACR9	41025817.20796207	42665230.66750959	44648267.51040065	44896323.98462248	47715811.43519527	47634532.251219794	P0ACR9	P0ACR9		mprA	0	0.04775311601507058	-0.1280032996712861	False	0.006633455689564762	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A6K6	144868727.79453623	144022066.13883072	143476225.5992531	145588080.1333881	148400941.3372786	147604650.67384052	P0A6K6	P0A6K6		deoB	0	0.048072865804297774	-0.030463018915305572	False	0.006659674882013635	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AEV9	264794.83397378644	248024.49999999985	221912.0944861033	489888.9593712668	342982.2697328295	408354.6346740116	P0AEV9	P0AEV9		hycI	0	0.04839180506881068	-0.7564767711711365	False	0.006685894074462507	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P75874	9662706.62892036	9504110.847700903	9406929.347942874	9876907.98382064	9684489.897238918	9824745.47634668	P75874	P75874		yccU	0	0.048647048359364786	-0.040445805151557046	False	0.00671211326691138	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AFG3	53242160.50860951	54896719.14517752	55126143.595274486	56939294.39548063	55754593.19927634	56934274.15942206	P0AFG3	P0AFG3		sucA	0	0.048757036915593716	-0.05515995559701795	False	0.006738332459360253	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
