protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0ACE7	46825939.069520354	44393953.60190883	46066442.96010056	47369653.81236305	44081641.6416316	44927059.17066006	P0ACE7	P0ACE7		hinT	0	0.8173347751857774	0.009573354175393886	False	0.0446969696969697	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P60566	432819.3379047416	507316.9062000006	69279.87066405569	614390.4578477276	503911.4095302355	53344.438108266375	P60566	P60566		fixA	2	0.8173631185439577	-0.2150160934976772	False	0.04472309299895507	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P39298	2371262.7352652103	2369271.9524948867	2248920.2484798543	2488235.875067057	1996879.951729467	2385068.8945765854	P39298	P39298		yjfP	0	0.818754544940123	0.024831063371257976	False	0.04474921630094044	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
Q59385	17514542.56522547	18495227.24146957	18714223.67207186	18539670.498795804	17870640.19952545	17998444.059329152	Q59385	Q59385		copA	0	0.818824481876739	0.008334704512128394	False	0.04477533960292581	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P68398	1411203.1554350888	972060.21568514	1129157.603870866	1197235.613697509	1143797.403781681	1273847.1028816276	P68398	P68398		tadA	0	0.8193571947144731	-0.041482037232155856	False	0.04480146290491118	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AE01	20015693.419204064	20756192.104614284	22235607.8874958	21855784.40539264	20040943.29999321	20489402.329621244	P0AE01	P0AE01		trmJ	0	0.8199747897787486	0.01429809864983684	False	0.04482758620689656	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P30130	4219946.377677121	4546368.81307904	4069392.267638982	4754834.847397385	3908470.550235021	3942097.9967989614	P30130	P30130		fimD	0	0.8207915005709571	0.02612052666780656	False	0.04485370950888193	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P42599	1409134.4788042223	1070233.0009681585	1329952.2947765766	1292929.649744653	1202321.413015679	1234086.6302352406	P42599	P42599		ygjR	0	0.8219830660233536	0.030613960844450953	False	0.0448798328108673	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P23909	37858218.67234325	39878987.03414224	40485957.57170121	39012163.13867042	40024908.112957664	38519057.35575157	P23909	P23909		mutS	0	0.822021392579663	0.008162974545840907	False	0.04490595611285267	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0C0K3	6973258.009100573	7650526.81407778	7625923.983308174	6876795.952230287	7523063.644746021	7619558.35372113	P0C0K3	P0C0K3		rdoA	0	0.8232068431206564	0.015010120910833202	False	0.04493207941483804	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P26648	3280419.6084308038	2485225.239316763	2735951.978485984	3160333.753579615	2660912.8819793942	2879201.7637458057	P26648	P26648		ftsP	0	0.8240455965275953	-0.03335591252269109	False	0.044958202716823416	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AB46	5165559.180978448	5465937.525407695	5330217.360351905	6010677.540362467	5416917.574180827	4802691.890501481	P0AB46	P0AB46		ymgD	0	0.82423017445697	-0.02407292640184406	False	0.04498432601880878	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ADT8	17036698.669187177	17757881.70172198	16634797.831368098	16333577.850311004	17405783.162137933	17351486.63568351	P0ADT8	P0ADT8		ygiM	0	0.8254018914773826	0.00952783946259861	False	0.04501044932079415	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
