Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P08390	P08390		usg		5390760.0	5112900.0	5142050.0	5549460.0	5544950.0	5554880.0	0	0.2512382898279784	0.060346909824476144	False	0.021808510638297873	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AG16	P0AG16		purF		984871.0	949744.0	928186.0	996969.0	959699.0	983506.0	0	0.25126056084891973	0.03983182479203315	False	0.021835106382978725	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AF67	P0AF67		yjeE		3476480.0	3375970.0	3463250.0	3411870.0	3468860.0	3324340.0	0	0.2514413628373659	0.027229600862099478	False	0.021861702127659574	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P52647	P52647		ydbK		2045940.0	2295050.0	2111730.0	2095710.0	2097210.0	2116880.0	0	0.2521182351304553	-0.06439915793148114	False	0.02188829787234043	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AGB6	P0AGB6		rpoE		3583140.0	3492450.0	3538690.0	3711930.0	3483250.0	3433170.0	0	0.2521996400651909	0.04265513927053285	False	0.02191489361702128	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AB77	P0AB77		kbl		16541600.0	16959600.0	16687000.0	16114200.0	17055700.0	17701000.0	0	0.25232134665759065	-0.046717210214551934	False	0.021941489361702128	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AG55	P0AG55		rplF		216725000.0	214979000.0	214172000.0	217720000.0	213753000.0	213427000.0	0	0.252505617513734	0.012562981283566905	False	0.02196808510638298	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AGD1	P0AGD1		sodC		592209.0	888228.0	862572.0	839876.0	767891.0	795989.0	0	0.25257505541784897	-0.21119165293826755	False	0.02199468085106383	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0A6Z6	P0A6Z6		nikR		1187390.0	1107480.0	1108890.0	1251870.0	1091520.0	1093540.0	0	0.2539820155661524	0.09319494161410018	False	0.022021276595744686	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P75713	P75713		ylbA		587015.0	530856.0	529430.0	632299.0	576027.0	607823.0	0	0.25420049983113097	0.10604432735336063	False	0.022047872340425535	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
Q93K97	Q93K97		nudF		9115690.0	8710420.0	8939810.0	8654040.0	9192860.0	8375530.0	0	0.25438797063462787	0.05101879356441166	False	0.022074468085106384	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P31120	P31120		glmM		10982000.0	11390600.0	11250800.0	11264100.0	11248900.0	11284900.0	0	0.2549254005171063	-0.01845834652219146	False	0.022101063829787236	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P60664	P60664		hisF		2978370.0	2905580.0	3007290.0	3000960.0	3000250.0	2912740.0	0	0.25497938374007434	0.024951971039444274	False	0.022127659574468085	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P68699	P68699		atpE		2899660.0	2842230.0	3056450.0	2044470.0	3015960.0	3586580.0	0	0.25613886274826525	-0.2529025772669578	False	0.022154255319148938	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P45531	P45531		tusC		388701.0	345300.0	344964.0	316349.0	429541.0	285372.0	0	0.25644699700389	0.2177574269265007	False	0.02218085106382979	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0A800	P0A800		rpoZ		57644500.0	57600800.0	57954000.0	58165800.0	58027500.0	57355400.0	0	0.2566854769653678	0.007718845457051123	False	0.02220744680851064	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0ACZ2	P0ACZ2		etp		2395700.0	2461480.0	2381980.0	2357240.0	2272270.0	2368090.0	0	0.2570550171396893	-0.03776802403654845	False	0.02223404255319149	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
