Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A8W0	P0A8W0		nanR		2617660.0	2515210.0	2563200.0	2613830.0	2433550.0	2406060.0	0	0.34611170175624567	-0.04621549227647307	False	0.03163916977115487	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P00968	P00968		carB		5834010.0	5852040.0	5844290.0	5852160.0	5843370.0	5903270.0	0	0.346211944977133	0.005623082576674294	False	0.03166577967003725	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P77736	P77736		yahD		360860.0	359683.0	428599.0	362343.0	357411.0	40466.1	1	0.3471696174591257	-0.5960680082253196	False	0.03169238956891964	False	True	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P38097	P38097		yegE		1536780.0	1616880.0	1562620.0	1552300.0	1210380.0	1543250.0	0	0.34766851878925037	-0.1313245056626691	False	0.031718999467802024	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P64599	P64599		yhbT		4886330.0	4766170.0	4658280.0	4776030.0	5059330.0	4826980.0	0	0.34808348230056535	0.03501305781705969	False	0.03174560936668441	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P28635	P28635		metQ		11238900.0	10858300.0	11331300.0	11069500.0	10485000.0	11085400.0	0	0.3485892907411457	-0.034441982672367207	False	0.031772219265566795	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P17952	P17952		murC		3697120.0	3829170.0	3895510.0	3867020.0	3890300.0	3875630.0	0	0.35055380066626113	0.02642696847167624	False	0.03179882916444918	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P75797	P75797		gsiB		674828.0	746749.0	722848.0	702218.0	770926.0	769574.0	0	0.3505654796602007	0.0646573674955084	False	0.03182543906333156	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P29131	P29131		ftsN		1796210.0	1790680.0	1915400.0	1796140.0	1511640.0	1827490.0	0	0.35111691488995267	-0.0995920474414261	False	0.03185204896221394	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A7J0	P0A7J0		ribB		13391600.0	13413600.0	13626500.0	13587000.0	13980900.0	13449200.0	0	0.3525480655407754	0.02073862892976034	False	0.03187865886109633	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P25552	P25552		gppA		23868300.0	27129000.0	26793700.0	23477300.0	26012000.0	24217400.0	0	0.3527484415107118	-0.07780748536124142	False	0.03190526875997871	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0AE01	P0AE01		trmJ		4281630.0	4407100.0	4384760.0	4332970.0	4204860.0	4347520.0	0	0.3531456381958495	-0.02091259838163569	False	0.031931878658861094	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P65556	P65556		yfcD		1990260.0	2032750.0	2020340.0	1843910.0	2018640.0	1987610.0	0	0.35396791426190544	-0.046872415511237345	False	0.031958488557743484	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P69776	P69776		lpp		40553800.0	41040900.0	39213200.0	39239200.0	40314000.0	39138400.0	0	0.3545848496877012	-0.025496963323368864	False	0.031985098456625866	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P66948	P66948		yfgC		1826970.0	1742220.0	1855930.0	1879780.0	1782600.0	1957020.0	0	0.3552620575777339	0.05076104848953773	False	0.032011708355508255	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0C037	P0C037		yaiE		12944200.0	11136400.0	11832200.0	12292900.0	13036100.0	12486100.0	0	0.3564223219513246	0.07446429459358148	False	0.03203831825439064	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P05719	P05719		hsdS		1356870.0	1294620.0	1292150.0	1327290.0	1332080.0	1361700.0	0	0.357449090013858	0.02805159168199174	False	0.03206492815327302	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0ABC7	P0ABC7		hflK		17708800.0	17673800.0	17956500.0	17840200.0	17808700.0	18521300.0	0	0.3587702863250695	0.022305935097879603	False	0.0320915380521554	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
