Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P22255	CYSQ_ECOLI	cysQ	3'(2'),5'-bisphosphate nucleotidase CysQ	7	7	2.72834e+07	2.45511e+07	2.77028e+07	2.68466e+07	2.59236e+07	2.66015e+07
P22256	GABT_ECOLI	gabT	4-aminobutyrate aminotransferase GabT	5	5	3.77825e+07	3.57353e+07	3.49118e+07	3.64855e+07	3.3668e+07	3.33787e+07
P22259	PCKA_ECOLI	pckA	Phosphoenolpyruvate carboxykinase [ATP]	18	18	6.32553e+07	6.28087e+07	6.11845e+07	6.14094e+07	6.18781e+07	6.25507e+07
P22333	ADD_ECOLI	add	Adenosine deaminase	12	12	6.44978e+07	6.82505e+07	6.72752e+07	6.66499e+07	6.63869e+07	6.86256e+07
P22523	MUKB_ECOLI	mukB	Chromosome partition protein MukB	40	40	2.85756e+07	2.87332e+07	2.86405e+07	2.89365e+07	2.99619e+07	2.94442e+07
P22524	MUKE_ECOLI	mukE	Chromosome partition protein MukE	6	6	2.46413e+07	2.38284e+07	2.12338e+07	2.28237e+07	2.06736e+07	2.19821e+07
P22525	YCBB_ECOLI	ycbB	Probable L,D-transpeptidase YcbB	11	11	9.74156e+06	9.88291e+06	1.045e+07	1.00409e+07	1.03227e+07	9.94075e+06
P22564	RIHC_ECOLI	rihC	Non-specific ribonucleoside hydrolase RihC	1	1	447443	679836	629084	569923	596359	598631
P22634	MURI_ECOLI	murI	Glutamate racemase	5	5	2.64605e+06	3.45395e+06	4.62152e+06	3.85751e+06	4.08944e+06	4.43573e+06
P22707	FINO_ECOLI	finO	Fertility inhibition protein	2	2	2.30902e+06	2.50089e+06		1.94098e+06	1.59655e+06	1.84422e+06
P22939	ISPA_ECOLI	ispA	Farnesyl diphosphate synthase	3	3	1.04965e+07	1.03128e+07	8.64037e+06	1.01553e+07	9.35124e+06	9.88039e+06
P23003	TRMA_ECOLI	trmA	tRNA (uracil(54)-C(5))-methyltransferase	4	4	7.85822e+06	9.20222e+06	8.6465e+06	8.5495e+06	8.36676e+06	8.93405e+06
