Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A6B4	P0A6B4		alr		3.10478e+06	3.14388e+06	3.23524e+06	3.27958e+06	3.3261e+06	3.2304e+06
P0A6B7	P0A6B7		iscS		1.74983e+07	1.75292e+07	1.7421e+07	1.75936e+07	1.76157e+07	1.77741e+07
P0A6C1	P0A6C1		nfo		2.39951e+06	2.18742e+06	2.23516e+06	2.2595e+06	2.14201e+06	2.32233e+06
P0A6D0	P0A6D0		argR		1.63714e+06	1.78278e+06	1.80117e+06	1.63544e+06	1.41923e+06	1.51722e+06
P0A6D3	P0A6D3		aroA		6.03952e+06	6.01544e+06	6.00114e+06	5.75735e+06	5.78718e+06	5.85225e+06
P0A6D7	P0A6D7		aroK		1.26804e+07	1.26318e+07	1.25601e+07	1.21143e+07	1.18788e+07	1.2285e+07
P0A6E4	P0A6E4		argG		542369	630736	597408	657449	585650	689876
P0A6E6	P0A6E6		atpC		7.62308e+06	7.63767e+06	7.93321e+06	7.73663e+06	7.9279e+06	7.86138e+06
P0A6E9	P0A6E9		bioD2		6.38394e+06	6.2207e+06	6.00377e+06	6.00074e+06	5.84627e+06	5.91604e+06
P0A6F1	P0A6F1		carA		4.78799e+06	4.85779e+06	4.74453e+06	4.81576e+06	4.71072e+06	4.84986e+06
P0A6F3	P0A6F3		glpK		5.07886e+06	5.0701e+06	5.14991e+06	5.07368e+06	4.96746e+06	5.07994e+06
P0A6F5	P0A6F5		groL		1.10857e+08	1.09484e+08	1.09252e+08	1.06696e+08	1.07086e+08	1.08587e+08
P0A6F9	P0A6F9		groS		9.26135e+07	9.31172e+07	9.49814e+07	1.00142e+08	9.70051e+07	1.02664e+08
P0A6G3	P0A6G3		pncC		3.1862e+06	3.04966e+06	3.41454e+06	3.54172e+06	3.51229e+06	3.13159e+06
P0A6G7	P0A6G7		clpP		2.54731e+07	2.52605e+07	2.48575e+07	2.46896e+07	2.50881e+07	2.46807e+07
P0A6H1	P0A6H1		clpX		2.83551e+07	2.87232e+07	2.83725e+07	2.82745e+07	2.71682e+07	2.8402e+07
P0A6H5	P0A6H5		hslU		2.32883e+07	2.35572e+07	2.33366e+07	2.26467e+07	2.33733e+07	2.33597e+07
P0A6H8	P0A6H8		cls		238256	217275	251618	228380	220941	202498
P0A6I0	P0A6I0		cmk		1.05381e+07	1.06994e+07	1.0495e+07	1.08549e+07	1.09574e+07	1.08112e+07
P0A6I3	P0A6I3		coaA		3.65733e+06	3.64179e+06	3.59024e+06	3.40324e+06	3.46506e+06	3.36299e+06
P0A6I6	P0A6I6		coaD		932852	819197	964872	927979	944979	1.14122e+06
P0A6I9	P0A6I9		coaE		1.34083e+06	1.28295e+06	1.46837e+06	1.20544e+06	1.15803e+06	1.18073e+06
P0A6J1	P0A6J1		cysC		1.49267e+06	1.5239e+06	1.48795e+06	1.42061e+06	1.46806e+06	1.46813e+06
P0A6J8	P0A6J8		ddlA		9.39659e+06	9.3048e+06	9.38051e+06	9.2018e+06	9.03179e+06	9.12076e+06
P0A6K3	P0A6K3		def		9.80319e+06	9.75759e+06	9.77565e+06	1.007e+07	1.01586e+07	1.01469e+07
P0A6K6	P0A6K6		deoB		1.8327e+07	1.80786e+07	1.84319e+07	1.84667e+07	1.88028e+07	1.85468e+07
P0A6L0	P0A6L0		deoC		1.04507e+07	1.03074e+07	1.06165e+07	1.03608e+07	1.01592e+07	1.02139e+07
P0A6L2	P0A6L2		dapA		2.1928e+07	2.21918e+07	2.13931e+07	2.24348e+07	2.23288e+07	2.24579e+07
P0A6L4	P0A6L4		nanA		135497	205683	295871	203435	201720	206637
P0A6L7	P0A6L7		uxaB		1.51615e+06	1.34096e+06	1.52792e+06	1.32167e+06	1.50001e+06	1.49259e+06
P0A6L9	P0A6L9		hscB		5.42067e+06	5.41133e+06	5.194e+06	5.45598e+06	5.68433e+06	5.22212e+06
P0A6M4	P0A6M4		dtd		2.42182e+06	2.74726e+06	2.6257e+06	2.43548e+06	2.45339e+06	2.28027e+06
P0A6M8	P0A6M8		fusA		1.40033e+08	1.39207e+08	1.38085e+08	1.39957e+08	1.3966e+08	1.40196e+08
P0A6N4	P0A6N4		efp		7.53449e+07	7.39626e+07	7.10288e+07	6.70945e+07	6.73957e+07	6.83939e+07
