Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P0A6L7	P0A6L7		uxaB		1.79941e+06	1.80462e+06	1.89899e+06	1.79618e+06	1.75937e+06	1.73433e+06
P0A6L9	P0A6L9		hscB		4.93426e+06	5.28347e+06	5.12892e+06	5.03634e+06	5.13888e+06	5.31828e+06
P0A6M4	P0A6M4		dtd		2.20405e+06	1.92998e+06	2.32198e+06	2.23304e+06	2.43184e+06	2.3759e+06
P0A6M8	P0A6M8		fusA		1.4438e+08	1.42075e+08	1.41294e+08	1.43536e+08	1.43421e+08	1.42749e+08
P0A6N4	P0A6N4		efp		7.85924e+07	7.53528e+07	7.63223e+07	7.82182e+07	7.49648e+07	7.77264e+07
P0A6N8	P0A6N8		yeiP		1.54844e+07	1.44494e+07	1.47404e+07	1.51562e+07	1.50597e+07	1.46305e+07
P0A6P1	P0A6P1		tsf		2.19747e+08	2.16594e+08	2.18536e+08	2.1645e+08	2.14918e+08	2.16591e+08
P0A6P5	P0A6P5		der		4.81231e+06	4.85659e+06	4.87812e+06	4.83261e+06	4.87651e+06	4.95342e+06
P0A6P7	P0A6P7		engB		9.02918e+06	8.74156e+06	8.78303e+06	8.61926e+06	9.09584e+06	9.06701e+06
P0A6P9	P0A6P9		eno		1.73829e+08	1.73708e+08	1.72913e+08	1.73883e+08	1.70415e+08	1.73592e+08
P0A6Q3	P0A6Q3		fabA		1.34337e+07	1.32691e+07	1.32e+07	1.34219e+07	1.35958e+07	1.37833e+07
P0A6Q6	P0A6Q6		fabZ		2.59847e+07	2.67933e+07	2.64689e+07	2.60847e+07	2.65516e+07	2.7773e+07
P0A6R0	P0A6R0		fabH		1.73667e+07	1.91922e+07	1.90596e+07	1.72584e+07	1.74498e+07	1.93824e+07
P0A6R3	P0A6R3		fis		7.42542e+06	7.83737e+06	8.04292e+06	6.95027e+06	7.54257e+06	8.16173e+06
P0A6S0	P0A6S0		flgH		2.56167e+06	2.4509e+06	2.47305e+06	2.56107e+06	2.53944e+06	2.50393e+06
P0A6S7	P0A6S7		gpsA		5.14393e+06	4.90993e+06	4.81684e+06	5.10525e+06	4.87306e+06	4.73388e+06
P0A6T1	P0A6T1		pgi		5.41021e+07	5.42884e+07	5.40295e+07	5.26302e+07	5.41244e+07	5.5349e+07
P0A6T3	P0A6T3		galK		3.19123e+06	3.04211e+06	3.19607e+06	3.21017e+06	3.16585e+06	2.96635e+06
P0A6T5	P0A6T5		folE		3.32474e+06	3.43072e+06	3.23875e+06	3.4069e+06	3.32583e+06	3.19962e+06
P0A6T9	P0A6T9		gcvH		1.25911e+06	1.31581e+06	1.22933e+06	1.3701e+06	1.31932e+06	1.33672e+06
P0A6U3	P0A6U3		mnmG		6.97225e+06	7.17911e+06	7.11264e+06	7.14841e+06	7.11057e+06	7.0038e+06
P0A6U5	P0A6U5		rsmG		6.16574e+06	5.97339e+06	5.9111e+06	6.02134e+06	6.20032e+06	6.07918e+06
P0A6U8	P0A6U8		glgA		3.07688e+06	3.09721e+06	3.11343e+06	3.21736e+06	3.04925e+06	3.03491e+06
P0A6V1	P0A6V1		glgC		7.80092e+06	7.22926e+06	7.85873e+06	7.60324e+06	8.01979e+06	7.83208e+06
P0A6V8	P0A6V8		glk		1.05213e+07	1.07324e+07	1.06541e+07	1.08331e+07	1.07412e+07	1.059e+07
P0A6W5	P0A6W5		greA		2.49369e+07	2.36816e+07	2.40966e+07	2.41464e+07	2.46774e+07	2.38889e+07
P0A6W9	P0A6W9		gshA		4.76884e+06	4.83839e+06	4.73984e+06	4.80884e+06	4.76905e+06	4.6491e+06
P0A6X3	P0A6X3		hfq		1.08264e+06	1.11176e+06	1.08839e+06	1.10563e+06	1.04232e+06	1.01907e+06
P0A6X7	P0A6X7		ihfA		4.71604e+07	5.23395e+07	4.97002e+07	4.72433e+07	4.54012e+07	5.04013e+07
P0A6Y1	P0A6Y1		ihfB		1.1352e+07	1.39635e+07	1.39804e+07	1.0533e+07	8.9182e+06	1.22208e+07
P0A6Y5	P0A6Y5		hslO		6.60251e+06	6.76279e+06	6.85992e+06	6.78565e+06	6.58994e+06	6.78473e+06
P0A6Y8	P0A6Y8		dnaK		4.14601e+07	4.16183e+07	4.18277e+07	4.13621e+07	4.09332e+07	4.19526e+07
P0A6Z1	P0A6Z1		hscA		5.28771e+06	5.26653e+06	5.0866e+06	5.35359e+06	5.18979e+06	5.10051e+06
P0A6Z3	P0A6Z3		htpG		2.73378e+07	2.7653e+07	2.76446e+07	2.72977e+07	2.72725e+07	2.8036e+07
P0A6Z6	P0A6Z6		nikR		2.06161e+06	2.12181e+06	2.01982e+06	2.17737e+06	1.956e+06	2.078e+06
P0A705	P0A705		infB		1.56481e+07	1.59839e+07	1.5895e+07	1.52833e+07	1.53328e+07	1.61663e+07
P0A707	P0A707		infC		5.11062e+07	5.14566e+07	5.12598e+07	5.00351e+07	5.06535e+07	5.03312e+07
P0A715	P0A715		kdsA		2.28801e+07	2.33149e+07	2.32627e+07	2.25699e+07	2.24193e+07	2.33675e+07
P0A717	P0A717		prs		3.07951e+07	3.19603e+07	3.19821e+07	3.05215e+07	3.14858e+07	3.18934e+07
P0A720	P0A720		tmk		2.83875e+06	2.73274e+06	2.78506e+06	2.79947e+06	2.85203e+06	2.8113e+06
P0A722	P0A722		lpxA		1.28299e+07	1.24038e+07	1.20286e+07	1.25261e+07	1.26749e+07	1.21119e+07
P0A725	P0A725		lpxC		2.8666e+06	2.82755e+06	3.01193e+06	3.30909e+06	3.21027e+06	3.52064e+06
P0A729	P0A729		yceF		2.11835e+06	2.24152e+06	2.26483e+06	2.19643e+06	2.24752e+06	2.32384e+06
P0A731	P0A731		mgsA		3.57307e+06	3.705e+06	3.72387e+06	3.62172e+06	3.73162e+06	3.04576e+06
P0A734	P0A734		minE		2.45646e+07	2.5273e+07	2.50618e+07	2.45954e+07	2.47371e+07	2.61455e+07
P0A738	P0A738		moaC		1.03178e+06	1.07687e+06	1.11488e+06	1.05856e+06	1.09234e+06	1.10585e+06
P0A744	P0A744		msrA		7.32764e+06	6.73084e+06	6.89132e+06	7.32148e+06	6.76448e+06	6.38235e+06
P0A746	P0A746		msrB		1.98135e+06	1.79688e+06	1.98216e+06	1.79964e+06	1.96961e+06	1.97873e+06
P0A749	P0A749		murA		1.15149e+07	1.14398e+07	1.12611e+07	1.17296e+07	1.1725e+07	1.15581e+07
P0A752	P0A752		nadD		427472	517993	536332	414513	425270	499011
P0A759	P0A759		nagB		4.12944e+06	4.43677e+06	4.30265e+06	4.08703e+06	4.21672e+06	4.62642e+06
P0A763	P0A763		ndk		1.45187e+07	1.38722e+07	1.40324e+07	1.43824e+07	1.47795e+07	1.38399e+07
P0A780	P0A780		nusB		1.27663e+07	1.27032e+07	1.32469e+07	1.26084e+07	1.26749e+07	1.3118e+07
P0A784	P0A784		orn		3.2707e+06	3.33288e+06	3.28008e+06	3.26754e+06	3.37298e+06	3.36508e+06
P0A786	P0A786		pyrB		2.3723e+06	2.43481e+06	2.46269e+06	2.44469e+06	2.34631e+06	2.31352e+06
P0A790	P0A790		panD		7.23476e+06	6.6761e+06	6.63521e+06	6.87151e+06	7.03399e+06	6.98939e+06
P0A794	P0A794		pdxJ		6.76841e+06	6.5944e+06	6.80106e+06	6.82518e+06	6.81889e+06	6.89473e+06
P0A796	P0A796		pfkA		2.2232e+07	2.36861e+07	2.35422e+07	2.27386e+07	2.28361e+07	2.39123e+07
P0A799	P0A799		pgk		4.44002e+08	4.3893e+08	4.40188e+08	4.44697e+08	4.3756e+08	4.30685e+08
P0A7A2	P0A7A2		gpmB		3.12194e+06	3.22587e+06	2.98858e+06	2.95601e+06	3.00509e+06	2.73988e+06
P0A7A5	P0A7A5		pcm		585776	703189	617101	695179	608191	657787
P0A7A7	P0A7A7		plsB		3.05194e+06	3.0933e+06	3.04596e+06	3.03877e+06	3.08707e+06	3.15076e+06
P0A7A9	P0A7A9		ppa		8.97222e+07	8.87126e+07	8.80017e+07	8.89631e+07	8.83919e+07	8.5354e+07
P0A7B1	P0A7B1		ppk		1.50783e+06	1.46164e+06	1.36052e+06	1.30348e+06	1.29246e+06	1.39526e+06
P0A7B5	P0A7B5		proB		4.45663e+06	4.55132e+06	4.64179e+06	4.7027e+06	4.36366e+06	4.64377e+06
P0A7B8	P0A7B8		hslV		1.61266e+07	1.39363e+07	1.35249e+07	1.6363e+07	1.66421e+07	1.41607e+07
P0A7C2	P0A7C2		lexA		2.92291e+07	2.95521e+07	2.89564e+07	2.93406e+07	2.89177e+07	2.86448e+07
P0A7C6	P0A7C6		pepE		6.37774e+06	6.03005e+06	6.12819e+06	6.27244e+06	5.92518e+06	6.06022e+06
P0A7D1	P0A7D1		pth		5.86843e+06	5.76462e+06	5.64324e+06	5.80293e+06	5.57826e+06	5.57775e+06
P0A7D4	P0A7D4		purA		2.30633e+07	2.35991e+07	2.32339e+07	2.31697e+07	2.3001e+07	2.29806e+07
P0A7D7	P0A7D7		purC		6.7054e+06	7.32518e+06	7.37468e+06	6.96118e+06	6.8905e+06	7.35263e+06
P0A7E1	P0A7E1		pyrD		7.55678e+06	7.27846e+06	7.49593e+06	7.43293e+06	7.54542e+06	7.61389e+06
P0A7E3	P0A7E3		pyrE		5.22084e+06	5.16881e+06	5.20755e+06	5.08039e+06	5.21635e+06	5.3181e+06
P0A7E5	P0A7E5		pyrG		1.62024e+07	1.58771e+07	1.57685e+07	1.61592e+07	1.64627e+07	1.60962e+07
P0A7E9	P0A7E9		pyrH		7.4479e+06	7.72691e+06	7.85813e+06	7.55585e+06	7.52207e+06	8.30665e+06
P0A7F3	P0A7F3		pyrI		2.39966e+06	2.57704e+06	2.55696e+06	2.40322e+06	2.40578e+06	2.76119e+06
P0A7F6	P0A7F6		speD		2.10838e+06	2.10795e+06	2.12935e+06	2.08315e+06	2.10199e+06	2.14739e+06
P0A7F9	P0A7F9		queA		4.07746e+06	4.06125e+06	4.06352e+06	4.03334e+06	4.37516e+06	4.4831e+06
P0A7G2	P0A7G2		rbfA		2.038e+07	2.02656e+07	2.0459e+07	1.94703e+07	1.99733e+07	2.07169e+07
P0A7G6	P0A7G6		recA		1.08591e+07	1.06569e+07	1.07851e+07	1.08146e+07	1.10699e+07	1.08899e+07
P0A7H6	P0A7H6		recR		834424	772928	833862	854316	797381	838686
P0A7I0	P0A7I0		prfA		4.03945e+06	3.98546e+06	3.94346e+06	3.98938e+06	4.10694e+06	3.99444e+06
P0A7I4	P0A7I4		prfC		5.42093e+06	5.67946e+06	5.71336e+06	5.44528e+06	5.5088e+06	5.78011e+06
P0A7I7	P0A7I7		ribA		9.58135e+06	9.5037e+06	9.40519e+06	9.59231e+06	8.90096e+06	9.17154e+06
P0A7J0	P0A7J0		ribB		1.28009e+07	1.315e+07	1.32726e+07	1.26858e+07	1.27937e+07	1.3743e+07
P0A7J3	P0A7J3		rplJ		5.12926e+08	5.01225e+08	4.97061e+08	5.11644e+08	5.0431e+08	4.94906e+08
P0A7J7	P0A7J7		rplK		1.56202e+08	1.55696e+08	1.51435e+08	1.53881e+08	1.5642e+08	1.53028e+08
P0A7K2	P0A7K2		rplL		1.94237e+08	1.94738e+08	1.92818e+08	1.93019e+08	1.85611e+08	1.92552e+08
P0A7K6	P0A7K6		rplS		7.20143e+07	6.99923e+07	7.09583e+07	7.09547e+07	7.22523e+07	7.10511e+07
P0A7L0	P0A7L0		rplA		3.09973e+08	3.21923e+08	3.18125e+08	3.11538e+08	2.98791e+08	3.11684e+08
P0A7L3	P0A7L3		rplT		3.65229e+07	3.91635e+07	3.93528e+07	3.60398e+07	3.47995e+07	3.99929e+07
P0A7L8	P0A7L8		rpmA		1.60097e+08	1.67682e+08	1.59558e+08	1.71495e+08	1.6554e+08	1.62296e+08
P0A7M2	P0A7M2		rpmB		2.06449e+08	2.19444e+08	2.22932e+08	2.06812e+08	2.06119e+08	2.12168e+08
