Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P27829	P27829		wecC		5.14639e+06	5.20376e+06	5.19142e+06	5.25818e+06	5.26799e+06	5.0171e+06
P27830	P27830		rffG		1.52582e+06	1.44165e+06	1.5241e+06	1.46846e+06	1.54955e+06	1.49278e+06
P27832	P27832		wecD		613536	550966	542467	467413	685281	656911
P27833	P27833		rffA		2.30313e+06	2.28106e+06	2.23456e+06	2.24248e+06	2.37124e+06	2.41209e+06
P27836	P27836		wecG		475271	630779	589265	570789	542977	497267
P27838	P27838		cyaY		2.22551e+06	2.37758e+06	2.24545e+06	2.39636e+06	2.26156e+06	2.2536e+06
P27848	P27848		yigL		5.94653e+06	4.02103e+06	4.15286e+06	3.87668e+06	4.00295e+06	3.9489e+06
P27859	P27859		tatD		1.47552e+06	1.58222e+06	1.41089e+06	1.53075e+06	1.43625e+06	1.39571e+06
P28248	P28248		dcd		3.02559e+06	3.07775e+06	3.12589e+06	2.98427e+06	3.06907e+06	3.01678e+06
P28249	P28249		asmA		265201	283627	333052	337386	316598	277640
P28304	P28304		qorA		3.38319e+06	3.30092e+06	3.49858e+06	3.57718e+06	3.46437e+06	3.50913e+06
P28629	P28629		adiA		1.85842e+06	1.94067e+06	1.87231e+06	1.99518e+06	1.8563e+06	1.96261e+06
P28635	P28635		metQ		1.46684e+07	1.26423e+07	1.27813e+07	1.42964e+07	1.24385e+07	1.4336e+07
P28903	P28903		nrdD		5.02109e+06	5.08509e+06	5.08126e+06	4.97107e+06	5.09916e+06	4.969e+06
P28904	P28904		treC		2.28285e+06	2.26918e+06	2.33534e+06	2.38456e+06	2.36302e+06	2.36382e+06
P28905	P28905		holC		857508	870525	942214	906554	875657	855153
P29012	P29012		dadX		560076	644493	614725	621138	525576	548310
P29018	P29018		cydD		694718	663147	590711	639146	622231	625862
P29131	P29131		ftsN		1.20636e+06	1.14455e+06	1.17479e+06	1.30162e+06	1.30435e+06	1.1795e+06
P29208	P29208		menC		2.86971e+06	2.86661e+06	2.9087e+06	2.90024e+06	2.90182e+06	2.90847e+06
P29217	P29217		yceH		2.37648e+06	2.44578e+06	2.35744e+06	2.39801e+06	2.4005e+06	2.36672e+06
