Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0A853	P0A853		tnaA		3.53203e+06	3.46356e+06	3.46779e+06	3.53379e+06	3.39144e+06	3.51707e+06
P0A855	P0A855		tolB		1.68177e+07	1.71107e+07	1.77576e+07	1.73122e+07	1.63825e+07	1.66901e+07
P0A858	P0A858		tpiA		6.69652e+07	7.27362e+07	7.41815e+07	7.25942e+07	6.70884e+07	6.8835e+07
P0A862	P0A862		tpx		4.04271e+07	3.95205e+07	3.96288e+07	3.95257e+07	4.0693e+07	3.99393e+07
P0A867	P0A867		talA		4.45597e+06	4.40923e+06	4.44668e+06	4.41432e+06	4.45126e+06	4.33427e+06
P0A870	P0A870		talB		4.31755e+07	4.38786e+07	4.41559e+07	4.38962e+07	4.23727e+07	4.27583e+07
P0A873	P0A873		trmD		3.59017e+06	3.54305e+06	3.64511e+06	3.42219e+06	3.53174e+06	3.3395e+06
P0A877	P0A877		trpA		1.6384e+06	1.68519e+06	1.61553e+06	1.69916e+06	1.62144e+06	1.50884e+06
P0A879	P0A879		trpB		514270	556102	447638	454763	494549	508799
P0A884	P0A884		thyA		7.46793e+06	7.84104e+06	7.6711e+06	7.6896e+06	7.42442e+06	7.69392e+06
P0A887	P0A887		ubiE		8.94299e+06	9.11888e+06	8.83366e+06	9.22273e+06	8.82401e+06	8.77726e+06
P0A890	P0A890		tusA		1.00758e+06	1.01882e+06	945269	911928	972922	988849
P0A894	P0A894		yhbJ		1.57735e+06	1.51314e+06	1.53875e+06	1.44214e+06	1.54727e+06	1.60033e+06
P0A898	P0A898		ybeY		3.28829e+06	3.35689e+06	3.36225e+06	3.33405e+06	3.41317e+06	3.33143e+06
P0A8A0	P0A8A0		yebC		3.86638e+06	4.3487e+06	4.52879e+06	4.47018e+06	3.99198e+06	4.09082e+06
P0A8A2	P0A8A2		yeeN		8.63681e+06	8.6709e+06	8.15482e+06	8.59718e+06	8.80801e+06	8.213e+06
P0A8A4	P0A8A4		ppsR		1.95499e+06	1.92286e+06	1.96391e+06	1.95424e+06	1.89574e+06	1.9184e+06
P0A8A8	P0A8A8		rimP		1.87315e+07	1.65073e+07	1.75651e+07	1.713e+07	1.71791e+07	1.81082e+07
P0A8B2	P0A8B2		yfcN		1.44394e+06	1.48212e+06	1.52359e+06	1.58242e+06	1.47861e+06	1.51205e+06
P0A8B5	P0A8B5		ybaB		1.58711e+06	1.53826e+06	1.63486e+06	1.65523e+06	1.88425e+06	1.85046e+06
P0A8C4	P0A8C4		ygfB		3.37837e+06	3.39202e+06	3.32814e+06	3.41341e+06	3.44309e+06	3.38666e+06
P0A8D0	P0A8D0		nrdR		1.12073e+06	1.15178e+06	1.26585e+06	1.18498e+06	1.18408e+06	1.22577e+06
P0A8D3	P0A8D3		yaiI		1.83294e+06	1.74103e+06	1.89533e+06	1.8011e+06	1.82108e+06	1.87562e+06
P0A8D6	P0A8D6		ymdB		1.18149e+06	1.20935e+06	1.1805e+06	1.16424e+06	1.15087e+06	1.13169e+06
P0A8E1	P0A8E1		ycfP		1.22628e+07	1.22903e+07	1.26659e+07	1.25255e+07	1.19392e+07	1.20695e+07
P0A8E7	P0A8E7		yajQ		1.45777e+07	1.46423e+07	1.46377e+07	1.49071e+07	1.46708e+07	1.45466e+07
P0A8F0	P0A8F0		upp		3.32999e+07	3.15473e+07	3.1101e+07	3.18183e+07	3.20006e+07	3.19811e+07
P0A8F4	P0A8F4		udk		6.87154e+06	6.85327e+06	6.61334e+06	6.54531e+06	6.45636e+06	6.54189e+06
P0A8F8	P0A8F8		uvrB		1.96587e+06	1.97983e+06	1.87468e+06	1.88761e+06	1.91754e+06	2.10186e+06
P0A8G3	P0A8G3		uxaC		1.63328e+06	1.48976e+06	1.50603e+06	1.53055e+06	1.57314e+06	1.50064e+06
P0A8G6	P0A8G6		wrbA		8.30566e+06	8.14128e+06	8.20711e+06	8.26958e+06	8.34205e+06	8.08684e+06
P0A8G9	P0A8G9		xseB		8.90185e+06	9.23209e+06	8.75791e+06	8.54986e+06	9.15398e+06	8.57929e+06
P0A8H8	P0A8H8		yacG		1.8558e+06	2.07136e+06	2.07123e+06	1.95266e+06	1.98802e+06	2.00902e+06
P0A8I1	P0A8I1		yqgF		1.49568e+06	1.61632e+06	1.56195e+06	1.59041e+06	1.60599e+06	1.59789e+06
P0A8I3	P0A8I3		yaaA		4.08805e+06	3.94244e+06	4.06312e+06	4.06464e+06	3.92973e+06	4.10267e+06
P0A8I5	P0A8I5		trmB		6.37457e+06	6.31984e+06	6.54259e+06	6.40982e+06	6.39314e+06	6.47781e+06
P0A8I8	P0A8I8		rlmH		3.74782e+06	3.87119e+06	3.72387e+06	3.92184e+06	3.78878e+06	3.64662e+06
P0A8J2	P0A8J2		dnaT		1.05815e+06	890581	1.00708e+06	975903	994257	1.02212e+06
P0A8J4	P0A8J4		ybeD		1.16245e+07	1.22764e+07	1.24055e+07	1.2637e+07	1.18544e+07	1.23096e+07
P0A8J8	P0A8J8		rhlB		5.05452e+06	5.35019e+06	5.29999e+06	5.15984e+06	5.20908e+06	5.091e+06
P0A8K1	P0A8K1		psd		4.27039e+06	4.28316e+06	4.11566e+06	4.16414e+06	4.13944e+06	4.19664e+06
P0A8K5	P0A8K5		yaeP		2.12655e+06	2.29222e+06	2.4844e+06	2.34782e+06	2.05551e+06	2.32437e+06
P0A8L1	P0A8L1		serS		2.42012e+07	2.45017e+07	2.41595e+07	2.45996e+07	2.44398e+07	2.37739e+07
P0A8M0	P0A8M0		asnS		3.14925e+07	3.12735e+07	3.19019e+07	3.15139e+07	3.13851e+07	3.13605e+07
P0A8M3	P0A8M3		thrS		8.84979e+06	9.25349e+06	9.16538e+06	9.35932e+06	9.17175e+06	8.92378e+06
P0A8M6	P0A8M6		yeeX		9.23858e+06	9.35649e+06	8.90693e+06	9.125e+06	9.40176e+06	8.8581e+06
P0A8N0	P0A8N0		matP		487216	407997	456193	425391	429852	569979
P0A8N3	P0A8N3		lysS		3.45356e+07	3.41324e+07	3.44566e+07	3.48435e+07	3.47761e+07	3.48465e+07
P0A8N5	P0A8N5		lysU		2.0326e+07	2.0526e+07	2.09104e+07	2.05618e+07	2.0102e+07	2.0547e+07
P0A8N7	P0A8N7		epmA		3.29391e+06	3.46905e+06	3.4899e+06	3.43877e+06	3.24001e+06	3.39045e+06
P0A8P3	P0A8P3		yggX		2.55563e+07	2.6145e+07	2.58398e+07	2.55332e+07	2.56969e+07	2.57092e+07
P0A8Q0	P0A8Q0		frdC		1.74294e+06	1.64559e+06	1.67955e+06	1.65419e+06	1.71828e+06	1.78488e+06
P0A8R0	P0A8R0		rraA		1.85133e+07	1.82341e+07	1.77946e+07	1.80729e+07	1.82255e+07	1.7876e+07
