Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P16095	P16095		sdaA		1.71702e+06	1.67798e+06	1.67575e+06	1.63248e+06	1.6551e+06	2.62122e+06
P16384	P16384		miaA		2.15552e+06	2.13385e+06	2.19288e+06	2.18809e+06	2.07189e+06	2.22413e+06
P16431	P16431		hycE		2.79798e+06	2.90429e+06	2.82535e+06	2.83829e+06	2.84968e+06	2.81071e+06
P16433	P16433		hycG		717839	747426	734221	791901	856301	784177
P16456	P16456		selD		6.31371e+06	6.44984e+06	6.39237e+06	6.52938e+06	6.40634e+06	6.12983e+06
P16528	P16528		iclR		1.70138e+06	1.77136e+06	1.79215e+06	1.74188e+06	1.66643e+06	1.80043e+06
P16659	P16659		proS		1.1304e+07	1.10218e+07	1.10668e+07	1.12061e+07	1.11115e+07	1.07946e+07
P16676	P16676		cysA		357170	364032	323957	365259	344535	348911
P16700	P16700		cysP		8.20076e+06	8.2766e+06	8.45786e+06	8.3001e+06	8.30362e+06	7.77057e+06
P16703	P16703		cysM		3.55589e+06	3.56517e+06	3.47383e+06	3.35103e+06	3.47971e+06	3.5918e+06
P16926	P16926		mreC		1.08669e+06	1.17232e+06	1.13788e+06	1.15587e+06	1.2209e+06	1.02295e+06
P17109	P17109		menD		1.6559e+06	1.67705e+06	1.69921e+06	1.85831e+06	1.65031e+06	1.68783e+06
P17115	P17115		gutQ		2.18733e+06	2.18454e+06	2.15905e+06	2.13263e+06	2.18052e+06	2.05992e+06
P17117	P17117		nfsA		4.41135e+06	4.21559e+06	4.44659e+06	4.43739e+06	4.45276e+06	3.97993e+06
P17169	P17169		glmS		4.16956e+07	4.14058e+07	4.18851e+07	4.18139e+07	4.24212e+07	3.74662e+07
