Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0ADV7	P0ADV7		mlaC		1.04653e+07	1.07089e+07	1.05255e+07	1.06218e+07	1.10034e+07	1.02438e+07
P0ADW3	P0ADW3		yhcB		2.89485e+07	3.06496e+07	3.11053e+07	2.95747e+07	3.1878e+07	2.77706e+07
P0ADW8	P0ADW8		yheV		1.29985e+06	1.23472e+06	1.19589e+06	1.40004e+06	1.22045e+06	1.19203e+06
P0ADX1	P0ADX1		yhfA		7.55288e+06	6.62674e+06	6.80839e+06	7.09047e+06	6.95045e+06	7.08472e+06
P0ADY1	P0ADY1		ppiD		2.31303e+07	2.29139e+07	2.30676e+07	2.31015e+07	2.32085e+07	2.26965e+07
P0ADY3	P0ADY3		rplN		4.79102e+07	5.00182e+07	4.97108e+07	4.82737e+07	4.95773e+07	4.77842e+07
P0ADY7	P0ADY7		rplP		4.34425e+07	4.61386e+07	4.5247e+07	4.405e+07	4.58205e+07	4.2417e+07
P0ADZ0	P0ADZ0		rplW		9.3982e+06	8.23384e+06	8.49443e+06	8.5246e+06	8.87808e+06	8.6838e+06
P0ADZ4	P0ADZ4		rpsO		1.2954e+08	1.29541e+08	1.29941e+08	1.22694e+08	1.26652e+08	1.24697e+08
P0ADZ7	P0ADZ7		yajC		1.5689e+07	1.59903e+07	1.64113e+07	1.50994e+07	1.65496e+07	1.48956e+07
P0AE01	P0AE01		trmJ		5.68625e+06	5.83037e+06	5.79204e+06	6.05106e+06	5.56601e+06	5.40465e+06
P0AE06	P0AE06		acrA		2.36292e+07	2.36837e+07	2.36034e+07	2.37888e+07	2.35133e+07	2.40238e+07
P0AE08	P0AE08		ahpC		3.45993e+07	3.60035e+07	3.62949e+07	3.56423e+07	3.59822e+07	3.46178e+07
P0AE12	P0AE12		amn		1.09184e+06	872472	1.02747e+06	1.10875e+06	953377	1.07638e+06
P0AE18	P0AE18		map		9.36045e+06	9.93014e+06	9.90278e+06	9.6339e+06	1.025e+07	9.8336e+06
P0AE22	P0AE22		aphA		1.73318e+06	1.70069e+06	1.73718e+06	1.62673e+06	1.75985e+06	1.75656e+06
P0AE39	P0AE39		ypdB		1.31974e+06	1.31213e+06	1.27857e+06	1.26651e+06	1.35376e+06	1.2652e+06
P0AE45	P0AE45		ytfL		283175	261224	213835	224577	210703	225127
P0AE48	P0AE48		ytfP		4.78684e+06	4.84633e+06	4.75309e+06	4.72022e+06	4.89177e+06	4.71332e+06
P0AE52	P0AE52		bcp		1.9287e+07	1.94343e+07	1.91673e+07	1.97663e+07	1.83332e+07	1.90827e+07
P0AE60	P0AE60		cedA		1.04079e+06	1.13267e+06	1.21548e+06	1.12228e+06	976530	978530
P0AE67	P0AE67		cheY		1.33256e+06	1.53791e+06	1.57694e+06	1.50439e+06	1.40215e+06	1.32788e+06
P0AE70	P0AE70		mazF		3.75221e+06	3.04624e+06	3.09217e+06	3.2645e+06	3.17169e+06	3.62718e+06
P0AE78	P0AE78		corC		9.61113e+06	9.34899e+06	9.3412e+06	9.23564e+06	8.54849e+06	9.21499e+06
P0AE82	P0AE82		cpxA		1.68565e+06	1.67743e+06	1.644e+06	1.65569e+06	1.6636e+06	1.75863e+06
P0AE85	P0AE85		cpxP		802884	829976	791368	819916	754328	734886
P0AE88	P0AE88		cpxR		4.47672e+06	4.6586e+06	4.63494e+06	4.4927e+06	4.67959e+06	4.6147e+06
P0AE91	P0AE91		creA		3.50368e+06	3.25559e+06	3.46316e+06	3.40311e+06	3.50893e+06	3.50588e+06
P0AEB2	P0AEB2		dacA		7.52422e+06	7.72114e+06	7.86462e+06	7.58545e+06	8.05926e+06	7.68271e+06
P0AEB7	P0AEB7		yoaB		9.74884e+06	1.11689e+07	1.0467e+07	9.01128e+06	1.0433e+07	9.70835e+06
P0AEC0	P0AEC0		yoaE		457331	381953	417197	453825	376407	374938
P0AEC3	P0AEC3		arcB		820594	780530	821126	786673	934102	835590
P0AED0	P0AED0		uspA		8.09695e+06	8.89566e+06	9.27096e+06	8.27384e+06	9.06549e+06	8.11476e+06
P0AED5	P0AED5		uvrY		3.60007e+06	3.66296e+06	3.6774e+06	3.69466e+06	3.8591e+06	3.68162e+06
P0AED7	P0AED7		dapE		4.95656e+06	5.11943e+06	5.0229e+06	4.94012e+06	5.07629e+06	5.14531e+06
P0AEE1	P0AEE1		dcrB		7.28001e+06	7.44075e+06	7.5341e+06	6.89158e+06	8.01266e+06	7.46806e+06
P0AEE5	P0AEE5		mglB		2.01707e+06	2.07246e+06	1.97818e+06	2.0399e+06	2.10734e+06	1.98446e+06
P0AEF4	P0AEF4		dpiA		1.79354e+06	1.92595e+06	1.85114e+06	1.85257e+06	1.9262e+06	1.97225e+06
P0AEG4	P0AEG4		dsbA		4.96704e+06	5.47051e+06	5.49425e+06	5.58747e+06	5.28332e+06	5.6301e+06
P0AEG6	P0AEG6		dsbC		2.68253e+06	2.58215e+06	2.86113e+06	2.41501e+06	3.12662e+06	2.80273e+06
P0AEH5	P0AEH5		elaB		8.90006e+06	8.89112e+06	8.88015e+06	9.32398e+06	9.03274e+06	9.52832e+06
P0AEI1	P0AEI1		miaB		9.77247e+06	9.96599e+06	1.00326e+07	1.00125e+07	9.94628e+06	9.72921e+06
P0AEI4	P0AEI4		rimO		4.91035e+06	4.91156e+06	4.85765e+06	4.89716e+06	4.61845e+06	4.8485e+06
P0AEI6	P0AEI6		nudJ		2.7023e+06	2.72809e+06	2.72988e+06	2.67258e+06	2.76102e+06	2.69377e+06
P0AEK2	P0AEK2		fabG		8.38617e+07	9.06861e+07	9.44325e+07	8.56699e+07	8.99491e+07	7.91739e+07
P0AEK4	P0AEK4		fabI		5.68022e+07	6.15492e+07	6.08625e+07	5.70873e+07	5.99869e+07	5.56531e+07
P0AEL6	P0AEL6		fepB		1.49089e+06	1.51248e+06	1.57472e+06	1.69413e+06	1.48701e+06	1.43797e+06
