Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P23836	P23836		phoP		2.23804e+07	2.19193e+07	2.25823e+07	2.21172e+07	2.22488e+07	2.21259e+07
P23837	P23837		phoQ		1.048e+06	1.19167e+06	1.0022e+06	1.14363e+06	1.0192e+06	1.06109e+06
P23839	P23839		yicC		4.58245e+06	4.33322e+06	4.36663e+06	4.22586e+06	4.27832e+06	4.22834e+06
P23843	P23843		oppA		5.66192e+06	5.36519e+06	5.7942e+06	5.54833e+06	5.67542e+06	5.26e+06
P23845	P23845		cysN		3.81516e+06	3.85713e+06	3.78209e+06	3.86868e+06	3.99811e+06	4.12172e+06
P23847	P23847		dppA		1.82983e+06	1.93094e+06	1.92794e+06	1.69644e+06	1.78744e+06	1.6742e+06
P23857	P23857		pspE		1.51969e+06	1.40702e+06	1.29215e+06	1.31919e+06	1.48049e+06	1.39718e+06
P23865	P23865		prc		6.27505e+06	6.34001e+06	6.24827e+06	6.32464e+06	6.2682e+06	6.70816e+06
P23869	P23869		ppiB		3.91771e+07	3.5001e+07	3.80933e+07	3.60892e+07	3.84109e+07	3.66073e+07
P23871	P23871		hemH		2.30983e+06	2.51059e+06	2.3254e+06	2.3959e+06	2.39604e+06	2.33572e+06
P23882	P23882		fmt		6.99779e+06	6.98551e+06	6.62714e+06	6.77528e+06	7.10892e+06	6.8657e+06
P23886	P23886		cydC		900717	911513	842312	865214	986943	867097
P23893	P23893		hemL		1.06037e+07	1.01805e+07	1.05285e+07	1.06881e+07	1.08003e+07	1.03869e+07
P23894	P23894		htpX		4.40995e+06	4.16995e+06	3.77172e+06	4.01575e+06	3.72152e+06	4.0253e+06
P23908	P23908		argE		1.49516e+06	1.66952e+06	1.57985e+06	1.56914e+06	1.6232e+06	1.66408e+06
P23909	P23909		mutS		4.95658e+06	4.86567e+06	5.02959e+06	4.96726e+06	4.92063e+06	4.90199e+06
P23917	P23917		mak		1.72376e+06	1.83202e+06	1.69655e+06	1.73621e+06	1.84905e+06	1.89551e+06
P24169	P24169		speF		3.02917e+06	3.18081e+06	3.07719e+06	3.09945e+06	3.03752e+06	3.14613e+06
P24171	P24171		dcp		3.91325e+06	3.83381e+06	3.7519e+06	3.6562e+06	3.69604e+06	3.83298e+06
P24173	P24173		rfaC		483505	667442	642106	603181	549192	646226
P24178	P24178		yffB		4.25295e+06	4.2156e+06	4.49489e+06	3.84629e+06	4.44062e+06	4.24919e+06
P24182	P24182		accC		1.60842e+07	1.54182e+07	1.55113e+07	1.49554e+07	1.57262e+07	1.51838e+07
P24183	P24183		fdnG		3.86147e+06	3.93766e+06	3.92729e+06	4.06422e+06	3.92029e+06	4.08437e+06
P24186	P24186		folD		5.82587e+06	5.7764e+06	5.62011e+06	5.59398e+06	5.55602e+06	5.69977e+06
P24188	P24188		yceA		993552	914117	874187	894501	863968	1.03646e+06
P24192	P24192		hypD		1.72073e+06	1.80112e+06	1.58528e+06	1.81571e+06	1.67923e+06	1.94976e+06
P24193	P24193		hypE		2.82288e+06	2.7271e+06	2.86976e+06	2.79356e+06	2.96249e+06	2.64856e+06
P24202	P24202		mrr		2.11524e+06	1.90378e+06	2.05702e+06	2.02392e+06	2.02683e+06	2.09092e+06
P24203	P24203		yjiA		3.27516e+06	2.45517e+06	3.39629e+06	2.54794e+06	3.39373e+06	2.99841e+06
P24205	P24205		msbB		2.25715e+06	2.16837e+06	2.19207e+06	2.51584e+06	2.18816e+06	2.29633e+06
P24215	P24215		uxuA		4.71802e+06	4.91634e+06	4.33344e+06	4.78397e+06	4.57659e+06	4.67751e+06
P24216	P24216		fliD		943635	906370	909263	949491	870639	844980
P24224	P24224		acpS		2.05843e+06	2.10333e+06	2.027e+06	1.87893e+06	2.13747e+06	2.06607e+06
P24228	P24228		dacB		1.73728e+06	1.81492e+06	1.84241e+06	1.8904e+06	1.75347e+06	1.78188e+06
P24230	P24230		recG		226711	429527	185995	329457	410926	414902
P24232	P24232		hmp		1.59768e+06	1.72198e+06	1.65736e+06	1.67031e+06	1.52177e+06	1.69516e+06
P24251	P24251		crl		6.05886e+06	6.40301e+06	5.75086e+06	6.35754e+06	5.75281e+06	5.99214e+06
P24252	P24252		ybgA		1.27557e+06	1.52651e+06	1.49073e+06	1.21648e+06	1.40511e+06	1.45656e+06
P24255	P24255		rpoN		1.00667e+06	1.2171e+06	951967	1.06066e+06	962030	1.12959e+06
P24554	P24554		radA		1.26831e+06	1.18603e+06	1.07565e+06	1.26419e+06	1.15323e+06	1.25826e+06
P25397	P25397		tehB		3.58994e+06	3.61329e+06	3.92282e+06	3.53303e+06	3.95073e+06	3.38391e+06
P25437	P25437		frmA		8.07998e+06	8.04876e+06	8.11329e+06	7.75699e+06	8.41265e+06	8.19748e+06
P25516	P25516		acnA		5.98694e+06	6.0836e+06	5.93788e+06	6.18257e+06	5.72099e+06	6.02244e+06
P25519	P25519		hflX		2.86443e+06	2.80662e+06	2.78703e+06	2.86364e+06	2.81014e+06	2.81027e+06
P25522	P25522		mnmE		4.59305e+06	4.50476e+06	4.5464e+06	4.42437e+06	4.49054e+06	4.33801e+06
P25524	P25524		codA		2.25397e+06	2.15426e+06	2.2651e+06	2.31551e+06	2.29134e+06	2.22896e+06
P25526	P25526		gabD		894905	850047	857234	914494	844246	851952
P25534	P25534		ubiH		881533	938872	904018	906864	843548	859301
P25535	P25535		visC		2.45746e+06	2.46251e+06	2.47829e+06	2.59451e+06	2.56082e+06	2.54468e+06
P25536	P25536		yhdE		2.38968e+06	2.40123e+06	2.43784e+06	2.53706e+06	2.40967e+06	2.42911e+06
