Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0AFU8	P0AFU8		ribC		9.3204e+06	9.32237e+06	9.04028e+06	9.17465e+06	9.08981e+06	9.09201e+06
P0AFW0	P0AFW0		rfaH		1.84377e+06	2.02246e+06		2.09164e+06	2.15857e+06	
P0AFW8	P0AFW8		rof		3.69083e+06	3.58842e+06	3.70027e+06	3.7356e+06	3.75035e+06	3.80439e+06
P0AFX0	P0AFX0		hpf		880331	656468	680072	904832	765257	887584
P0AFX4	P0AFX4		rsd		500050	349363	406503	545765	371791	514763
P0AFX7	P0AFX7		rseA		1.69954e+06	1.71445e+06	1.64019e+06	1.67632e+06	1.63078e+06	1.69179e+06
P0AFX9	P0AFX9		rseB		3.05624e+06	2.90921e+06	2.81069e+06	3.01284e+06	2.93666e+06	2.97211e+06
P0AFY8	P0AFY8		seqA		9.12572e+06	9.34754e+06	9.33537e+06	9.36961e+06	9.46646e+06	9.2713e+06
P0AFZ1	P0AFZ1		sseB		2.22593e+06	2.35395e+06	2.42391e+06	2.37215e+06	2.48297e+06	2.43994e+06
P0AFZ3	P0AFZ3		sspB		9.2716e+06	9.18278e+06	9.29688e+06	9.33231e+06	9.43093e+06	9.20822e+06
P0AG00	P0AG00		wzzE		3.1043e+06	3.25267e+06	3.17404e+06	3.14354e+06	3.03478e+06	2.99481e+06
P0AG07	P0AG07		rpe		1.18456e+07	1.21449e+07	1.24028e+07	1.17598e+07	1.26019e+07	1.17233e+07
P0AG14	P0AG14		sohB		1.37873e+06	1.40385e+06	1.4727e+06	1.39992e+06	1.39981e+06	1.40159e+06
