Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P78055	P78055		fsaA		308556	287419	439240	292844	362264	392172
P78067	P78067		ynjE		2.87282e+06	2.98155e+06	3.03353e+06	2.87391e+06	2.6211e+06	2.80876e+06
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)				2.82672e+06	2.83863e+06	2.66902e+06	406589	438150	408255
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				5.74776e+06	5.92927e+06	5.64251e+06	683310	759491	687462
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				1.1213e+07	1.16727e+07	1.14951e+07	1.28796e+06	1.51684e+06	1.49747e+06
Q2M7R5	Q2M7R5		yibT		2.34561e+06	2.252e+06	2.29587e+06	2.37599e+06	2.30303e+06	2.4572e+06
Q46798	Q46798		ygeR		685871	791488	758064	735878	673331	673409
Q46829	Q46829		bglA		1.21968e+07	1.17074e+07	1.20894e+07	1.16306e+07	1.15856e+07	1.13283e+07
Q46835	Q46835		yghG		972768	877156	892643	870198	878194	1.0167e+06
Q46845	Q46845		yghU		699860	598194	640496	556416	633670	690122
Q46856	Q46856		yqhD		4.44203e+06	4.59095e+06	4.58362e+06	4.61158e+06	4.45428e+06	4.49991e+06
Q46857	Q46857		dkgA		5.29039e+06	5.34815e+06	5.36101e+06	5.49872e+06	5.34227e+06	5.21194e+06
Q46863	Q46863		ygiS		430996	385683	422925	467181	466312	377284
Q46868	Q46868		yqiC		9.63208e+06	9.28769e+06	1.00194e+07	9.99017e+06	1.01255e+07	1.03359e+07
Q46871	Q46871		yqjH		3.35198e+06	3.52199e+06	3.29761e+06	3.37954e+06	3.48247e+06	3.48218e+06
Q46893	Q46893		ispD		2.57382e+06	2.5352e+06	2.60799e+06	2.58809e+06	2.57153e+06	2.78389e+06
Q46919	Q46919		yqcC		550347	586723	561650	568744	527315	447005
Q46920	Q46920		queF		4.45892e+06	4.46774e+06	4.51467e+06	4.84619e+06	4.43012e+06	4.62445e+06
Q46925	Q46925		csdA		914025	969585	909998	991326	1.08942e+06	935365
Q46927	Q46927		ygdL		1.44462e+06	1.54043e+06	1.60611e+06	1.43077e+06	1.19673e+06	1.57714e+06
Q46948	Q46948		yajL		4.54328e+06	4.31758e+06	4.63544e+06	4.62434e+06	4.43498e+06	4.72584e+06
Q47147	Q47147		yafJ		1.62877e+06	1.57473e+06	1.56455e+06	1.649e+06	1.64592e+06	1.7154e+06
Q47157	Q47157		yafO		371904	372901	380617	301297	309115	365581
Q47319	Q47319		yfiP		539718	569554	630925	627097	682976	545854
Q47622	Q47622		sapA		1.8109e+06	1.95022e+06	1.86664e+06	2.02765e+06	1.97754e+06	2.046e+06
Q47679	Q47679		yafV		1.36234e+06	1.26837e+06	1.3257e+06	1.28114e+06	1.12834e+06	1.44274e+06
Q47710	Q47710		yqjK		710590	635466	676797	678829	694280	741376
Q57154	Q57154		repB		1.00562e+06	1.00112e+06	773257	902551	854392	904550
Q57261	Q57261		truD		3.82407e+06	3.55633e+06	3.7151e+06	3.73067e+06	3.74005e+06	3.61603e+06
Q59385	Q59385		copA		5.35004e+06	5.53467e+06	5.4358e+06	5.91542e+06	5.52294e+06	5.6784e+06
Q93K97	Q93K97		nudF		7.65175e+06	7.63255e+06	7.51497e+06	7.67937e+06	7.8222e+06	7.89541e+06
