Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				76079.7	13018800.0	81038.7	13224000.0	109544.0	13191400.0	3	1.484726980135452e-05	-7.208289148879996	True	0.00033557046979865775	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P0AB06	P0AB06		ycbK		831401.0	1075510.0	839357.0	1064410.0	818632.0	1051550.0	0	1.649852830260853e-05	-0.3584288187625208	True	0.00036607687614399027	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				76079.7	10215000.0	81038.7	10272500.0	109544.0	10079600.0	3	1.8250956051673785e-05	-6.840821459356854	True	0.0003965832824893228	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				604625.0	6269200.0	747952.0	6309900.0	779953.0	5983420.0	0	1.9495914408540314e-05	-3.1217546379909518	True	0.0004270896888346553	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P68919	P68919		rplY		118087000.0	101246000.0	117678000.0	102381000.0	119048000.0	102918000.0	0	1.9988851172806075e-05	0.21095999623640194	True	0.0004575960951799878	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P08622	P08622		dnaJ		6387160.0	5714160.0	6409420.0	5696360.0	6386470.0	5743500.0	0	2.0414368471329235e-05	0.16128541135895472	True	0.0004881025015253203	True	False	Ecoli	False	True	False	True	umpire	manual	min	1.660964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				76079.7	24472600.0	81038.7	24767300.0	109544.0	24907300.0	3	2.4114500498192068e-05	-8.119233987419939	True	0.0005186089078706529	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				76079.7	1953840.0	81038.7	1881800.0	109544.0	1963890.0	3	2.5676519496200983e-05	-4.442849666370585	True	0.0005491153142159853	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)				76079.7	18965300.0	81038.7	18860500.0	109544.0	18588000.0	3	3.123796931667416e-05	-7.724889893096592	False	0.000579621720561318	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				76079.7	18051800.0	81038.7	18433600.0	109544.0	18307600.0	3	3.306911029854151e-05	-7.682833369353031	False	0.0006101281269066504	True	True	Human	True	False	False	True	umpire	manual	min	1.660964047443681
