Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A915	P0A915		ompW		16898000.0	15903300.0	16279500.0	15557700.0	15931200.0	15562200.0	0	0.13094506127366545	0.060930312740393115	False	0.01530366806975346	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P64451	P64451		ydcL		9585050.0	9912710.0	9389770.0	8474540.0	9434690.0	9038170.0	0	0.13156897407582976	0.10030077062115901	False	0.015333734215273603	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P09148	P09148		galT		1969850.0	1941170.0	1948470.0	1727530.0	1881100.0	1879210.0	0	0.13157956592664355	0.09453668058237975	False	0.015363800360793746	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P33650	P33650		feoB		2029870.0	2123920.0	1959940.0	2370860.0	2299300.0	2071250.0	0	0.13194522191764937	-0.14099752988662692	False	0.015393866506313891	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P14175	P14175		proV		1095440.0	1127680.0	1093550.0	1095210.0	1031140.0	1007100.0	0	0.13221724616499356	0.08198350244153642	False	0.015423932651834036	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P17109	P17109		menD		883850.0	818192.0	873608.0	991214.0	1047270.0	879415.0	0	0.13352329443214572	-0.17999338496411446	False	0.015453998797354181	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P45955	P45955		ybgF		2757370.0	2818710.0	2840810.0	2877930.0	2833090.0	2951540.0	0	0.1339342370855438	-0.04150617697244707	False	0.015484064942874324	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AEN4	P0AEN4		ftsL		1854840.0	1824720.0	1892320.0	1824590.0	1812320.0	1731880.0	0	0.1355659944140529	0.05356721231474327	False	0.015514131088394468	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P76539	P76539		ypeA		3001130.0	3266310.0	3090680.0	3331250.0	3358190.0	3205700.0	0	0.13571295106561537	-0.08050139056268293	False	0.015544197233914613	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P24169	P24169		speF		2967010.0	3010600.0	3062530.0	3218820.0	3039490.0	3136390.0	0	0.13610125698794376	-0.05550197785703703	False	0.015574263379434758	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A7N4	P0A7N4		rpmF		44976600.0	41673200.0	44507100.0	45182300.0	46701600.0	46334200.0	0	0.13630597179049783	-0.07565284458377212	False	0.015604329524954903	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AA95	P0AA95		yacC		1208640.0	1175420.0	1151780.0	1111770.0	1169960.0	1106120.0	0	0.1363679314916392	0.061682993425060645	False	0.015634395670475046	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFX0	P0AFX0		hpf		1091480.0	999683.0	970490.0	995238.0	904009.0	882256.0	0	0.13693744015013704	0.1384461190831866	False	0.01566446181599519	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AD61	P0AD61		pykF		49748700.0	49306700.0	50007200.0	49271100.0	48865100.0	49436600.0	0	0.137513482916913	0.014491494565831122	False	0.015694527961515336	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABB4	P0ABB4		atpD		40317300.0	40702900.0	40912100.0	41030100.0	40880200.0	41207900.0	0	0.13759792771053608	-0.013963696507309392	False	0.01572459410703548	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AGD1	P0AGD1		sodC		457562.0	445254.0	512658.0	515805.0	501676.0	538310.0	0	0.13871802271352549	-0.13636301681109372	False	0.015754660252555622	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P37692	P37692		rfaF		2985890.0	2888720.0	2823760.0	3069210.0	2927820.0	3068640.0	0	0.13973640229056014	-0.05966856894977862	False	0.015784726398075766	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P76402	P76402		yegP		2622970.0	2539760.0	2504740.0	2418280.0	2514780.0	2484330.0	0	0.1417331745269761	0.04783899009033281	False	0.015814792543595912	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P37128	P37128		nudK		3766280.0	3570350.0	3812180.0	3190700.0	3653140.0	3409130.0	0	0.1418950843034715	0.12084784933352746	False	0.015844858689116056	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFF6	P0AFF6		nusA		23491800.0	23561400.0	23533300.0	22917900.0	23379900.0	22501600.0	0	0.1424802895055373	0.03699630443943156	False	0.015874924834636202	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P37765	P37765		rluB		4810790.0	4756680.0	4763900.0	4889900.0	4916400.0	4787410.0	0	0.14320971595639095	-0.02617016064655615	False	0.015904990980156346	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6V8	P0A6V8		glk		10313400.0	10465600.0	10128900.0	10656600.0	10460600.0	10453800.0	0	0.14345533145596795	-0.030624322867080663	False	0.01593505712567649	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AGD3	P0AGD3		sodB		87191800.0	82504200.0	89115000.0	82143300.0	82421900.0	80843300.0	0	0.1438410412871812	0.0767137169060516	False	0.015965123271196632	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ADP9	P0ADP9		yihD		4733840.0	5086290.0	4921190.0	4655180.0	4672950.0	4714600.0	0	0.1457728522456193	0.07004228281066596	False	0.01599518941671678	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6X3	P0A6X3		hfq		977971.0	855447.0	1050280.0	1131160.0	1043390.0	1083680.0	0	0.1463535100997101	-0.17616836409814954	False	0.016025255562236922	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABU0	P0ABU0		menB		12580200.0	12271200.0	12517800.0	12047300.0	12266000.0	12351100.0	0	0.14682260671467118	0.027469748452327945	False	0.016055321707757066	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AEU7	P0AEU7		skp		26251900.0	26838300.0	26257300.0	26249500.0	24779800.0	25530400.0	0	0.1468968014412555	0.0515995921953258	False	0.01608538785327721	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P76403	P76403		yegQ		2407260.0	2392100.0	2407900.0	2518470.0	2414350.0	2482760.0	0	0.14738916837184995	-0.041108644492761345	False	0.016115453998797356	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9C5	P0A9C5		glnA		14705200.0	14386700.0	14830000.0	14293900.0	14307300.0	14451300.0	0	0.1476492413216878	0.028843449274493282	False	0.0161455201443175	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A8V6	P0A8V6		fadR		6652730.0	6763680.0	6657080.0	6382610.0	6634920.0	6564100.0	0	0.14780500603027102	0.03579060539658524	False	0.016175586289837646	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABA4	P0ABA4		atpH		21660800.0	21534500.0	21224100.0	20513800.0	21263500.0	21128000.0	0	0.1481562947336567	0.034313649050420315	False	0.01620565243535779	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9I1	P0A9I1		citE		6085490.0	6326660.0	6050720.0	6547870.0	6260420.0	6317220.0	0	0.14823630412620686	-0.05087138595248993	False	0.016235718580877932	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P75809	P75809		ybjI		1058090.0	1033450.0	1038750.0	896500.0	939495.0	1029490.0	0	0.14870674138499665	0.12751697502184303	False	0.016265784726398076	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P77748	P77748		ydiJ		1079440.0	1121100.0	1032930.0	1156140.0	1137380.0	1106720.0	0	0.14892028294061999	-0.0725533548825166	False	0.016295850871918222	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P02919	P02919		mrcB		1598520.0	1453270.0	1465890.0	1576740.0	1639610.0	1604840.0	0	0.14958092918924518	-0.0938072023426182	False	0.016325917017438366	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
