protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P05459	33557343.34171039	33442674.16016436	34015233.279087394	35445353.614626534	35320700.753636055	34017787.24649886	P05459	P05459		pdxB	0	0.09623638064865048	-0.052843140227628906	False	0.008807506053268766	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P24183	58339599.409491085	56925958.4355235	56798070.10971935	56145431.32979682	55281649.96764147	56534405.15956623	P24183	P24183		fdnG	0	0.09640756283070821	0.03481170119421533	False	0.008837772397094433	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P08189	1256516.8832090208	1504529.8122225502	1468429.0447736748	1523829.1308028842	1621149.5929085016	1730487.8390340337	P08189	P08189		fimF	0	0.09662530867989587	-0.20506143881688452	False	0.008868038740920098	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P77690	601893.7867349023	878486.0309578128	774045.7436200572	1017229.6250000012	981113.8508139496	930627.5114146086	P77690	P77690		arnB	0	0.09721044697370196	-0.3776340282104027	False	0.008898305084745763	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AAB8	6031666.731091817	6504446.070597705	6249766.517382345	6615005.200310492	6733768.422212783	6560017.328884281	P0AAB8	P0AAB8		uspD	0	0.0974242748027443	-0.08375696330540755	False	0.008928571428571428	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P39172	6151075.207819509	6652512.051090562	6732484.858269108	6936424.570088077	7500137.403586185	6860197.727921193	P39172	P39172		znuA	0	0.09762728795152241	-0.124493510201162	False	0.008958837772397095	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A6D7	52362368.23835492	54971335.50353314	54488089.615558185	55368051.09034261	56296380.67545266	56615772.94611871	P0A6D7	P0A6D7		aroK	0	0.09804017140594602	-0.05645956237749084	False	0.008989104116222762	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P07604	10322026.320236938	9980425.524005337	9853563.123281064	9025645.586291911	9723911.330961123	9639144.152108695	P07604	P07604		tyrR	0	0.09873473589485883	0.08712895333920073	False	0.009019370460048427	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AFR4	20152184.35494089	19189676.859194443	18478317.31155888	18454655.27785522	17798206.19171448	17692146.43395076	P0AFR4	P0AFR4		yciO	0	0.09930282150179671	0.10008360507913858	False	0.009049636803874092	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AF08	13801186.306818595	14180164.92777217	14030644.703993805	14626316.819595642	14209202.601794064	14273965.594112098	P0AF08	P0AF08		mrp	0	0.09971186647746187	-0.03720400010065521	False	0.009079903147699757	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ABB4	570545395.8867122	588887750.4561534	593339042.3491489	596734499.7061486	610243325.476832	601003349.6395392	P0ABB4	P0ABB4		atpD	0	0.10089126158889618	-0.044741157788346995	False	0.009110169491525424	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AG07	31037258.68905356	31614000.865799066	33352841.90747544	32947737.405254133	34199014.43419659	34409951.43223946	P0AG07	P0AG07		rpe	0	0.10091793690601646	-0.08111752146188776	False	0.009140435835351091	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ACL2	6987383.143602576	6669781.809601469	6886537.573728284	7748891.835423406	7358842.994974064	7048102.709933572	P0ACL2	P0ACL2		exuR	0	0.1009346763040731	-0.10899064747968318	False	0.009170702179176756	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P56262	1626839.710958578	1617930.9919481676	2013257.428398432	2120358.993667113	2171909.5159581075	2037152.154358031	P56262	P56262		ysgA	0	0.10099128901422401	-0.2675515942455046	False	0.009200968523002421	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A9D2	26065822.33716403	27631536.308196597	25783542.047461502	24848643.206709493	25203810.483160544	24670242.41307755	P0A9D2	P0A9D2		gstA	0	0.10115216507533129	0.08906171106697226	False	0.009231234866828086	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A8N3	292980976.2847876	296162165.9149246	290122272.35327435	308224846.9964088	298671073.9617717	298183055.30997926	P0A8N3	P0A8N3		lysS	0	0.10133612057705647	-0.041744963579296024	False	0.009261501210653753	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P30870	1051551.64359661	1174985.6151100774	1073192.5265656842	1262488.870498253	1149775.2293413086	1207843.6532867278	P30870	P30870		glnE	0	0.1015498362057223	-0.13368475293773494	False	0.00929176755447942	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
Q46920	22088358.102125168	21560786.17717024	21798318.78505479	20515964.3028341	19999394.90413034	21465593.387792245	Q46920	Q46920		queF	0	0.1018417662552129	0.0785123420669779	False	0.009322033898305085	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AG99	11979948.09519702	11427925.776258402	11088976.937916206	10980498.373677112	10852033.779371828	10603555.30849075	P0AG99	P0AG99		secG	0	0.10240073412393835	0.08886485756249786	False	0.009352300242130752	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AFM2	4349218.826718281	4336229.406027483	4792859.039764194	4070286.021974644	4285725.919830184	3743364.9163247673	P0AFM2	P0AFM2		proX	0	0.10248111553527885	0.15570657346918407	False	0.009382566585956417	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A6P1	1098915866.4908926	1083782794.0936549	1080896744.2291298	1148546856.1454766	1119864493.042364	1102252426.1453116	P0A6P1	P0A6P1		tsf	0	0.1028332391529395	-0.046570510980297596	False	0.009412832929782082	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AD57	2801635.276175671	2510297.576470561	2782457.208947138	2515835.109184945	2395401.27507801	2432297.918964447	P0AD57	P0AD57		ispB	0	0.10309755942292123	0.140447801036763	False	0.00944309927360775	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P23830	4366693.422135005	4522897.365205114	4177180.3026296175	4230790.752083175	3873859.5587971895	4058244.418260031	P23830	P23830		pssA	0	0.10387945034685474	0.10341605663997308	False	0.009473365617433414	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A9P6	67062841.04919543	64197318.57032783	64470293.23368215	69027344.76877667	66337305.32902178	67960231.52589236	P0A9P6	P0A9P6		deaD	0	0.10462696444694122	-0.05491853785657096	False	0.009503631961259081	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P37657	2903476.508075621	2575245.761200624	2618856.248152172	2443608.929070275	2269656.9429871025	2548960.1692144275	P37657	P37657		bcsE	0	0.10478824831275736	0.15707871643724977	False	0.009533898305084746	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P25539	12878363.262432	13507465.871046372	13423872.81991016	12312130.250430103	12577704.014326902	13063436.538826397	P25539	P25539		ribD	0	0.10512321497081516	0.06889584822078576	False	0.009564164648910412	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ABH9	61621169.11822173	59343848.94190636	60710910.25700683	58619789.62899935	58556920.41867885	59166622.94500048	P0ABH9	P0ABH9		clpA	0	0.10532474300693442	0.04298024527531123	False	0.009594430992736078	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P39274	3556150.392366363	3657469.3098318633	3654680.3965793713	3825566.75	3931605.680101644	4307199.092653232	P39274	P39274		yjdJ	0	0.10556400399123161	-0.15062645489621201	False	0.009624697336561744	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P52119	10913010.907008726	10595825.71130802	11126204.689761844	10731568.945913251	10170190.51880487	10009249.174977934	P52119	P52119		ratB	0	0.10617105413294343	0.07830113467378139	False	0.00965496368038741	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P75949	5638510.893585315	5535712.30878945	6092370.402956445	6283248.299735596	6285581.208193284	6013269.108913376	P75949	P75949		nagZ	0	0.10716324232242246	-0.10592995274900777	False	0.009685230024213076	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P66817	5275909.404392117	5116036.859108148	4862294.1430816045	4684694.931275062	4790068.151981931	4844017.127442224	P66817	P66817		diaA	0	0.10828106786229413	0.09130174447454403	False	0.00971549636803874	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P15288	150802889.44777867	150712217.08624318	150106429.10575524	149287560.04152265	145231153.89275238	144049109.86766052	P15288	P15288		pepD	0	0.10853218895365889	0.042314312508317214	False	0.009745762711864408	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P07012	48040938.92448572	48611952.351598434	49417636.59387103	45682452.08936484	47388151.94392106	47913092.59077092	P07012	P07012		prfB	0	0.11191654260274894	0.051136781266865786	False	0.009776029055690074	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A879	505412.9416964898	512159.86757005873	439991.4764745223	580820.536398347	608896.4351996849	506288.7724434624	P0A879	P0A879		trpB	0	0.11197418586702716	-0.218581541273431	False	0.009806295399515738	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
