Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A912	P0A912		pal		57505500.0	60318600.0	62404800.0	58751900.0	61486000.0	60152100.0	0	0.05900403651759487	-0.06241842745988594	False	0.009588199139520592	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P61714	P61714		ribE		43925600.0	47531300.0	47102600.0	44981500.0	45484500.0	45000800.0	0	0.05905343096443026	-0.06540534325430719	False	0.009618930547019055	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A870	P0A870		talB		44484000.0	44585500.0	44783100.0	44360400.0	44588400.0	44463700.0	0	0.059505389524453146	-0.00700552860473851	False	0.009649661954517517	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AG59	P0AG59		rpsN		25283700.0	25719300.0	25598100.0	24674500.0	25388100.0	24997000.0	0	0.059611977753640785	-0.03330145844117774	False	0.00968039336201598	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A8J4	P0A8J4		ybeD		13794500.0	14356100.0	14578600.0	13706400.0	15048400.0	14309000.0	0	0.0597361326267096	-0.07310469847560958	False	0.009711124769514445	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P37651	P37651		bcsZ		2064150.0	2193510.0	2155720.0	2141980.0	2177650.0	2091390.0	0	0.059795263865846444	-0.051609716110873505	False	0.009741856177012908	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AAJ8	P0AAJ8		hybA		1890980.0	1939820.0	1922330.0	1921450.0	1957380.0	1901470.0	0	0.060446337066660485	-0.02642685450075016	False	0.00977258758451137	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A8I5	P0A8I5		trmB		6478640.0	6620610.0	6702160.0	6597130.0	6834300.0	6467090.0	0	0.060655666378642566	-0.04464433222124125	False	0.009803318992009835	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P13016	P13016		ampD		1714780.0	1897910.0	1870910.0	1795010.0	1881750.0	1813420.0	0	0.06103020443099303	-0.0860999248785132	False	0.009834050399508297	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AGG4	P0AGG4		trxC		3406150.0	3544750.0	3799490.0	3261360.0	3882510.0	3537560.0	0	0.061156773886969634	-0.13765426815023715	False	0.009864781807006761	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6Y1	P0A6Y1		ihfB		8356340.0	9481440.0	9217090.0	8580580.0	8743050.0	7620650.0	0	0.061280565736807235	-0.16019573832702114	False	0.009895513214505226	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AF63	P0AF63		nsrR		1320770.0	1463250.0	1340650.0	1307520.0	1459420.0	1242500.0	0	0.062014499433277255	-0.13934930647828292	False	0.009926244622003689	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AGB6	P0AGB6		rpoE		3922540.0	3808280.0	3786550.0	3897430.0	3675870.0	3865710.0	0	0.06213881642118164	0.05216456714211157	False	0.00995697602950215	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P33235	P33235		flgK		3145180.0	2695070.0	2635800.0	3036880.0	2706980.0	2834220.0	0	0.06277565836158927	0.16572266451223094	False	0.009987707437000615	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P76537	P76537		yfeY		3207550.0	3656270.0	3409910.0	3406880.0	3641210.0	3312660.0	0	0.06316517585705511	-0.1091640789346644	False	0.01001843884449908	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A8T1	P0A8T1		prmA		5769720.0	6354000.0	6074460.0	5604160.0	6289600.0	6058520.0	0	0.06322148510609166	-0.10265971140272431	False	0.010049170251997542	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AE45	P0AE45		ytfL		544679.0	519964.0	484819.0	553816.0	466229.0	524550.0	0	0.06415143850730219	0.14189398447714552	False	0.010079901659496007	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A8W5	P0A8W5		yqgE		2839290.0	3109310.0	3033140.0	2625570.0	2851720.0	2766990.0	0	0.0642694746116083	-0.12777345901750792	False	0.010110633066994468	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P31120	P31120		glmM		10574400.0	10978300.0	11077100.0	10458600.0	10674800.0	10460500.0	0	0.06517881730364249	-0.055568319174128335	False	0.010141364474492931	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P33599	P33599		nuoC		14944500.0	15142500.0	15102500.0	15063500.0	15081900.0	14981000.0	0	0.06584641318770215	-0.010795196169306985	False	0.010172095881991396	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AE22	P0AE22		aphA		2073410.0	2124580.0	2164790.0	2076200.0	2187620.0	2130370.0	0	0.0658969278461457	-0.04456355212801714	False	0.01020282728948986	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P07012	P07012		prfB		8761100.0	8958730.0	9274200.0	8984850.0	9181880.0	8664000.0	0	0.06599532232729205	-0.05387390482401112	False	0.010233558696988323	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P17109	P17109		menD		1887250.0	1829560.0	1786960.0	1850420.0	1845780.0	1910080.0	0	0.06652272881281274	0.04816767666732517	False	0.010264290104486784	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A884	P0A884		thyA		8644120.0	9182510.0	9015720.0	8798620.0	8972260.0	8928910.0	0	0.06680679775146572	-0.043052744349731845	False	0.010295021511985249	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABD5	P0ABD5		accA		13568000.0	13745400.0	14121500.0	13598600.0	13851000.0	13453000.0	0	0.06681200781289932	-0.03849050433379618	False	0.010325752919483712	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P23865	P23865		prc		6747870.0	6597730.0	6584430.0	6776920.0	6633510.0	6950270.0	0	0.06684608119128868	0.047225931543804923	False	0.010356484326982177	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P37440	P37440		ucpA		7517450.0	7355430.0	7356810.0	7436960.0	7449930.0	7520840.0	0	0.06715709798791139	0.02023801421577009	False	0.010387215734480641	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A707	P0A707		infC		47873800.0	49567600.0	49689300.0	48372200.0	49176000.0	46503600.0	0	0.06785123277943714	-0.056324196273779166	False	0.010417947141979102	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A879	P0A879		trpB		598956.0	520270.0	524171.0	558797.0	518927.0	555507.0	0	0.0682741834319623	0.13208669458665923	False	0.010448678549477565	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFG6	P0AFG6		sucB		8087410.0	8318900.0	8115180.0	8058230.0	8360500.0	7940060.0	0	0.06874597012773054	-0.0418479340603717	False	0.01047940995697603	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFP6	P0AFP6		ybgI		9386940.0	9426370.0	9608950.0	9259100.0	9599390.0	9416040.0	0	0.06959550611884724	-0.0291430450799597	False	0.010510141364474495	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFD1	P0AFD1		nuoE		6178260.0	6352200.0	6301530.0	6245150.0	6289600.0	6089270.0	0	0.06960398579283963	-0.03317619780585977	False	0.010540872771972958	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ADP7	P0ADP7		yigP		2312870.0	1637000.0	1438900.0	2460480.0	1640830.0	1821320.0	0	0.0706196866953139	0.48351344925946016	False	0.010571604179471419	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
Q46920	Q46920		queF		4331500.0	4480630.0	4383500.0	4329930.0	4384040.0	4216000.0	0	0.07077104931827735	-0.04094839289127644	False	0.010602335586969883	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AGE9	P0AGE9		sucD		15085400.0	15025500.0	14676800.0	15273200.0	14793900.0	15081700.0	0	0.0713136557126132	0.030290225258164605	False	0.010633066994468346	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P05459	P05459		pdxB		5918870.0	6152090.0	6077450.0	5896410.0	5989890.0	5954480.0	0	0.07174891791632827	-0.03605362839790705	False	0.010663798401966811	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P60546	P60546		gmk		5975120.0	5754510.0	5775530.0	6162880.0	5770300.0	5923740.0	0	0.07205348821852388	0.062136492192412206	False	0.010694529809465276	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P23721	P23721		serC		10603700.0	10881500.0	10805100.0	10406900.0	10976400.0	10746500.0	0	0.07263155444103762	-0.040578130023683795	False	0.010725261216963737	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFJ7	P0AFJ7		pitA		1659280.0	1776620.0	1836740.0	1745830.0	1871500.0	1765960.0	0	0.07299901089487855	-0.08499196208393894	False	0.0107559926244622	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P17993	P17993		ubiG		3008880.0	3185660.0	3214880.0	2869770.0	3247960.0	3103970.0	0	0.0738497161209689	-0.10316836832609479	False	0.010786724031960664	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P63284	P63284		clpB		17321500.0	17655300.0	17747700.0	17478800.0	17455200.0	17186600.0	0	0.07396833645672433	-0.023979167891842082	False	0.010817455439459129	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P69853	P69853		dmsD		1385500.0	1202010.0	1230040.0	1315750.0	1311060.0	1482330.0	0	0.07411875163740253	0.1605005772989848	False	0.010848186846957592	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABH9	P0ABH9		clpA		9689420.0	9777140.0	9809990.0	9622230.0	9982560.0	9645740.0	0	0.07418845037971425	-0.03018754407628691	False	0.010878918254456053	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A725	P0A725		lpxC		383364.0	385580.0	346834.0	424434.0	353010.0	447460.0	0	0.07457852549056376	0.2097252057791638	False	0.010909649661954518	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABU0	P0ABU0		menB		10309000.0	10696500.0	11144600.0	10531500.0	11232000.0	10717600.0	0	0.07492123523905693	-0.06764792974520364	False	0.01094038106945298	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P04036	P04036		dapB		5056270.0	5240030.0	5396510.0	4824730.0	5172240.0	5114590.0	0	0.07543406998749282	-0.07618774987311505	False	0.010971112476951445	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P37908	P37908		yfjD		2385350.0	2593220.0	2504420.0	2335420.0	2789400.0	2333240.0	0	0.07553998750159222	-0.16104033850567026	False	0.01100184388444991	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P75960	P75960		cobB		3607570.0	3577820.0	3616020.0	3660820.0	3552710.0	3673540.0	0	0.07632188506954178	0.025993650304817057	False	0.011032575291948371	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P06961	P06961		cca		1092630.0	1045430.0	1018320.0	1109100.0	1089920.0	1137820.0	0	0.07759291114354676	0.08262201009327907	False	0.011063306699446834	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P31069	P31069		kch		857398.0	1022430.0	1120880.0	1011310.0	1146310.0	984433.0	0	0.07771756348802412	-0.20536989532317165	False	0.011094038106945299	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P52006	P52006		nudI		1041060.0	1046940.0	1060180.0	1039700.0	1061630.0	1041210.0	0	0.07779707953690844	-0.021457168047810313	False	0.011124769514443763	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AAI3	P0AAI3		ftsH		18230800.0	18614700.0	18853400.0	18594100.0	18802300.0	18484700.0	0	0.07798889984071124	-0.024846310381692188	False	0.011155500921942226	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ADS2	P0ADS2		zapA		14665900.0	15126900.0	15454800.0	15098000.0	15377200.0	14410500.0	0	0.07867165061582503	-0.05713372885114003	False	0.011186232329440687	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P03018	P03018		uvrD		3581520.0	3587750.0	3396490.0	3698200.0	3515180.0	3735930.0	0	0.07883878569401316	0.06924499263235036	False	0.011216963736939152	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P76346	P76346		mtfA		982592.0	1067020.0	1042430.0	872148.0	1080950.0	986313.0	0	0.07917918945171809	-0.16731156951490278	False	0.011247695144437615	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P69910	P69910		gadB		39953400.0	41265700.0	41492200.0	40299400.0	42611900.0	41192500.0	0	0.07930189282667094	-0.045883205031212154	False	0.01127842655193608	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P75874	P75874		yccU		3001240.0	3042000.0	3069390.0	2910990.0	2985870.0	2914060.0	0	0.08085673541975157	-0.04362493616978395	False	0.011309157959434544	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
