Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P52613	P52613		fliJ		740346.0	642166.0	833102.0	786566.0	729343.0	767781.0	0	0.3004722465207801	0.11752105010128328	False	0.01812121212121212	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P37440	P37440		ucpA		8596720.0	8571280.0	8461210.0	8584810.0	8544090.0	8372040.0	0	0.3006322451210255	-0.015248703795969836	False	0.018151515151515155	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
Q46925	Q46925		csdA		847815.0	931179.0	908893.0	941200.0	901287.0	921253.0	0	0.3013608671626173	-0.05065912092424578	False	0.01818181818181818	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P39160	P39160		uxuB		1369800.0	1506290.0	1438470.0	1479960.0	1365070.0	1358710.0	0	0.30206010523313886	-0.06245094223365666	False	0.018212121212121214	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P09424	P09424		mtlD		2361630.0	2371640.0	2329400.0	2393020.0	2392850.0	2029260.0	0	0.3021343983026705	-0.09093429004253796	False	0.018242424242424244	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P23865	P23865		prc		7493960.0	7554120.0	7528150.0	7385080.0	7433230.0	7939270.0	0	0.3026164005975555	0.03748738749109031	False	0.018272727272727274	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ACJ8	P0ACJ8		crp		26616900.0	26109800.0	26571800.0	27440800.0	27327500.0	23683400.0	0	0.3042038534465127	-0.07328902494398033	False	0.018303030303030304	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0C0L2	P0C0L2		osmC		6328010.0	6525380.0	6318300.0	6144270.0	6638780.0	6003220.0	0	0.30433860601261853	-0.05009158860568662	False	0.018333333333333333	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A8L1	P0A8L1		serS		36314900.0	36050900.0	36192300.0	36771100.0	36550300.0	34608000.0	0	0.30437783378845285	-0.030084184750465433	False	0.018363636363636363	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P05459	P05459		pdxB		6862390.0	6846470.0	6788080.0	6931960.0	6793660.0	6618820.0	0	0.30534224202185567	-0.021392815956991357	False	0.018393939393939397	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AFB1	P0AFB1		nlpI		1593560.0	1736000.0	1681320.0	1747220.0	1626410.0	1666480.0	0	0.3066290765958261	-0.048310659747001744	False	0.018424242424242426	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A8N7	P0A8N7		epmA		3473260.0	3552710.0	3458110.0	3443830.0	3475270.0	3266240.0	0	0.3079421221605702	-0.038279757109444826	False	0.018454545454545456	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A9Y6	P0A9Y6		cspC		195562000.0	180820000.0	194067000.0	177148000.0	188747000.0	179308000.0	0	0.30847721794114674	0.05747994895664697	False	0.018484848484848486	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P07014	P07014		sdhB		1817780.0	1712090.0	1832780.0	1669410.0	1774460.0	1694880.0	0	0.30858101159063883	0.05206763430815808	False	0.018515151515151516	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P07118	P07118		valS		26223200.0	26522400.0	26011900.0	26321900.0	26309700.0	23868400.0	0	0.30866647164473743	-0.05669945313461371	False	0.018545454545454546	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P08331	P08331		cpdB		3319650.0	3318970.0	3355350.0	3302640.0	3344400.0	3348130.0	0	0.308896419830688	0.00824517363297045	False	0.018575757575757575	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AC51	P0AC51		zur		1891680.0	1863460.0	1771760.0	1925710.0	1854870.0	1455100.0	0	0.3098377046106092	-0.14099585447650495	False	0.01860606060606061	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AC92	P0AC92		gnsA		6167410.0	6059810.0	5769520.0	6239650.0	6204990.0	4382090.0	0	0.31009848930662726	-0.18131783337085153	False	0.018636363636363635	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ADA3	P0ADA3		nlpD		6089630.0	5915940.0	6003470.0	5504670.0	5600300.0	5606330.0	0	0.31011174321523977	0.05639472905869891	False	0.018666666666666668	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P15640	P15640		purD		2879810.0	2916670.0	2987730.0	2945270.0	3044550.0	2719910.0	0	0.3101848152687402	-0.05262719142792761	False	0.018696969696969698	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
