Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A794	P0A794		pdxJ		7477610.0	7262410.0	7610010.0	7380630.0	7605610.0	7429140.0	0	0.1125897798052329	0.033783470305431336	False	0.017763558805606337	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AEZ9	P0AEZ9		moaB		10472100.0	10509200.0	10132700.0	10548800.0	10259700.0	10439500.0	0	0.11287373666934832	-0.03230594811511332	False	0.017794028031687996	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P00550	P00550		mtlA		2267340.0	2371560.0	2198550.0	2437230.0	2254340.0	2245280.0	0	0.11343722126025008	-0.0791935607173711	False	0.01782449725776965	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A7E1	P0A7E1		pyrD		8490190.0	8332700.0	8020710.0	8035820.0	7870000.0	7945440.0	0	0.11351480993512847	-0.060600200736396576	False	0.01785496648385131	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P25526	P25526		gabD		513767.0	477770.0	427414.0	471133.0	469108.0	456416.0	0	0.11376379243934226	-0.11250858522970383	False	0.017885435709932968	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6Q6	P0A6Q6		fabZ		16005500.0	16240300.0	15982500.0	16039600.0	15549100.0	15815100.0	0	0.1154050745338515	-0.028323153650223785	False	0.017915904936014627	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFL3	P0AFL3		ppiA		6639440.0	6595050.0	6774060.0	6585960.0	7261570.0	6929350.0	0	0.11567774777207047	0.08099173630463646	False	0.017946374162096285	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A8B2	P0A8B2		yfcN		1524410.0	1611540.0	1612810.0	1574200.0	1617940.0	1675960.0	0	0.11615914579813155	0.05898300188909301	False	0.01797684338817794	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P23894	P23894		htpX		4415710.0	4347210.0	4464360.0	4429680.0	4430170.0	4526370.0	0	0.11628755822170146	0.02475250210359412	False	0.0180073126142596	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AF08	P0AF08		mrp		4173680.0	4016550.0	3802490.0	3935600.0	3981000.0	3755270.0	0	0.11663495699482315	-0.07159530690439264	False	0.018037781840341258	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P15082	P15082		srlR		929499.0	1026550.0	948407.0	1043550.0	884299.0	904712.0	0	0.11682713003819223	-0.13195389850290037	False	0.018068251066422913	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P17854	P17854		cysH		6993010.0	6890500.0	6546650.0	6673410.0	6750790.0	6546280.0	0	0.11719071654284126	-0.05094161907751492	False	0.01809872029250457	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9N4	P0A9N4		pflA		5316200.0	5131300.0	5052600.0	5325300.0	5098140.0	5155650.0	0	0.11729554849038511	-0.043304726764836855	False	0.018129189518586226	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P60651	P60651		speB		13656600.0	13929200.0	13583000.0	14169700.0	13702800.0	13369000.0	0	0.1183903921533943	-0.038540543326077085	False	0.018159658744667885	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABZ6	P0ABZ6		surA		11957700.0	12178900.0	11275400.0	12283900.0	11588200.0	12005600.0	0	0.1190496201235524	-0.06279746362596667	False	0.018190127970749544	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P22333	P22333		add		16215200.0	16175300.0	15940700.0	16527100.0	15986900.0	16170500.0	0	0.11919411326072377	-0.024373719042673124	False	0.018220597196831202	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P17445	P17445		betB		698906.0	843281.0	876173.0	767713.0	886796.0	873586.0	0	0.11932678736771822	0.19082369649188627	False	0.01825106642291286	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P37440	P37440		ucpA		6844220.0	6821470.0	6542730.0	6649350.0	6654310.0	6664790.0	0	0.11939178072699032	-0.03254965131780043	False	0.018281535648994516	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6N8	P0A6N8		yeiP		14379200.0	13799900.0	15203200.0	14681600.0	15651600.0	14519900.0	0	0.11974388178875886	0.08223269232702662	False	0.018312004875076174	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P45523	P45523		fkpA		31718700.0	31473800.0	31686800.0	31579500.0	31921000.0	32160600.0	0	0.11997085641268013	0.01508881520396745	False	0.018342474101157833	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P39199	P39199		prmB		8223970.0	8078330.0	7624300.0	7827940.0	7469620.0	7947840.0	0	0.12005726612252296	-0.06659134626537618	False	0.018372943327239488	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ACD4	P0ACD4		nifU		10265400.0	10122200.0	10029300.0	10127000.0	10059600.0	9779050.0	0	0.12034331611984572	-0.030901457964823527	False	0.018403412553321147	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P77398	P77398		arnA		535768.0	645949.0	372078.0	519781.0	505641.0	485164.0	0	0.12094147938725514	-0.32014373970935833	False	0.018433881779402802	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9E5	P0A9E5		fnr		7228970.0	7104180.0	7323860.0	7263620.0	7461380.0	7262870.0	0	0.12176279900496165	0.029839430992777416	False	0.01846435100548446	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
