Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69222	P69222		infA		16002200.0	15868900.0	15200100.0	14917600.0	15010700.0	15943500.0	0	0.002923830881253928	0.08341557714929201	False	0.0009892086330935252	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P76594	P76594		yfiQ		1823940.0	1929790.0	2099610.0	2190930.0	2171120.0	1898530.0	0	0.003149875686736851	-0.19307701062983523	False	0.0010191846522781777	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0ADZ0	P0ADZ0		rplW		8020200.0	7926030.0	8606570.0	8507930.0	8726120.0	8157080.0	0	0.0033066404763894444	-0.10040940643271286	False	0.0010491606714628297	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P46887	P46887		yecH		321448.0	293308.0	211611.0	245778.0	224479.0	321086.0	0	0.003481396804460764	0.45677249647132834	False	0.001079136690647482	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P18843	P18843		nadE		10705700.0	10733000.0	10869000.0	10851900.0	10814300.0	10697700.0	0	0.0039116780963052555	-0.017793098523190956	False	0.0011091127098321342	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0C018	P0C018		rplR		34571100.0	35474900.0	37968200.0	37061700.0	37933800.0	35445700.0	0	0.004031427373451439	-0.09872975502153278	False	0.0011390887290167867	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AD59	P0AD59		ivy		2736400.0	2719710.0	2582160.0	2530350.0	2547040.0	2726190.0	0	0.004244596479117066	0.0952467978633592	False	0.001169064748201439	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P60624	P60624		rplX		123461000.0	123739000.0	119338000.0	120563000.0	119051000.0	122452000.0	0	0.004560512035729859	0.04237678305866263	False	0.001199040767386091	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				764938.0	655342.0	1417720.0	1162730.0	1383540.0	602842.0	0	0.004609950567043099	-0.9703700019007347	False	0.0012290167865707435	False	True	Human	True	False	False	False	umpire	manual	min	0.6609640474436812
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				482699.0	459014.0	945207.0	860464.0	982598.0	479947.0	0	0.004738343132482242	-0.9717932772985161	False	0.0012589928057553958	False	True	Human	True	False	False	False	umpire	manual	min	0.6609640474436812
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				4709680.0	4277910.0	5727140.0	5586710.0	5807800.0	4274350.0	0	0.005197793695587189	-0.36852990678812986	False	0.0012889688249400478	False	False	Human	True	False	False	False	umpire	manual	min	0.6609640474436812
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				1124420.0	1161720.0	2682150.0	2834740.0	2437620.0	1123970.0	0	0.005345111211086608	-1.2219547858342565	False	0.0013189448441247003	False	True	Human	True	False	False	False	umpire	manual	min	0.6609640474436812
P0AF36	P0AF36		zapB		7225200.0	7204070.0	6784370.0	6814870.0	6933880.0	7101420.0	0	0.005500299724510262	0.06844169361274893	False	0.0013489208633093526	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P22525	P22525		ycbB		1774890.0	1763240.0	1910620.0	1903600.0	1868800.0	1711390.0	0	0.005507355202356405	-0.11447227940886759	False	0.0013788968824940049	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
