Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A8W8	0.7601649517735338	0.008645930336392382	0.11909215788767098	non_sig	yfbU		False	False	0.04118350268977884	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P64451	0.7604565646515759	-0.011020843146553716	0.11892558670086331	non_sig	ydcL		False	False	0.041213389121338914	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AB91	0.7623389814089336	0.01081368947898298	0.11785187246667891	non_sig	aroG		False	False	0.041243275552898986	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P26616	0.7630488269735951	0.0023002371923475096	0.11744767094848775	non_sig	maeA		False	False	0.04127316198445905	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0ABB0	0.7631930588052676	-0.0009416541499192022	0.11736558816805788	non_sig	atpA		False	False	0.04130304841601913	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0C0T5	0.763635921517986	-0.015521488065278533	0.11711365053752205	non_sig	mepA		False	False	0.0413329348475792	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P37177	0.764460162340109	-0.024992270124620575	0.11664514167959836	non_sig	ptsP		False	False	0.041362821279139275	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AAF6	0.7651819215825277	0.027295478982466648	0.11623529929515769	non_sig	artP		False	False	0.04139270771069934	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P00956	0.7655282096128515	0.0022151235887335474	0.11603880097686811	non_sig	ileS		False	False	0.04142259414225941	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P46130	0.7668608471659222	-0.008304484940843793	0.11528343499586288	non_sig	ybhC		False	False	0.04145248057381949	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A8A2	0.7689924834843328	0.012006163186651264	0.11407790518846647	non_sig	yeeN		False	False	0.041482367005379564	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P64483	0.7722096795472233	-0.01693198920061434	0.11226475885338458	non_sig	yeaK		False	False	0.04151225343693963	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0ACC7	0.7724574816274601	0.005247970712783712	0.11212541611382332	non_sig	glmU		False	False	0.0415421398684997	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A898	0.7726853525808941	-0.009953777895187699	0.11199732038546874	non_sig	ybeY		False	False	0.041572026300059774	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P29131	0.7731553834280979	-0.02897689920703428	0.11173321580496348	non_sig	ftsN		False	False	0.04160191273161985	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P00582	0.7738009987469137	-0.004249123318327719	0.11137071406942171	non_sig	polA		False	False	0.04163179916317992	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P77211	0.7750106590277535	-0.014273250485384636	0.11069232442904156	non_sig	cusC		False	False	0.04166168559473999	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P18775	0.7762266143716547	-0.0065160511342341465	0.1100114707475179	non_sig	dmsA		False	False	0.04169157202630006	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AEN4	0.7763152400032807	0.010038835878809493	0.10996188802908276	non_sig	ftsL		False	False	0.04172145845786013	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P37652	0.7774299954730115	-0.00565015298253968	0.10933870705810868	non_sig	bcsB		False	False	0.04175134488942021	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P77252	0.7793508057131145	0.012991920961432868	0.10826701127314303	non_sig	ykgE		False	False	0.04178123132098028	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P29680	0.7795772612818476	0.004750081460311861	0.10814083687591333	non_sig	hemE		False	False	0.04181111775254035	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0ABX2	0.7805711576735032	0.02294213122909028	0.1075875000630468	non_sig	flgC		False	False	0.04184100418410042	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AFI0	0.7809306163044802	0.026283622668746176	0.10738755036684414	non_sig	oxc		False	False	0.04187089061566049	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P27833	0.7816542948513736	-0.00998901211000458	0.10698528151116246	non_sig	rffA		False	False	0.04190077704722057	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P23837	0.7816635009864255	-0.03849968599199016	0.10698016652601566	non_sig	phoQ		False	False	0.04193066347878064	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AFC0	0.7819928450368134	0.02696158030902751	0.10679722056578594	non_sig	nudB		False	False	0.041960549910340705	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A9J0	0.7820979210920761	0.004149949244283135	0.1067388685160998	non_sig	rng		False	False	0.04199043634190078	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A7A2	0.7834026878655018	0.023002203739274307	0.10601494271519789	non_sig	gpmB		False	False	0.04202032277346085	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AD68	0.7840167848183414	-0.0367109275492048	0.10567463951459889	non_sig	ftsI		False	False	0.04205020920502093	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0ABN1	0.7848120749591141	0.0394899062993872	0.10523432361005232	non_sig	dgkA		False	False	0.042080095636580994	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
Q46871	0.7849712985332677	-0.006888182461654679	0.1051462223840505	non_sig	yqjH		False	False	0.042109982068141066	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P33030	0.7857088986648524	0.027692492451528494	0.10473832815947497	non_sig	yeiR		False	False	0.04213986849970114	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P04693	0.7862004722520958	-0.0037083258278336473	0.10446669964539074	non_sig	tyrB		False	False	0.042169754931261204	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P32162	0.7890247689734117	-0.012146760784769839	0.10290936325492489	non_sig	yiiS		False	False	0.04219964136282128	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P67826	0.7907849741169274	-0.020768710117113898	0.1019415914070521	non_sig	cutC		False	False	0.042229527794381355	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AA53	0.7912836932092762	-0.018084847782940727	0.10166778412994164	non_sig	qmcA		False	False	0.04225941422594143	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P76245	0.7913962982503678	-0.028923723895896813	0.1016059854740832	non_sig	yeaP		False	False	0.04228930065750149	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P24251	0.7914455346939018	-0.012516586487290482	0.10157896683545845	non_sig	crl		False	False	0.042319187089061565	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A8I5	0.7915230460285614	0.004990970347343193	0.10153643567550433	non_sig	trmB		False	False	0.042349073520621644	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AD49	0.7922005682001786	0.0053375032908178355	0.10116485043701032	non_sig	raiA		False	False	0.042378959952181716	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AG16	0.79295026777059	-0.017487142962409052	0.10075404989563234	non_sig	purF		False	False	0.04240884638374178	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P26646	0.7934746377927387	0.008453228550390435	0.10046695024838201	non_sig	acuI		False	False	0.042438732815301854	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AB14	0.7952430031808714	0.012609607279401303	0.09950014327474059	non_sig	yccJ		False	False	0.042468619246861926	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P76502	0.7960145347411434	-0.019319303352865802	0.09907900223689856	non_sig	sixA		False	False	0.042498505678422	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P31663	0.7978508870153977	-0.009753462213367925	0.0980782677940356	non_sig	panC		False	False	0.04252839210998207	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A6H1	0.7981222109859774	0.004567228427852399	0.09793060301884161	non_sig	clpX		False	False	0.04255827854154214	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AEG6	0.7997803355883633	0.014921121076859833	0.09702927818505813	non_sig	dsbC		False	False	0.042588164973102215	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P42596	0.8004684910354825	0.0066610955214869705	0.09665575860882007	non_sig	rlmG		False	False	0.04261805140466228	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
Q46857	0.8009162551922514	-0.0070271459078732335	0.09641289191734607	non_sig	dkgA		False	False	0.04264793783622236	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0ADT5	0.801243164410445	-0.008150385778492364	0.09623566252334448	non_sig	ygiC		False	False	0.04267782426778243	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P77499	0.8027805011343445	0.013410422769108976	0.0954031847054789	non_sig	sufC		False	False	0.0427077106993425	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0ABU5	0.8040584441902884	-0.005705660827089787	0.09471238276043521	non_sig	elbB		False	False	0.04273759713090257	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AAC8	0.8053924813998914	-0.009676818618604699	0.09399242898955075	non_sig	iscA		False	False	0.04276748356246264	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AEV4	0.8059000574124662	0.026507345657741155	0.09371881328862822	non_sig	hycA		False	False	0.04279736999402272	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P29744	0.8072877912755452	0.01979353713780796	0.09297161536218494	non_sig	flgL		False	False	0.04282725642558279	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P06996	0.807649167732767	0.005908638880125494	0.09277725012333732	non_sig	ompC		False	False	0.04285714285714286	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
