Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0ADS6	P0ADS6		yggE		5.43695e+06	5.31873e+06	5.36689e+06	5.49518e+06	5.6096e+06	5.47988e+06
P0ADS9	P0ADS9		yggN		2.62348e+06	2.54216e+06	2.63328e+06	2.73109e+06	2.7827e+06	2.73207e+06
P0ADT2	P0ADT2		ygiB		711249	682201	649712	722433	722150	639156
P0ADT5	P0ADT5		ygiC		3.15585e+06	3.08388e+06	3.08454e+06	3.01477e+06	3.3009e+06	2.98593e+06
P0ADT8	P0ADT8		ygiM		3.85158e+06	3.7814e+06	3.86272e+06	3.87831e+06	4.09568e+06	3.94777e+06
P0ADU2	P0ADU2		ygiN		9.64437e+06	9.43522e+06	9.50697e+06	9.00942e+06	9.2863e+06	8.87053e+06
P0ADU5	P0ADU5		ygiW		7.16959e+06	6.61835e+06	6.91888e+06	6.97722e+06	7.00363e+06	6.96126e+06
P0ADV1	P0ADV1		lptA		3.14558e+06	3.24018e+06	3.17136e+06	2.99459e+06	3.00254e+06	3.40815e+06
P0ADV5	P0ADV5		yhbW		1.0803e+06	1.16464e+06	1.08067e+06	1.12457e+06	1.21272e+06	925533
P0ADV7	P0ADV7		mlaC		1.03423e+07	1.03878e+07	1.03784e+07	1.06717e+07	1.06037e+07	1.06031e+07
P0ADW3	P0ADW3		yhcB		3.21741e+07	3.19369e+07	3.26699e+07	3.06684e+07	3.09243e+07	3.10052e+07
P0ADX1	P0ADX1		yhfA		9.16645e+06	9.6314e+06	9.64853e+06	9.5684e+06	1.01986e+07	9.91888e+06
P0ADY1	P0ADY1		ppiD		2.11517e+07	2.09412e+07	2.12753e+07	2.14664e+07	2.12347e+07	2.15381e+07
P0ADY3	P0ADY3		rplN		4.94944e+07	4.80614e+07	4.98699e+07	4.88628e+07	4.89277e+07	5.03521e+07
P0ADY7	P0ADY7		rplP		4.42383e+07	4.66118e+07	4.57448e+07	4.7721e+07	4.79839e+07	4.72638e+07
P0ADZ0	P0ADZ0		rplW		8.86226e+06	8.12266e+06	8.62268e+06	8.78459e+06	9.05207e+06	8.96401e+06
P0ADZ4	P0ADZ4		rpsO		1.45255e+08	1.48062e+08	1.48583e+08	1.47795e+08	1.43745e+08	1.48708e+08
P0ADZ7	P0ADZ7		yajC		1.96439e+07	1.99726e+07	1.94856e+07	2.15913e+07	2.03224e+07	2.10772e+07
P0AE01	P0AE01		trmJ		4.1779e+06	4.24851e+06	4.21504e+06	4.37127e+06	4.10952e+06	4.19678e+06
P0AE06	P0AE06		acrA		1.85625e+07	1.88043e+07	1.88149e+07	1.89087e+07	1.91246e+07	1.86182e+07
P0AE08	P0AE08		ahpC		3.03098e+07	3.05349e+07	3.06675e+07	3.00531e+07	3.03918e+07	3.03918e+07
P0AE12	P0AE12		amn		1.11035e+06	1.19392e+06	1.02344e+06	1.00475e+06	1.16607e+06	977446
P0AE18	P0AE18		map		1.75097e+07	1.64297e+07	1.71867e+07	1.66446e+07	1.73693e+07	1.71798e+07
P0AE22	P0AE22		aphA		1.76651e+06	1.71609e+06	1.72938e+06	1.77177e+06	1.57436e+06	1.80055e+06
P0AE39	P0AE39		ypdB		1.30555e+06	1.46051e+06	1.22996e+06	1.31837e+06	1.3862e+06	1.29882e+06
P0AE45	P0AE45		ytfL		453784	411193	464897	453442	536559	378581
P0AE48	P0AE48		ytfP		5.73809e+06	5.29844e+06	5.50795e+06	5.3591e+06	5.457e+06	5.57984e+06
P0AE52	P0AE52		bcp		2.04692e+07	2.03981e+07	2.0599e+07	1.95061e+07	1.91049e+07	1.96932e+07
P0AE60	P0AE60		cedA		1.54222e+06	1.73852e+06	1.3559e+06	1.74442e+06	1.36627e+06	1.59342e+06
P0AE67	P0AE67		cheY		1.65651e+06	1.72258e+06	1.67949e+06	1.26186e+06	1.37562e+06	1.456e+06
P0AE70	P0AE70		mazF		2.59092e+06	2.77798e+06	2.47335e+06	3.35005e+06	3.61559e+06	3.30128e+06
P0AE78	P0AE78		corC		886457	1.02138e+06	964274	961331	1.05673e+06	973303
P0AE82	P0AE82		cpxA		3.52997e+06	3.2098e+06	3.47489e+06	3.47748e+06	3.49912e+06	3.25309e+06
P0AE85	P0AE85		cpxP		859110	802658	664363	728120	760862	711830
P0AE88	P0AE88		cpxR		4.96496e+06	4.98306e+06	4.87953e+06	4.69634e+06	4.77769e+06	4.7367e+06
P0AE91	P0AE91		creA		3.47833e+06	3.31332e+06	3.42639e+06	3.54607e+06	3.6798e+06	3.54793e+06
P0AEB2	P0AEB2		dacA		8.39018e+06	8.16404e+06	8.21327e+06	8.15065e+06	8.38647e+06	8.05716e+06
P0AEB7	P0AEB7		yoaB		8.64413e+06	8.8737e+06	8.45151e+06	8.27049e+06	7.58733e+06	7.35962e+06
P0AED0	P0AED0		uspA		8.20843e+06	7.66878e+06	8.24083e+06	8.1141e+06	8.18989e+06	8.51053e+06
P0AED5	P0AED5		uvrY		3.90502e+06	3.82545e+06	3.84129e+06	3.74562e+06	3.86421e+06	3.90584e+06
P0AED7	P0AED7		dapE		5.88174e+06	5.79272e+06	5.87175e+06	5.76599e+06	5.8227e+06	5.78198e+06
P0AEE1	P0AEE1		dcrB		7.92448e+06	7.96921e+06	7.94165e+06	7.5954e+06	7.80994e+06	7.07836e+06
P0AEE5	P0AEE5		mglB		2.06775e+06	1.94446e+06	1.98934e+06	2.40919e+06	2.1305e+06	2.12365e+06
P0AEF4	P0AEF4		dpiA		1.89084e+06	1.94185e+06	1.77364e+06	2.07511e+06	1.90147e+06	1.99148e+06
P0AEG4	P0AEG4		dsbA		5.76036e+06	5.86459e+06	5.71753e+06	5.49858e+06	5.15687e+06	5.88279e+06
P0AEG6	P0AEG6		dsbC		2.69339e+06	2.2513e+06	2.81273e+06	2.64628e+06	2.65091e+06	2.54007e+06
