Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P69874	P69874		potA		4.36047e+06	4.06428e+06	4.438e+06	4.18586e+06	4.24896e+06	4.30222e+06
P69902	P69902		frc		2.66524e+06	2.40476e+06	2.66431e+06	2.49065e+06	2.60328e+06	2.80467e+06
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)				6.11502e+06	7.01468e+06	557590	6.0531e+06	529836	919233
P69908	P69908		gadA		3.28442e+06	3.88267e+06	3.86149e+06	3.7725e+06	3.4123e+06	3.52581e+06
P69910	P69910		gadB		4.61659e+07	4.47872e+07	4.57724e+07	4.61647e+07	4.60055e+07	4.56277e+07
P69913	P69913		csrA		1.27478e+07	1.27188e+07	1.2675e+07	1.20439e+07	1.32193e+07	1.46468e+07
P69924	P69924		nrdB		3.07043e+06	3.11859e+06	3.00872e+06	3.06929e+06	2.88535e+06	2.93955e+06
P69931	P69931		hda		1.48451e+06	1.36355e+06	1.37099e+06	1.39642e+06	1.39551e+06	1.40552e+06
P75691	P75691		yahK		1.33747e+06	1.39e+06	1.39448e+06	1.38183e+06	1.37426e+06	1.34877e+06
P75694	P75694		yahO		3.27822e+06	3.18025e+06	2.55678e+06	2.86853e+06	2.12322e+06	2.7114e+06
P75726	P75726		citF		5.8055e+06	5.68791e+06	5.78155e+06	5.98753e+06	5.76511e+06	5.84293e+06
P75728	P75728		ubiF		1.32639e+06	1.32844e+06	1.37079e+06	1.28719e+06	1.47421e+06	1.28559e+06
