Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P45578	P45578		luxS		2.077e+07	2.12744e+07	2.26872e+07	2.24582e+07	2.25637e+07	1.68268e+07
P45748	P45748		rimN		4.07021e+06	4.05762e+06	4.11547e+06	4.05548e+06	4.21587e+06	4.58801e+06
P45795	P45795		yrdB		1.40066e+06	1.40003e+06	3.06029e+06	3.30701e+06	3.35359e+06	1.66912e+06
P45799	P45799		nudE		1.8138e+06	1.81336e+06	1.76573e+06	1.85027e+06	1.67269e+06	1.93465e+06
P45955	P45955		ybgF		2.35104e+06	2.35228e+06	2.25733e+06	2.34771e+06	2.21078e+06	2.4084e+06
P46130	P46130		ybhC		8.8284e+06	8.79281e+06	8.71061e+06	8.65866e+06	8.32925e+06	9.0715e+06
P46142	P46142		yggM		9.13458e+06	9.09459e+06	8.86851e+06	9.12942e+06	8.31304e+06	
P46837	P46837		yhgF		7.9636e+06	7.94484e+06	7.87181e+06	7.7792e+06	7.8917e+06	7.58191e+06
P46853	P46853		yhhX		5.1353e+06	5.2617e+06	5.13776e+06	5.10519e+06	5.19328e+06	5.07278e+06
P46889	P46889		ftsK		766059	845565	786181	724872	789266	917693
P50456	P50456		mlc		1.60355e+06	1.54542e+06	1.83737e+06	1.90447e+06	2.03844e+06	2.00395e+06
P51024	P51024		yaiL		924908	1.05422e+06	1.01048e+06	1.05855e+06	1.10274e+06	524318
P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)						9.54977e+06	8.81678e+06	8.76083e+06	
P52006	P52006		nudI		1.14188e+06	1.15364e+06	1.26474e+06	1.36182e+06	1.29468e+06	1.25964e+06
P52007	P52007		yecM		1.60538e+06	1.65704e+06	1.92851e+06	1.76856e+06	1.94517e+06	1.66944e+06
P52061	P52061		rdgB		7.44739e+06	7.55654e+06	7.71439e+06	7.69794e+06	7.51892e+06	7.94103e+06
P52076	P52076		qseB		921005	930774	949874	975637	1.03249e+06	813235
P52108	P52108		rstA		4.51799e+06	4.63927e+06	4.80696e+06	4.48244e+06	4.70827e+06	5.04318e+06
P52119	P52119		ratB		4.03407e+06	4.26601e+06	3.73115e+06	3.90343e+06	3.87533e+06	4.44798e+06
P52614	P52614		fliK		522910	517287	336842	371301	359857	536981
P52643	P52643		ldhA		3.88467e+06	3.86474e+06	3.66984e+06	3.80442e+06	3.6409e+06	3.31574e+06
P52644	P52644		hslJ		1.77548e+06	1.77823e+06	1.60761e+06	1.56688e+06	1.59441e+06	1.57547e+06
P52647	P52647		ydbK		2.13138e+06	1.97735e+06	2.07195e+06	2.02904e+06	1.96762e+06	2.06178e+06
P52697	P52697		pgl		2.02496e+07	2.09074e+07	2.04222e+07	2.05926e+07	2.05567e+07	1.74397e+07
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				2.00022e+06	2.16801e+06	9.77304e+06	9.58007e+06	9.81759e+06	2.26616e+06
P56262	P56262		ysgA		1.21157e+06	1.27329e+06	1.32401e+06	1.10844e+06	1.02956e+06	879634
P60061	P60061		adiC		1.49801e+06	1.33493e+06	1.37101e+06	1.32563e+06	1.52831e+06	1.36512e+06
P60240	P60240		rapA		4.59417e+06	4.57059e+06	4.79557e+06	4.84665e+06	4.78189e+06	4.56967e+06
P60293	P60293		mukF		2.7969e+06	2.88669e+06	3.03883e+06	3.07496e+06	3.00978e+06	3.04808e+06
P60340	P60340		truB		8.00296e+06	7.93332e+06	7.91671e+06	8.03861e+06	7.86879e+06	8.38726e+06
P60390	P60390		rsmH		4.99972e+06	4.95229e+06	5.0051e+06	5.00827e+06	4.90309e+06	4.71567e+06
P60422	P60422		rplB		1.26931e+08	1.25197e+08	1.24568e+08	1.23411e+08	1.22249e+08	1.14885e+08
P60438	P60438		rplC		3.08236e+08	3.04343e+08	3.05109e+08	2.89133e+08	2.84828e+08	2.69221e+08
P60472	P60472		ispU				517690	896626		827979
P60546	P60546		gmk		5.80014e+06	5.96995e+06	6.04029e+06	6.13809e+06	6.11377e+06	6.01558e+06
P60560	P60560		guaC		7.62196e+06	7.48683e+06	7.7668e+06	7.7902e+06	7.8852e+06	7.34688e+06
P60595	P60595		hisH		1.08722e+06	1.18932e+06	1.14111e+06	1.15979e+06	1.08874e+06	1.1318e+06
P60624	P60624		rplX		1.59224e+08	1.58956e+08	1.57339e+08	1.57167e+08	1.60312e+08	1.4263e+08
P60651	P60651		speB		1.30458e+07	1.32094e+07	1.30415e+07	1.31253e+07	1.23759e+07	1.25605e+07
P60664	P60664		hisF		2.78664e+06	2.80022e+06	2.86033e+06	2.76778e+06	2.81532e+06	2.96204e+06
P60716	P60716		lipA		7.18551e+06	7.31764e+06	6.99641e+06	7.02661e+06	7.03835e+06	6.78616e+06
P60723	P60723		rplD		1.63517e+08	1.66438e+08	1.66867e+08	1.68417e+08	1.73909e+08	1.54115e+08
