Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P02932	P02932		phoE		1.02962e+06	1.24307e+06	1.51385e+06	1.55064e+06	1.71254e+06	
P02942	P02942		tsr		9.11491e+06	8.64511e+06	8.75874e+06	9.48808e+06	8.74599e+06	7.97095e+06
P02943	P02943		lamB		1.5317e+06	1.57173e+06	1.48353e+06	1.55365e+06	1.47813e+06	1.55134e+06
P03004	P03004		dnaA		2.3719e+06	2.36872e+06	2.3571e+06	2.42518e+06	2.24055e+06	2.39139e+06
P03007	P03007		dnaQ		650529	807725	701213	751581	800914	514905
P03018	P03018		uvrD		3.81219e+06	3.83937e+06	3.61573e+06	3.71515e+06	3.79373e+06	4.00045e+06
P03024	P03024		galR		1.47341e+06	1.37511e+06	1.28398e+06	1.2919e+06	1.40661e+06	1.48861e+06
P03817	P03817		mioC		8.53727e+06	8.50222e+06	9.05329e+06	8.84478e+06	8.86578e+06	7.88977e+06
P03841	P03841		malM		9.5943e+06	9.88791e+06	9.59866e+06	1.00709e+07	1.03181e+07	9.98426e+06
P04036	P04036		dapB		4.8731e+06	4.79188e+06	4.9481e+06	5.08568e+06	5.07187e+06	4.4633e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				3.27887e+06	3.38234e+06	1.6337e+06	1.48897e+06	1.52492e+06	3.00989e+06
P04079	P04079		guaA		1.93629e+07	1.93178e+07	1.94082e+07	1.94808e+07	1.91782e+07	1.87991e+07
P04335	P04335		frsA		4.43571e+06	4.48737e+06	4.30079e+06	4.45977e+06	4.42296e+06	4.23534e+06
P04425	P04425		gshB		7.67893e+06	7.75906e+06	7.76616e+06	7.74884e+06	7.84976e+06	7.39359e+06
P04693	P04693		tyrB		3.93423e+06	3.82517e+06	4.01248e+06	4.06517e+06	3.90323e+06	4.18038e+06
P04805	P04805		gltX		2.49678e+07	2.52082e+07	2.46085e+07	2.42923e+07	2.43677e+07	2.428e+07
P04825	P04825		pepN		1.57196e+07	1.57603e+07	1.57745e+07	1.60513e+07	1.54337e+07	1.43498e+07
P04846	P04846		nlpA		3.06481e+06	3.1e+06	3.22879e+06	3.14628e+06	3.29313e+06	3.2069e+06
P04949	P04949		fliC		3.66079e+07	3.71578e+07	4.02179e+07	3.80346e+07	3.99714e+07	3.43357e+07
P04951	P04951		kdsB		5.69058e+06	5.38747e+06	5.49818e+06	5.65046e+06	5.66348e+06	5.87601e+06
P04982	P04982		rbsD		1.20339e+06	1.0965e+06	1.33097e+06	1.29931e+06	1.25398e+06	1.13715e+06
P04994	P04994		xseA		1.18458e+06	1.04396e+06	1.041e+06	1.01038e+06	1.08858e+06	1.21449e+06
P04995	P04995		sbcB		1.22287e+07	1.24047e+07	1.24808e+07	1.24478e+07	1.25023e+07	1.19048e+07
P05020	P05020		pyrC		6.55278e+06	6.62519e+06	6.6086e+06	6.68397e+06	6.48024e+06	6.16821e+06
P05041	P05041		pabB		1.8651e+06	1.95181e+06	1.96251e+06	2.06175e+06	2.09403e+06	2.15101e+06
P05055	P05055		pnp		3.76301e+07	3.74191e+07	3.60654e+07	3.63738e+07	3.61847e+07	3.508e+07
P05100	P05100		tag		1.57092e+06	1.70705e+06	1.52134e+06	1.42818e+06	1.56936e+06	1.82692e+06
P05194	P05194		aroD		1.25075e+06	1.31484e+06	1.2763e+06	1.30094e+06	1.25904e+06	1.2888e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				7.95338e+06	7.96308e+06	2.26747e+06	2.39256e+06	2.17916e+06	7.96679e+06
P05458	P05458		ptrA		3.02079e+06	3.10347e+06	2.67236e+06	2.90936e+06	2.86212e+06	2.95153e+06
