Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0AEZ9	P0AEZ9		moaB		9.8399e+06	9.63447e+06	1.00959e+07	9.53976e+06	9.60577e+06	9.63523e+06
P0AF03	P0AF03		mog		1.39749e+07	1.38343e+07	1.37102e+07	1.29143e+07	1.31489e+07	1.32096e+07
P0AF06	P0AF06		motB		938531	913421	813598	787478	846284	900012
P0AF08	P0AF08		mrp		3.95381e+06	4.17375e+06	3.98655e+06	4.13657e+06	4.08104e+06	4.17698e+06
P0AF12	P0AF12		mtnN		2.75504e+07	2.73797e+07	2.74151e+07	2.52333e+07	2.53295e+07	2.60059e+07
P0AF18	P0AF18		nagA		3.25498e+06	3.2071e+06	3.31015e+06	3.17945e+06	3.13655e+06	3.35839e+06
P0AF20	P0AF20		nagC		1.06386e+06	1.04505e+06	1.06784e+06	1.05279e+06	1.03395e+06	1.09957e+06
P0AF24	P0AF24		nagD		1.85405e+06	1.84192e+06	1.94648e+06	2.00803e+06	1.91484e+06	2.00535e+06
P0AF28	P0AF28		narL		7.2148e+06	7.22629e+06	7.24989e+06	7.29798e+06	7.12786e+06	7.23827e+06
P0AF36	P0AF36		zapB		7.45043e+06	7.22038e+06	7.09862e+06	7.64084e+06	7.86782e+06	7.53631e+06
P0AF48	P0AF48		yjbQ		1.05988e+06	1.0848e+06	1.24409e+06	1.47633e+06	1.54638e+06	1.2869e+06
P0AF50	P0AF50		yjbR		6.80264e+06	6.12844e+06	6.4259e+06	6.6777e+06	6.45799e+06	6.42449e+06
P0AF52	P0AF52		yjcD		427912	422341	395352	538526	509598	417595
P0AF59	P0AF59		yjdI		633606	629984	720655	710848	661927	674259
P0AF61	P0AF61		yjdK		2.04406e+06	2.03954e+06	1.94209e+06	1.56017e+06	1.69966e+06	1.76452e+06
P0AF63	P0AF63		nsrR		1.48386e+06	1.50637e+06	1.61826e+06	1.50085e+06	1.5428e+06	1.55592e+06
P0AF67	P0AF67		yjeE		3.77874e+06	3.76281e+06	3.53274e+06	3.85397e+06	3.7518e+06	3.6709e+06
P0AF70	P0AF70		yjeI		1.01951e+07	9.68896e+06	9.69848e+06	8.79995e+06	9.68214e+06	9.47801e+06
P0AF90	P0AF90		rraB		7.05957e+06	7.2947e+06	7.64808e+06	6.67548e+06	6.71166e+06	7.25522e+06
P0AF93	P0AF93		ridA		1.31285e+08	1.29934e+08	1.29868e+08	1.28659e+08	1.26306e+08	1.36103e+08
P0AF96	P0AF96		tabA		2.93236e+06	2.84584e+06	2.55489e+06	3.10939e+06	2.98238e+06	3.32632e+06
P0AF98	P0AF98		lptF		985289	1.04677e+06	1.08922e+06	1.04602e+06	1.19368e+06	1.18239e+06
P0AFA7	P0AFA7		nhaB		676320	524183	580373	544962	548834	473150
P0AFB1	P0AFB1		nlpI		2.05008e+06	2.09068e+06	2.20602e+06	2.1741e+06	2.15938e+06	2.05874e+06
P0AFB5	P0AFB5		glnL		1.17831e+06	1.28072e+06	1.06332e+06	1.21888e+06	1.10927e+06	1.16973e+06
P0AFB8	P0AFB8		glnG		3.0992e+06	3.23564e+06	3.08257e+06	3.3464e+06	3.26831e+06	3.31883e+06
P0AFC0	P0AFC0		nudB		650122	650779	785232	850345	798910	944473
P0AFC3	P0AFC3		nuoA		2.32326e+06	2.37115e+06	2.31791e+06	2.26932e+06	2.38011e+06	2.28217e+06
P0AFC7	P0AFC7		nuoB		6.85122e+06	6.67466e+06	6.73927e+06	7.04917e+06	7.36302e+06	6.71005e+06
P0AFD1	P0AFD1		nuoE		2.35654e+06	2.35679e+06	2.35127e+06	2.64112e+06	2.7851e+06	2.6619e+06
P0AFD4	P0AFD4		nuoH		2.67092e+06	2.43637e+06	2.58744e+06	2.54775e+06	2.60681e+06	2.56927e+06
P0AFD6	P0AFD6		nuoI		7.33116e+06	7.10684e+06	7.19945e+06	8.1422e+06	7.74639e+06	7.4309e+06
P0AFF2	P0AFF2		nupC		708431	704817	746939	693417	563566	673197
