Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P09126	P09126		hemD		1.30767e+06	1.26255e+06	1.33971e+06	1.27577e+06	1.33077e+06	1.30238e+06
P09127	P09127		hemX		5.1337e+06	5.13042e+06	5.13898e+06	5.21852e+06	5.11768e+06	5.22214e+06
P09147	P09147		galE		9.41876e+06	9.21751e+06	9.19946e+06	9.42812e+06	9.52178e+06	9.333e+06
P09148	P09148		galT		1.49265e+06	1.40845e+06	1.47264e+06	1.38606e+06	1.40739e+06	1.36094e+06
P09152	P09152		narG		4.94746e+06	5.09388e+06	4.95321e+06	5.04429e+06	4.94604e+06	5.05912e+06
P09155	P09155		rnd		2.14163e+06	2.16179e+06	2.04227e+06	2.05722e+06	2.18405e+06	2.02638e+06
P09158	P09158		speE		6.65012e+06	6.51419e+06	6.8161e+06	6.83225e+06	6.64302e+06	6.73325e+06
P09169	P09169		ompT		4.84775e+06	4.79011e+06	4.66113e+06	5.01877e+06	5.2005e+06	4.67809e+06
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)					6.88197e+06	7.0219e+06			6.93614e+06
P09323	P09323		nagE		650981	612216	596273	690386	726754	531059
P09372	P09372		grpE		4.51192e+07	4.99457e+07	4.75636e+07	4.56533e+07	4.2486e+07	4.87723e+07
P09373	P09373		pflB		2.34918e+08	2.43443e+08	2.41078e+08	2.32225e+08	2.28089e+08	2.37982e+08
P09394	P09394		glpQ		5.25743e+06	5.27393e+06	5.38197e+06	5.21192e+06	5.09161e+06	5.35251e+06
P09424	P09424		mtlD		1.84361e+06	1.98132e+06	2.01104e+06	1.88972e+06	1.9401e+06	2.03965e+06
P09546	P09546		putA		1.73624e+06	1.76137e+06	1.83338e+06	1.81849e+06	1.89439e+06	1.73559e+06
P09549	P09549		dedD		1.14869e+06	1.167e+06	1.20098e+06	1.16348e+06	1.21383e+06	1.14009e+06
P09831	P09831		gltB		3.07439e+06	2.9284e+06	2.89095e+06	2.9891e+06	3.01185e+06	2.89608e+06
P09832	P09832		gltD		2.84036e+06	2.73322e+06	2.73003e+06	2.89202e+06	2.83125e+06	2.86899e+06
P0A698	P0A698		uvrA		2.41926e+06	2.43785e+06	2.4197e+06	2.39568e+06	2.41204e+06	2.43537e+06
P0A6A0	P0A6A0		ubiB		1.81003e+06	1.6361e+06	1.60804e+06	1.54882e+06	1.59232e+06	1.64885e+06
P0A6A3	P0A6A3		ackA		1.23215e+08	1.18785e+08	1.196e+08	1.2518e+08	1.21625e+08	1.20835e+08
P0A6A8	P0A6A8		acpP		1.47173e+08	1.32256e+08	1.14337e+08	1.43856e+08	1.45716e+08	1.26831e+08
