Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A7Z4	P0A7Z4		rpoA		1.06912e+08	1.07006e+08	1.03587e+08	1.02613e+08	1.07093e+08	1.02991e+08
P0A800	P0A800		rpoZ		5.42663e+07	5.44246e+07	4.96736e+07	5.00868e+07	5.38543e+07	5.00906e+07
P0A805	P0A805		frr		3.11225e+07	3.20028e+07	3.1889e+07	3.11127e+07	3.14413e+07	3.16569e+07
P0A809	P0A809		ruvA		689958	642373	585286	620618	657049	578791
P0A812	P0A812		ruvB		1.14209e+06	1.23122e+06	1.22017e+06	1.17816e+06	1.20069e+06	1.20894e+06
P0A817	P0A817		metK		1.82266e+07	1.83605e+07	1.86817e+07	1.83208e+07	1.77522e+07	1.80585e+07
P0A821	P0A821		selA		1.51136e+06	1.39059e+06	1.54231e+06	1.40736e+06	1.30295e+06	1.53624e+06
P0A825	P0A825		glyA		2.71624e+07	2.71349e+07	2.5949e+07	2.49471e+07	2.78805e+07	2.51189e+07
P0A832	P0A832		smpB		4.03002e+06	4.0592e+06	4.37325e+06	4.43148e+06	4.29031e+06	4.14282e+06
P0A836	P0A836		sucC		9.13661e+06	9.08158e+06	8.97848e+06	8.97459e+06	8.96083e+06	9.26393e+06
P0A840	P0A840		surE		1.67358e+06	1.68608e+06	1.66958e+06	1.61683e+06	1.84738e+06	1.69926e+06
P0A843	P0A843		tatE		7.8848e+06	8.10644e+06	8.73883e+06	8.89409e+06	8.0751e+06	8.9571e+06
P0A847	P0A847		tgt		3.2673e+06	3.26242e+06	3.17364e+06	3.22202e+06	3.22001e+06	3.2494e+06
P0A850	P0A850		tig		1.38938e+08	1.39596e+08	1.30619e+08	1.31619e+08	1.37965e+08	1.31331e+08
P0A853	P0A853		tnaA		3.57951e+06	3.49605e+06	3.56656e+06	3.63154e+06	3.58479e+06	3.53792e+06
