Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A7U7	P0A7U7		rpsT		2.82281e+07	2.92313e+07	2.7914e+07	2.70932e+07	2.76571e+07	2.83303e+07
P0A7V0	P0A7V0		rpsB		7.81613e+07	8.26686e+07	7.78989e+07	8.64716e+07	8.0146e+07	8.08987e+07
P0A7V3	P0A7V3		rpsC		9.22661e+07	9.11178e+07	9.19605e+07	9.28527e+07	9.37996e+07	8.95866e+07
P0A7V8	P0A7V8		rpsD		1.89923e+08	1.95041e+08	1.94238e+08	1.9467e+08	1.89604e+08	1.98326e+08
P0A7W1	P0A7W1		rpsE		1.40927e+08	1.24871e+08	1.40884e+08	1.24676e+08	1.4064e+08	1.25953e+08
P0A7W7	P0A7W7		rpsH		5.98287e+07	5.9654e+07	6.39593e+07	5.76169e+07	6.05377e+07	5.80386e+07
P0A7X3	P0A7X3		rpsI		7.84714e+07	7.48992e+07	7.96628e+07	7.46337e+07	8.3414e+07	7.85685e+07
P0A7X6	P0A7X6		rimM		7.33251e+06	7.53839e+06	7.39676e+06	7.41054e+06	7.05576e+06	7.17127e+06
P0A7Y0	P0A7Y0		rnc		9.87038e+06	9.35727e+06	9.95676e+06	9.46507e+06	1.01329e+07	9.28116e+06
P0A7Y8	P0A7Y8		rnpA		1.93247e+06	1.83124e+06	1.83942e+06	1.62056e+06	1.86973e+06	1.84309e+06
P0A7Z0	P0A7Z0		rpiA		2.25487e+07	2.28285e+07	2.16558e+07	2.23998e+07	2.23978e+07	2.20011e+07
P0A7Z4	P0A7Z4		rpoA		1.28213e+08	1.24596e+08	1.27532e+08	1.22513e+08	1.25062e+08	1.22075e+08
P0A800	P0A800		rpoZ		4.58191e+07	4.06174e+07	4.66622e+07	4.22506e+07	4.5444e+07	4.15502e+07
P0A805	P0A805		frr		2.7636e+07	3.04691e+07	2.86039e+07	2.95792e+07	2.68449e+07	2.9388e+07
P0A809	P0A809		ruvA		744027	319683	644744	402046	591155	482366
P0A812	P0A812		ruvB		992532	1.08497e+06	1.06549e+06	1.11367e+06	1.01658e+06	1.16764e+06
P0A817	P0A817		metK		2.53784e+07	2.59517e+07	2.40267e+07	2.58952e+07	2.4312e+07	2.64418e+07
P0A821	P0A821		selA		1.24483e+06	1.17978e+06	1.25515e+06	1.21978e+06	1.28431e+06	1.14645e+06
P0A823	P0A823		sfsA		671799	662032	683134	476770	628682	596419
P0A825	P0A825		glyA		2.67738e+07	2.59809e+07	2.76955e+07	2.63377e+07	2.68533e+07	2.57361e+07
P0A832	P0A832		smpB		4.54144e+06	4.88474e+06	4.74206e+06	5.32079e+06	4.58817e+06	4.95321e+06
P0A836	P0A836		sucC		9.13588e+06	8.53395e+06	9.26358e+06	8.61176e+06	9.33678e+06	8.73953e+06
P0A840	P0A840		surE		1.65619e+06	1.59211e+06	1.67877e+06	1.43519e+06	1.67871e+06	1.54817e+06
P0A843	P0A843		tatE		7.51383e+06	9.1536e+06	8.45821e+06	8.85014e+06	8.36712e+06	8.39887e+06
P0A847	P0A847		tgt		3.56594e+06	3.56269e+06	3.71296e+06	3.65219e+06	3.54642e+06	3.47772e+06
P0A850	P0A850		tig		1.46257e+08	1.35259e+08	1.45135e+08	1.3965e+08	1.4392e+08	1.4097e+08
P0A853	P0A853		tnaA		3.39103e+06	3.37232e+06	3.36806e+06	3.31499e+06	3.44381e+06	3.23793e+06
P0A855	P0A855		tolB		2.01903e+07	1.79986e+07	1.9574e+07	1.83454e+07	2.0288e+07	1.83042e+07
P0A858	P0A858		tpiA		7.76455e+07	7.84316e+07	7.7101e+07	7.44446e+07	7.34417e+07	7.20483e+07
P0A862	P0A862		tpx		4.04203e+07	4.13293e+07	4.14888e+07	4.2067e+07	3.99046e+07	4.23884e+07
P0A867	P0A867		talA		4.29945e+06	4.37478e+06	4.29552e+06	4.23025e+06	4.2105e+06	4.53294e+06
P0A870	P0A870		talB		4.4389e+07	4.17883e+07	4.44476e+07	4.2577e+07	4.48452e+07	4.3086e+07
P0A873	P0A873		trmD		4.41516e+06	4.71434e+06	4.61154e+06	4.60385e+06	4.35152e+06	4.70188e+06
P0A877	P0A877		trpA		2.17875e+06	2.00471e+06	1.94933e+06	2.14979e+06	2.10043e+06	1.99903e+06
P0A879	P0A879		trpB		506405	431263	417204	497937	489208	510100
P0A881	P0A881		trpR		1.86656e+06	2.01014e+06	1.94481e+06	1.92986e+06	2.10762e+06	1.92675e+06
P0A884	P0A884		thyA		7.65322e+06	7.59763e+06	7.28433e+06	7.42482e+06	7.73805e+06	7.85252e+06
P0A887	P0A887		ubiE		8.16554e+06	7.306e+06	8.03604e+06	7.59975e+06	7.82588e+06	7.24237e+06
P0A890	P0A890		tusA		2.05232e+06	2.14374e+06	1.97362e+06	2.02137e+06	1.90352e+06	1.83547e+06
P0A894	P0A894		yhbJ		1.40629e+06	1.33424e+06	1.46314e+06	1.39891e+06	1.48281e+06	1.437e+06
P0A898	P0A898		ybeY		3.64715e+06	3.12019e+06	3.55422e+06	3.12848e+06	3.40489e+06	2.98224e+06
P0A8A0	P0A8A0		yebC		3.18423e+06	3.5237e+06	3.13312e+06	3.47778e+06	3.21924e+06	3.71001e+06
P0A8A2	P0A8A2		yeeN		8.40508e+06	8.62957e+06	8.77063e+06	8.71988e+06	8.55686e+06	8.8133e+06
P0A8A4	P0A8A4		ppsR		1.9832e+06	1.99471e+06	2.02112e+06	1.94939e+06	1.99715e+06	2.08679e+06
P0A8A8	P0A8A8		rimP		4.22526e+06	3.31821e+06	4.05908e+06	2.70234e+06	4.36419e+06	3.09854e+06
P0A8B2	P0A8B2		yfcN		1.42225e+06	1.47659e+06	1.31427e+06	1.55745e+06	1.37873e+06	1.49803e+06
P0A8B5	P0A8B5		ybaB		1.74749e+06	1.45835e+06	1.51697e+06	1.40897e+06	1.92816e+06	1.42748e+06
P0A8C1	P0A8C1		ybjQ		575489	1.08951e+06	1.04803e+06	1.15209e+06	688420	1.48869e+06
P0A8C4	P0A8C4		ygfB		2.98675e+06	3.10313e+06	2.83621e+06	3.21477e+06	3.05988e+06	3.41561e+06
