Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P00490	P00490		malP		5.92699e+06	5.74052e+06	5.99051e+06	5.72495e+06	6.05674e+06	5.98054e+06
P00509	P00509		aspC		1.91774e+07	1.87273e+07	1.90313e+07	1.90851e+07	1.88606e+07	1.88621e+07
P00550	P00550		mtlA		773533	854467	812223	918937	871406	949216
P00561	P00561		thrA		2.19549e+06	1.97093e+06	2.17212e+06	2.03909e+06	2.07627e+06	2.15802e+06
P00562	P00562		metL		2.66632e+06	2.46137e+06	2.57031e+06	2.59953e+06	2.47928e+06	2.68714e+06
P00579	P00579		rpoD		8.71036e+06	8.36984e+06	8.77106e+06	8.68188e+06	8.79375e+06	9.05075e+06
P00582	P00582		polA		3.59991e+06	3.62825e+06	3.74356e+06	3.699e+06	3.74825e+06	3.55086e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				2.8755e+06	3.00315e+06		2.93294e+06	1.03162e+06	
P00803	P00803		lepB		4.26017e+06	3.65414e+06	4.33752e+06	4.47279e+06	4.35433e+06	4.24854e+06
P00805	P00805		ansB		2.16202e+07	2.15968e+07	2.2807e+07	2.17735e+07	2.26957e+07	2.2435e+07
P00811	P00811		ampC		896470	965414	1.10305e+06	990423	936832	977927
P00864	P00864		ppc		1.17566e+07	1.18006e+07	1.17753e+07	1.16982e+07	1.15377e+07	1.20315e+07
P00887	P00887		aroH		2.87432e+06	2.53467e+06	2.56232e+06	2.65989e+06	2.65393e+06	2.41514e+06
P00888	P00888		aroF		2.08785e+06	1.98744e+06	2.06469e+06	1.9812e+06	2.12684e+06	2.01415e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.01941e+07	1.00995e+07		9.89416e+06		
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.34845e+07	1.33056e+07		1.35368e+07		
P00934	P00934		thrC		4.66577e+06	4.99626e+06	4.82502e+06	4.71335e+06	4.74476e+06	4.45215e+06
P00935	P00935		metB		518629	946862	789039	543906	621343	783805
P00946	P00946		manA		1.21913e+07	1.17084e+07	1.17645e+07	1.23404e+07	1.18293e+07	1.17086e+07
P00954	P00954		trpS		1.4555e+07	1.43474e+07	1.48397e+07	1.53472e+07	1.38072e+07	1.38694e+07
P00956	P00956		ileS		2.73641e+07	2.65842e+07	2.55437e+07	2.71071e+07	2.58489e+07	2.6149e+07
P00957	P00957		alaS		1.76243e+07	1.7589e+07	1.70571e+07	1.76759e+07	1.68258e+07	1.68976e+07
P00959	P00959		metG		1.97727e+07	2.06634e+07	1.91197e+07	2.08117e+07	1.92661e+07	1.90291e+07
P00960	P00960		glyQ		7.4527e+06	6.97948e+06	7.10662e+06	7.37873e+06	7.10105e+06	6.88843e+06
P00961	P00961		glyS		1.32546e+07	1.29631e+07	1.26136e+07	1.31671e+07	1.27462e+07	1.29737e+07
P00962	P00962		glnS		1.05301e+07	1.07521e+07	1.04128e+07	1.07117e+07	1.0611e+07	1.07749e+07
P00963	P00963		asnA		1.96046e+07	1.91755e+07	1.6997e+07	1.94168e+07	1.7553e+07	1.69333e+07
