Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P37773	P37773		mpl		8.46403e+06	8.41286e+06	8.42199e+06	8.2578e+06	8.6171e+06	8.49211e+06
P37902	P37902		gltI		2.12696e+06	2.10573e+06	2.19234e+06	2.25348e+06	2.25304e+06	2.14261e+06
P37903	P37903		uspF		9.33324e+06	8.82086e+06	8.78217e+06	9.11217e+06	8.84574e+06	8.71618e+06
P37908	P37908		yfjD		695420	729709	771003	771810	755407	722216
P38038	P38038		cysJ		3.6728e+06	3.74573e+06	3.65383e+06	3.59185e+06	3.67497e+06	3.54675e+06
P38134	P38134		etk		5.08205e+06	5.04921e+06	4.99015e+06	5.18969e+06	5.01238e+06	4.91379e+06
P38489	P38489		nfnB		6.09369e+06	5.93645e+06	6.05588e+06	6.16962e+06	5.94965e+06	6.10411e+06
P38506	P38506		ygdG		860034	746599	636832	769604	653860	526627
P38521	P38521		yggL		230609	240991	191385	264564	291687	341402
P39099	P39099		degQ		5.8216e+06	5.83909e+06	6.17429e+06	5.89132e+06	6.0042e+06	6.03043e+06
P39160	P39160		uxuB		1.40138e+06	1.22838e+06	1.44141e+06	1.43103e+06	1.52589e+06	1.50898e+06
P39172	P39172		znuA		4.92065e+06	4.78086e+06	4.1536e+06	4.77273e+06	4.25103e+06	4.48992e+06
P39173	P39173		yeaD		3.26789e+07	3.26786e+07	3.38855e+07	3.3147e+07	3.43658e+07	3.31051e+07
P39177	P39177		uspG		1.94215e+07	1.98035e+07	2.00628e+07	1.92536e+07	2.01131e+07	2.01631e+07
P39199	P39199		prmB		7.79741e+06	8.01489e+06	8.17451e+06	7.89936e+06	9.1504e+06	8.49328e+06
P39265	P39265		alsB		1.00421e+06	1.09594e+06	1.05842e+06	1.22522e+06	958323	1.13405e+06
P39280	P39280		epmB		1.61485e+06	1.64583e+06	1.47374e+06	1.55842e+06	1.45292e+06	1.33914e+06
P39285	P39285		yjeP		342001	323329	349564	389742	352885	345020
P39286	P39286		rsgA		6.29938e+06	6.30931e+06	5.77747e+06	6.43145e+06	5.57167e+06	5.77113e+06
P39298	P39298		yjfP		1.33175e+06	1.16163e+06	1.1284e+06	1.28795e+06	1.11802e+06	1.06166e+06
P39300	P39300		ulaG		865162	881806	1.0014e+06	957554	1.08642e+06	1.03228e+06
P39310	P39310		ytfB		1.01331e+06	937525	907766	892808	1.06089e+06	964316
P39315	P39315		qorB		3.41341e+06	3.30868e+06	3.17754e+06	3.17064e+06	3.14038e+06	2.97538e+06
P39321	P39321		tamB		1.44908e+06	1.41634e+06	1.34682e+06	1.43575e+06	1.43148e+06	1.329e+06
P39325	P39325		ytfQ		1.8226e+06	1.94489e+06	1.64431e+06	1.83062e+06	1.77799e+06	1.65519e+06
P39337	P39337		yjgM		496970	420147	525405	544533	471599	616532
P39342	P39342		yjgR		1.38666e+06	1.40921e+06	1.51088e+06	1.33359e+06	1.44425e+06	1.44819e+06
P39347	P39347		intB		826814	855517	973059	894323	1.00869e+06	943098
P39377	P39377		iadA		5.43267e+06	5.37828e+06	5.38486e+06	5.33787e+06	5.5947e+06	5.32805e+06
P39384	P39384		yjiM		1.55272e+06	1.50701e+06	1.64586e+06	1.42979e+06	1.50556e+06	1.56828e+06
P39385	P39385		yjiN		332551	304929	309258	224311	310964	184110
P39391	P39391		yjiT		506680	551841	602755	546270	597360	508803
P39393	P39393		yjiV		4.29749e+06	4.5536e+06	4.38402e+06	4.43774e+06	4.39341e+06	4.42796e+06
